Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,陈玉生 ｜ 社会科学中的创新发现与对标研究,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503969&idx=1&sn=f14f5e9781771140340bca3eb63e04d8&chksm=97f62ce1a081a5f7376bb60922593802b1b1a11f52d1d15c2b2ec34c3498acf17301b45c43bd#rd,1,2022-11-15,0.0,1.0,1.0,1.0,609.0,2.0,3.0,,,,
1,郭台辉 ｜ 分析方法的视角缘起、限制与超越之路,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503952&idx=1&sn=ec0f879c6f465f044da1d45fa86630d0&chksm=97f62cd0a081a5c6a05f248e2c04d88f9e81286ae090a2786862462f541dd9381af4f58d1ad3#rd,1,2022-11-14,0.0,1.0,1.0,1.0,1219.0,3.0,5.0,,,,
2,《社会科学》2022年第11期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503949&idx=1&sn=64c85dda6b95df198f0d03cc75f64555&chksm=97f62ccda081a5dbaa4e52baaa5ea5b55f7cad0878c3ee306f09895a230eed351dcad59fbefd#rd,1,2022-11-12,0.0,1.0,1.0,1.0,6302.0,10.0,15.0,,,,
3,龚柏华 朱嘉程｜论中国企业境外投资立法基本原则,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503569&idx=1&sn=0119ec779df9aa6ce6c712901412db1d&chksm=97f63251a081bb4712d20c034444726880e4c7cf94ef57cc01a1008ccd9f0035009642276c07#rd,1,2022-11-8,0.0,1.0,1.0,1.0,203.0,1.0,1.0,,,,
4,沈 伟｜国际法体系的基础之辨： 基于国际规则体系的理论溯源,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503568&idx=1&sn=8e1b53af142c53f7544c495cedf57c92&chksm=97f63250a081bb46dcd8068cf47ae89fca60d22af35c75a6a506fa7a8aa421818414e4da7199#rd,1,2022-11-7,0.0,1.0,1.0,1.0,1370.0,4.0,6.0,,,,
5,沈国兵 沈彬朝 ｜ 营商环境与企业中间品进口多元化：来自中国的证据,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503567&idx=1&sn=b69a08d0429a126fb047d8979c6a4e65&chksm=97f6324fa081bb5940fb39626f55e05877cd11690056a2c276eb1d7aac8fca7aeca61d0459f4#rd,1,2022-11-4,0.0,1.0,1.0,1.0,316.0,0.0,1.0,,,,
6,马 勇 姚 驰 李书舒 ｜ 经济开放、工业化与环境质量,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503566&idx=1&sn=792511f15295d0d19d8058815bcec96c&chksm=97f6324ea081bb58f78e7dacf0a971a28f1a11f1614ad4035864028965c27573d560bea9e04e#rd,1,2022-11-3,0.0,1.0,1.0,1.0,352.0,0.0,1.0,,,,
7,胡志平 ｜ 发展阶段、政府行为与乡村治理演进,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503565&idx=1&sn=56c9f3001aaf2016384c3c5a63cadabf&chksm=97f6324da081bb5baa74ff20510fa4a8055e07e7f6d8d78ebf8f0c981f81d97de31717a67d7c#rd,1,2022-11-2,0.0,1.0,1.0,1.0,820.0,3.0,9.0,[强][强][强][强],0,nan,nan
8,郑 震 ｜ 儒道视阈中的权宜与变通：对不确定性问题的思考,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503564&idx=1&sn=4385dfb856b8a2ef411d3e46460e6541&chksm=97f6324ca081bb5a971b08e500efe7caf5d19bc82ba8db25d4fc11b5e9de6aef6b654b7e9d0e#rd,1,2022-11-1,0.0,1.0,1.0,1.0,981.0,4.0,5.0,,,,
9,释启鹏 | “民族”压倒“阶级”： 东南亚三国建国时刻的精英抉择与历史遗产,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503416&idx=1&sn=91673346f3cba47258062a8760cf86e1&chksm=97f632b8a081bbaec75545aa92ae685d9650d760a11a23e025ce963957ef2fb8ee1f819760ef#rd,1,2022-10-31,0.0,1.0,1.0,1.0,1441.0,9.0,4.0,,,,
10,陈周旺 | 人民民主的政治逻辑与制度实践,http://mp.weixin.qq.com/s?__biz=MzIxNzc3MTUwMw==&mid=2247503326&idx=1&sn=a6fab48eb7b816ba547269af35902709&chksm=97f6315ea081b848a6411bf59da80c986d48e02db7843d7dd6318beb63a172471b627d657348#rd,1,2022-10-28,0.0,1.0,1.0,1.0,884.0,2.0,3.0,,,,
