Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,content
144,江淮论坛杂志社公众号开通啦！,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483813&idx=1&sn=acc963858ada4695f19dafc8af69af55&chksm=c197e8a7f6e061b13dfd927815672558ebc563726983ccce24de9c3666efa53a106c1eef5bcb#rd,1,2020-12-28,0.0,1.0,1.0,0.0,,,,
143,《江淮论坛》2020年第6期目录,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483814&idx=1&sn=20bd028a6e352321a993a420fae5e229&chksm=c197e8a4f6e061b22199e79f6faf772013671a2abea5fa8cd2f526181f554bac9bc720551ceb#rd,1,2020-12-29,0.0,1.0,1.0,0.0,,,,
142,刊文推介--叶青：轻罪刑事政策背景下速裁程序构建之思考,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483839&idx=1&sn=82f7297de61cc55795443b0e9627a69b&chksm=c197e8bdf6e061abcbc8e72ebb5adc63255e3b6fbf00b863f32e3c2aa33d4279718d6f0233b7#rd,1,2020-12-30,0.0,1.0,1.0,0.0,,,,
141,《江淮论坛》2020年总目录,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483921&idx=1&sn=1cf3869514c41f537e344de7f731c43c&chksm=c197eb13f6e062056764ca2416a64d83ef12bae2cc455d752b95cfc77660ea865d2073e6c528#rd,1,2020-12-31,0.0,1.0,1.0,0.0,,,,
140,刊文推介--周德群：我国能源应急管理体系与能力建设,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483922&idx=1&sn=36f31c5f5050ddae95140d838696e91c&chksm=c197eb10f6e062061e0764cd92fa4daecb269246993e6c2c9fc1f532ab2b7dc45bb187f3739a#rd,1,2021-1-4,0.0,1.0,1.0,0.0,,,,
139,刊文推介--王泉根：百年中国儿童文学演进史中的茅盾,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483923&idx=1&sn=e605534226eb22865c6bd8faf794cee2&chksm=c197eb11f6e06207b0136c87b05a35dc72566e9430bfd90807b61e956befd16d9fad64571943#rd,1,2021-1-5,0.0,1.0,1.0,0.0,,,,
138,刊文推介--乐爱国：“仁义未尝不利”：朱熹对程颐义利观的展开 ——以《孟子》“何必曰利？亦有仁义而已矣”的诠释为中心,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483931&idx=1&sn=d6b64483c6e116eca38480d6501b525f&chksm=c197eb19f6e0620f9de3798e4b583a14c33f23976e66e008cb21010f443c70a21efa4d1c1803#rd,1,2021-1-6,0.0,1.0,1.0,0.0,,,,
137,刊文推介--贾淑品：资本逻辑视角下卢森堡资本积累全球化理论,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483947&idx=1&sn=fc712948c1915599a1972e014b106a2f&chksm=c197eb29f6e0623fe896686ea452fe08f4b86a4a7dcbd2ad32204658e18fbb92777dc1ed1894#rd,1,2021-1-7,0.0,1.0,1.0,0.0,,,,
136,刊文推介--经典与选择：论二陆与六朝文学,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483948&idx=1&sn=5740499547a9f8f9a4e5fa67cabac377&chksm=c197eb2ef6e0623884905d21a9aa07f8ef7355d3e37cfa3b953a8e5be3b4f516361172370720#rd,1,2021-1-8,0.0,1.0,1.0,0.0,,,,
135,刊文推介--不平衡理论下我国西部环境污染的舆论监督问题研究,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483949&idx=1&sn=7a55ebe8767cc664e7b22c6f54331e0e&chksm=c197eb2ff6e0623937d4a37cf5d1a3b7da73c470c430575835a9078b2bea668e435cebbb62f1#rd,1,2021-1-11,0.0,1.0,1.0,0.0,,,,
134,刊文推介--尚奇：墨戏的形成机制,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483950&idx=1&sn=671fc0671d3538d3fe8b2fbd94a22e16&chksm=c197eb2cf6e0623a62e07567d9d61709cbd999f79c152dc934d2470e105f848d17e504319fad#rd,1,2021-1-12,0.0,1.0,1.0,0.0,,,,
133,刊文推介--老年人民生问题感知：现状、分类及影响因素——基于CFPS与统计数据的主客观考察,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247483952&idx=1&sn=246f75b0f0492f1ac560b9707b86b006&chksm=c197eb32f6e062241004b4668440603bd31ebe9727657f53ed0395bd73332547757b333db179#rd,1,2021-1-13,0.0,1.0,1.0,0.0,,,,
132,刊文推介--“中国之治”的制度基础与文化奥秘,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247484007&idx=1&sn=90089f593cf3e8c41b953cb3c19c6c1e&chksm=c197eb65f6e06273c06d17a87a1cca49e9875ae0bdde62797d53d2f245693889a6df401e9f96#rd,1,2021-1-19,0.0,1.0,1.0,0.0,,,,
131,刊文推介--家国情怀的萌生与君子人格的确立,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247484008&idx=1&sn=75054e0aa48f488ddf183ec18dddf507&chksm=c197eb6af6e0627ca61cb3874faeff00fd8f0f18d1f4ee9321fc5dde4d24f9f582ecd54cf4c3#rd,1,2021-1-20,0.0,1.0,1.0,0.0,,,,
130,刊文推介--中国文化走出去：意涵、目的和路径,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247484021&idx=1&sn=c8fdd6aaa7a07943a505a26d0d42b6e8&chksm=c197eb77f6e062618fe60d2ca415da7deac3c74a8e084b866f95973e875fb0b4090f56554b5d#rd,1,2021-1-21,0.0,1.0,1.0,0.0,,,,
129,喜报|《江淮论坛》“名家新论”栏目入选华东地区期刊“优秀栏目”,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247484038&idx=1&sn=284fbe97675bc5e07152e3bf9406b91e&chksm=c197eb84f6e062923ff699bc7a483a45180f02447d9b618e2ccf4d9fba7dba75b1e330660f71#rd,1,2021-1-23,0.0,1.0,1.0,0.0,,,,
128,刊文推介--监管科技在反洗钱领域的应用及展望,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247484039&idx=1&sn=3d8299a334bed1f98ad45dcc9f613472&chksm=c197eb85f6e062938471d152bae82aedcfbd66396022519f38d7ef940b947e40b151e8e14e9d#rd,1,2021-1-25,0.0,1.0,1.0,0.0,,,,
127,刊文推介--恩格斯独立的理论贡献及与时俱进的理论品格 ——为纪念恩格斯诞辰200周年而作,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247484040&idx=1&sn=7f81da7c1043f89b93989ca401f0d605&chksm=c197eb8af6e0629c1878e8d4b5fef72d1ab96aa710f8bdc69317d57479ed6a0e01a0e308af00#rd,1,2021-1-26,0.0,1.0,1.0,0.0,,,,
126,刊文推介--以一诗掩一书 ——陈寅恪《王观堂先生挽词并序》笺证源流论,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247484064&idx=1&sn=bcef722515d34959f494cd10c7aa7574&chksm=c197eba2f6e062b47df1188692eaa5825add2c7bb8a55d2d4bc6997c82c32ba6d860e312d4ff#rd,1,2021-1-27,0.0,1.0,1.0,0.0,,,,
