Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
484,新刊速递：2016年第1期目录+封面,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=401508686&idx=2&sn=2d297fd05aa512f6d79b39513a8b261b&chksm=0da0627b3ad7eb6dc4530392a12fa93befdcb19dfccf4ccfe84e2f92d2d3e54822c03c6013c5#rd,2,2015-12-25,0.0,1.0,1.0,0.0,7389.0,0.0,39.0,这期有我！好开心！/呲牙☀买了而且收藏得很完整☀我家每期都买！/色/色/色/色☀哇～终于发推送了呢！☀读书无禁区，期待能抓住老读者，发掘新作者。☀圣诞节，读书日，公众号步伐有点缓慢，但毕竟来了……☀关注了好久，终于见面了/色☀热烈期盼啊，终于来了/微笑☀不是每期每篇都读，可这期自己能读的不少/强/强☀读书真好。☀希望回归知识分子枕边书的知性与温暖，做有温度的《读书》！一直期待着/玫瑰☀研硕导对《读书》情有独钟，珍爱有加！每期必读，受师父影响，开始订阅！这的确是一本有深度，有思想的期刊！终迎来公众号！四爪点赞！/鼓掌/强☀终于开公众平台了，可喜可贺，我是从2000年开始买，一期不落的老读者☀衷心祝愿越办越好！/强☀我是连电子查询版都买了的老读者，以后终于可以从微信了解动态了。☀《读书》与时俱进了，赞一个/强从80年代中期开始读，到现在还是见到必买，乐在其中。☀开公众平台了，可喜可贺，我是从1996年开始买，一期不落的老读者。有微信后也经常将&lt;读书&gt;里面的文章推荐给朋友们看。愿更多的朋友们读这些文章。(每期都有，但不是每篇都看，藏书的想法实在简单“这么好的文章，哪怕现在没机会读，也一定收到手里，等有时间再认真的品味！”)呜呼，但愿！呜呼，如是！☀这种装帧风格很好，希望坚持下去，保持32开本。只要改十六本，我即不再购买。☀终于等到你/微笑☀读书的文字隽永典雅，很喜欢。☀你好我是《读书》二十年读者.从大学到工作自费订阅20年今天看到微信平台很激动很高兴.终于可以与读书互动了.☀从《书林》停刊后，就开始买《读书》，期期都买至今。先关注着。☀读了3年了，感悟很多。希望读书人共同进步。☀第一次在邮局订《读书》这个刊物，今天刚刚到，期待他的精彩～/调皮☀本期《血荐轩辕》《谁是野蛮人》《卡夫卡的布拉格》不错。☀今天刚买到，每月买读书成了习惯☀訂了二十年了，也是目前我訂的唯一的一本紙質期刊，對《讀書》的喜愛就不需要多說了。祝願《讀書》越辦越好！☀本期头条不错。1980年代看过杰·里夫金和特·霍华德合著的《熵：一种新的世界观》，现又有《零边际成本社会》，深刻，都喜欢。思想不息，致敬！☀90年上大学开始看  认识了很多佩服的人  茅于轼 张维迎   觉得自己明白了很多,57☀56☀54☀51☀39☀39☀33☀29☀24☀20☀17☀17☀15☀15☀13☀12☀9☀8☀6☀6☀5☀4☀4☀4☀3☀3☀3☀2☀1,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀感谢您的支持！☀nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀0☀nan☀nan☀nan☀nan☀nan
483,“读书无禁区” | 重温《读书》创刊号,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=401508686&idx=1&sn=79cf92f8d836e9d498d2c143e0263b40&chksm=0da0627b3ad7eb6d455416a8760024d121d77210756b836e51db4883cca47b890df999b628fd#rd,1,2015-12-25,0.0,1.0,1.0,1.0,27553.0,205.0,145.0,三十六年前的旧文读来，依旧让读书人感觉心潮澎湃。新的时代，我们依旧需要坚守这样的风骨，说真话，办实事。☀从高中开始看读书到现在进了大学学习哲学，读书杂志是我的精神启蒙，希望读书杂志的公众号也能继续为社会启蒙贡献力量☀我已经默默地关注了你们好久……这个公众号终于要开始建设了……☀需要有一个读书人的精神家园，成长时汲取营养，彷徨时寻找方向。☀已随《读书》三十年，创刊号还是头一回读。☀我是一个偏爱历史的高中生，今年偶尔在学校图书馆看到这本杂志，现在爱不释手！如果中国还有什么书可以开民智的话！就是它了！新一代需要这样的新观点，而不是网络小白文和无脑小清新☀终于等到了，知道你会来的……☀当年的，大胆倡议与宣言，又要兼顾政治环境，分寸之下，依然振聋发聩，胆识与智慧的最佳代表作！☀好书，自费买过不少☀我是《读书》的忠实读者，感谢她引领我学会思考。☀守候了《读书》三年，高中生涯已然临近终点，《读书》是严谨的社科刊物，喜欢它的追求，它的风格。期待着在纸质阅读之外的《读书》能越办越好。☀《读书》好杂志，有始而无终！☀我是大二在学校的报刊亭上第一次看到的《读书》，一买就爱不释手。‘山外有山’，作为一名学习社会科学的学生，这本书既能够开阔视野，也能带我深刻探究一些学术问题，使我明白探究解决中国社会问题，首先需要扎实的学术基础！☀一经谋面，再无分离，唯《读书》！☀作为文科班上最早了解《读书》的人，我把它努力推介给热爱追崇学术的老师和同学，因为《读书》激励着我们读书无禁区、学术无禁区，更是激起了我原创的兴趣。我渴望与《读书》一起迎来我人生中第一篇投稿。,114☀84☀77☀70☀59☀51☀36☀33☀30☀22☀20☀18☀18☀16☀13,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan
482,《读书》首发 | 李零：关于抗战，我不吐不快,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=401571081&idx=1&sn=3cd6d9ecfc3a827a54167b19689741bf&chksm=0da1963c3ad61f2a329f8ea3894b85253c2cd7d37389631ee61bc6921e591afe3b37360c3b02#rd,1,2015-12-28,0.0,1.0,1.0,1.0,62174.0,36.0,673.0,,,,
481,《读书》首发 | 孙英刚：千年雁塔费思量,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=401619858&idx=1&sn=ec8504516160fb4c335d2d0f52cab897&chksm=0dbed0a73ac959b159e2b9e3e87544024da50ac07d00de90368996a1dcca5a90023226b5ae93#rd,1,2015-12-30,0.0,1.0,1.0,1.0,10651.0,7.0,57.0,情亦真，史文写得如此让人感动啊，好的学术终于还是通于情。☀生活在西安的我受教了/抱拳☀好文本。他的微博，我天天浏覧。☀做学问，在于广博，严谨。圣严法师对大雁塔有过讲述，孙老师这篇讲透彻了。个人认为，«读书»当如此选题，切入大众热点，刊物更有生命力。☀读书文章真好！长学识！,33☀32☀17☀8☀4,nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan
480,2015年，我们与这些书一起走过,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=401673839&idx=1&sn=aadc2a2397931ce2b94663c6287fa1a8&chksm=0dbfe55a3ac86c4c5956f12d80a3a742381add5ba88ddd41e8e4555c12ddd3169a703d0ed84c#rd,1,2016-1-2,0.0,1.0,1.0,0.0,12280.0,1.0,62.0,不知能否与评论文章联系起来，按照所述主题排列，这样对读者的帮助想必会更大。☀我只看過其中二十二本。☀《读书》，与我相伴最长久的杂志之一，从1979年创刊到现在。祝《读书》保持本色。☀信息量太大☀表格中应有该书出现在哪一期的信息。☀我也是这样想，总是看里面文章，和书没都对上。在加一列，就更清楚了。☀够古董的☀看过一本/闭嘴☀不知是编校问题还是原文作者的笔误…2015年12月邵燕祥先生的一篇答友人竟出现了散原老人的孙子寅恪这样的错误！望其更正,44☀38☀23☀22☀20☀17☀16☀14☀9,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan
479,《读书》首发 | 赵刚：一曲告别“短工业化年代”的哀歌,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=401704842&idx=1&sn=6ecc5c4487065f4fd100d9a12ab2ee46&chksm=0dbf6cbf3ac8e5a9e7e7573d4aea0e179072ea025856f81744c1ceb24ed97d36dab83e5e4fd6#rd,1,2016-1-4,0.0,1.0,1.0,1.0,2757.0,1.0,21.0,读书的文章，篇篇精彩！,0,nan,nan
478,姜涛：“重新研究”的方法和意义,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=401727482&idx=1&sn=dd52a896a38856739e7093ec5a5a7a17&chksm=0dbf34cf3ac8bdd96bacf1a908c72c60397117e6f0d6695c590b89216759014b6e85eb64a998#rd,1,2016-1-6,0.0,1.0,1.0,1.0,5234.0,6.0,41.0,,,,
477,李皖：这么早就回忆了,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=401981790&idx=1&sn=045061c5a302a44c35aca1d3ee24ac3a&chksm=0dbb2a6b3acca37d9fc6931bc7d22046e3ba26c55637b21898885a92e54d6ea03e8951711a79#rd,1,2016-1-8,0.0,1.0,1.0,1.0,8294.0,3.0,52.0,久违了，18年前读过的文字。☀我骄傲，我有幸也是这代人！☀太太太有回忆感啦！在大学里第一次读到李皖老师的文字就是这一篇！/玫瑰☀不敢窥视逝去的时代，怕沉浸在诗人们波澜的梦里;不原意找到回到现实的路。☀1980年代，一个值得回念的时代，春暖花开的时代！,32☀29☀26☀21☀16,nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan
476,曹卫东：大数据是怎么反民主的,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=402021457&idx=1&sn=c3e428a2e4fac03f44f451b90c8a9258&chksm=0db8b7643acf3e727ca6eef99a16513f42b3979c12bd41513d49dd8b9853dba65522b149f241#rd,1,2016-1-11,0.0,1.0,1.0,1.0,30955.0,9.0,211.0,"数据一直很大，只是我们采集得越来越多；唯独知识增加不多，所以人类还是警惕吧，因为智慧更少☀黑客帝国看过没？人类甘心为奴，热爱自由的只是少数。而且打败了矩阵，就能有自由吗？☀数据时代的存在前提就是在虚假的全球意识基础上对文化纵深的直接蔑视,通俗来说就是知道耐克的价格风格比任何教育知识都重要。而教育以进步的名义早也在向技术官僚伸出了橄榄枝。☀产生大数据分析是应该为人类所用，而不是让人屈从于大数据，而丧失精神方向感",62☀58☀57☀54,nan☀nan☀nan☀nan,nan☀nan☀nan☀nan
475,李伯杰：“三个德国人，必有一社团”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=402056844&idx=1&sn=db17bae7b3bb1d85bc8f1dc4c06041aa&chksm=0db80db93acf84afb7b9d893021c2ac94f76dc16ded41a445f61ba509351a00ab6248415c0ea#rd,1,2016-1-13,0.0,1.0,1.0,1.0,3530.0,5.0,37.0,现在的中国也是农业化转工业化，工业化转城镇化，社会心理何其相似，人与人之间隔阂太大。找不到存在感，所以我们也应该借鉴德国，找志同道合的人结社☀德国人小意思啦，作为一个中国人，我平均每月加入三个微信群/得意,12☀5,nan☀nan,nan☀nan
