Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin
0,《学术前沿》杂志招聘编辑/研究员,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759787&idx=1&sn=8489af1fb8755f32f7f074d5a5a893ed&chksm=bedbfddd89ac74cba8858ddbfba1d35a4c3d59fdcbc5e93cd5964b2403d9218ac11db32e3a06#rd,1,2020-7-21,0.0,1.0,1.0,0.0
1,兰宜生：海南自贸港建设的机遇、挑战与政策建议,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759749&idx=1&sn=4ec1ab17aadb556c7a6a787324a0fed8&chksm=bedbfdf389ac74e5f08af86054b3f435293a66b91e41e978db8b908c9d9f34b6c8918edff92a#rd,1,2020-6-1,0.0,1.0,1.0,0.0
2,吴飞：人工智能终可“识别人心”,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759743&idx=1&sn=08d40e30b13691b4eea504988b8175d3&chksm=bedbc20989ac4b1ffc12b9e989904331ccb80a5fff5be797229c5d0131f3c60a8ef9eefd81ff#rd,1,2020-5-28,0.0,1.0,1.0,0.0
3,读心术的光与影：从水晶球到脑成像,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759737&idx=1&sn=f23ea396f35a0109128effc80d49d944&chksm=bedbc20f89ac4b19afd289c2a7dee27ed5fbeab0bd3ef3c3e43f34b2246389e0bb5b4c19a565#rd,1,2020-5-18,0.0,1.0,1.0,1.0
4,易宪容：后新冠疫情时代全球经济增长面临重大抉择,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759732&idx=1&sn=a4f6f15c1928489bd09e43667c924f78&chksm=bedbc20289ac4b14df990ccb2ad0b1be979442e181ad6354458947b6ff5b3072f919d5e16ed2#rd,1,2020-5-8,0.0,1.0,1.0,0.0
5,保建云：主权数字货币、金融科技创新与国际货币体系改革,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759724&idx=1&sn=e49f421663c58fb938c32e30519f2fbf&chksm=bedbc21a89ac4b0c69f5c37ae336f75e485f5fb924e407d5fe48cb4ee1960e3c0991e7c6efbd#rd,1,2020-4-28,0.0,1.0,1.0,0.0
6,赵可金：为什么新冷战是不可能的？,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759713&idx=1&sn=61ddd8fc83c815a708f396faf0ca5c25&chksm=bedbc21789ac4b01518142d994a7c2e851ba4c53c1ae83d5bc89613bf13a735259b204f34f9e#rd,1,2020-4-27,0.0,1.0,1.0,0.0
7,徐飞：世界交通运输的发展趋势与挑战,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759708&idx=1&sn=09b710469e6850589eeade0415f79111&chksm=bedbc22a89ac4b3c485d40f2bbc0120a72c0a28a8c5abd92bd3017de94856d65e49ff3622463#rd,1,2020-4-24,0.0,1.0,1.0,0.0
8,王振民：大灾之中的省思,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759699&idx=1&sn=d84026da9093312bf35c67bc3aac3ee3&chksm=bedbc22589ac4b3319919e8263e48bdb2312bfa693d14c89ecd1ba5a3b7ddb051ae0c5f54908#rd,1,2020-4-24,0.0,1.0,1.0,0.0
9,胡正荣：人类命运共同体与文明交流互鉴——基于数字时代传播体系建设的思考,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759691&idx=1&sn=a703ec4e175ceeaccf92d1a9f95e8093&chksm=bedbc23d89ac4b2b5b9e3a09f9f365da1b900e7f15eae23083da69bf00ee90b243e63b8abed8#rd,1,2019-6-14,0.0,1.0,1.0,0.0
10,马怀德：新时代行政公益诉讼制度的发展与实践,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759682&idx=1&sn=b072797877f6207b9897c68a42d19198&chksm=bedbc23489ac4b22c0197c19187859bb4daf9dbb66c1263da01cf20071cfd20629142ef69ad4#rd,1,2019-5-22,0.0,1.0,1.0,1.0
11,霸权的操作技术：特朗普政府“极限施压”策略剖析,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759676&idx=1&sn=f1f19d98b7e56f5e4c075580aea21357&chksm=bedbc24a89ac4b5cc3718024c432acba03de3d91fc85c7aee8fe511b30e6ced9afc7679339ed#rd,1,2019-5-15,0.0,1.0,1.0,0.0
12,沈伟：中美贸易摩擦背后的深层次动因,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759671&idx=1&sn=d5c98f97527fd11acc2045eb4c3b76d9&chksm=bedbc24189ac4b57b4e5f8d7c3332c369583dd8f3c955d0facd5fdbca7af21aebead9effd376#rd,1,2019-5-13,0.0,1.0,1.0,1.0
13,严三九：媒体融合的关键要素,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759666&idx=1&sn=c202e1580728b274dd66ef93505ed6cf&chksm=bedbc24489ac4b522196d09f7156ce707509a691efbfa24ce7907fe6dffaaa6b46a5d6a879a5#rd,1,2019-5-8,0.0,1.0,1.0,1.0
14,长三角一体化需进一步明确核心区域规划,http://mp.weixin.qq.com/s?__biz=MjM5NzA4MDIxNw==&mid=2649759660&idx=1&sn=6a0cdc3840991040a562993a5aa9325c&chksm=bedbc25a89ac4b4c623e6955462ac3fce82b7b1773fe42b08242bdfda6d94720998418a7bedf#rd,1,2019-4-10,0.0,1.0,1.0,1.0
