Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin
0,"防疫新政“20条”背后, 警惕一种新型“分锅”自保术弥漫基层 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351303&idx=1&sn=dbfcd57e93923dbbd265b44c77582fc8&chksm=8b542cb6bc23a5a0c40f9b852c32894abb855fa4ed9a0f1863b37678f9a5186dd02233506e17#rd,1,2022/11/11,0,1,1,0
1,深度理解当今政策的一种方式 | 双十一开启阅读计划,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351303&idx=2&sn=832d6005aa72763c95203b18674782a7&chksm=8b542cb6bc23a5a088f03cde595e8c18bd27e0875784c6922d35f409dfed83c402c08464fc2b#rd,2,2022/11/11,0,1,1,0
2,"这两年被全网群嘲的“高认知穷人”, 真是因为认知出了问题吗? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351294&idx=1&sn=33acd5ea8b603b3c26c13e516074da17&chksm=8b542ccfbc23a5d93ccc23683834f63f838044babc8281a8378d34edd585d6b3b6867b8f0ba9#rd,1,2022/11/10,0,1,1,0
3,焦躁时代的逆行者，在这个双十一把书架填满,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351294&idx=2&sn=f806bbf7d612c2299d322bd78b405d7b&chksm=8b542ccfbc23a5d915aad5423a3fadc52a6873cfabd99fdffd1c485dcb65cf04cee9f5ae61a9#rd,2,2022/11/10,0,1,1,0
4,"乌克兰突然“强制国有化”, 中国航空的软肋正遭遇重击? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=1&sn=35defe2dfc12a3a9a3d64642b11c2a0f&chksm=8b542cefbc23a5f99c2b5ed3d88437d49930cdee399adabab14f30dc834a4d62c94e6015cc49#rd,1,2022/11/9,0,1,1,0
5,中信银行：以有温度的普惠金融服务，支持小微企业高质量发展,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=2&sn=9e3540c8b8531d363403c956b9f8c198&chksm=8b542cefbc23a5f9d7e8eb9bfd8ea0f80f68d135054b7a3f925edb9245f77b70b23269c84bb6#rd,2,2022/11/9,0,1,1,0
6,最后半小时 | 2023年特惠团购全年仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=3&sn=2f07d4fa5d391eb100889dc4e29464fa&chksm=8b542cefbc23a5f948e6f4653f8aa1cfeb208ff86908764732cf6923f4ff0726ad7f9b73213b#rd,3,2022/11/9,0,1,1,0
7,"韩少功: 折腾百年的中西体用之争, 像是关公战秦琼 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351235&idx=1&sn=fdddf823ccfdfcc2d5d48e28a2adab98&chksm=8b542cf2bc23a5e43d85e762db16cc1380e0b35ecbace6c695aecd47ca1b48f6cce5aff8dbc8#rd,1,2022/11/8,0,1,1,0
8,最后1天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351235&idx=2&sn=ae01debddbc5dba1758eb8533b4251e2&chksm=8b542cf2bc23a5e45870fcb0b95b7a4b95db474f72d6cead2a08e07c382a4579638101ec29d9#rd,2,2022/11/8,0,1,1,0
9,苹果借郑州富士康转移矛盾? 更深层的矛盾反倒裸露了出来 | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351233&idx=1&sn=7eed710c1eab71db69c8deaa4612c9ac&chksm=8b542cf0bc23a5e6cb5454a086f31110cf5ee353d316bd19984b6dd7d69370084a97bb7c8e10#rd,1,2022/11/7,0,1,1,0
