,title,link
0,乐黛云：转识成智觉有情,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650188247&idx=1&sn=50243f6e54377c888a2bf4e05bb732ea&chksm=87e43b92b093b28404ab116c91dd54e8b58d2c83ff4d18bf2971e0477759cb0c096396507bf8#rd
1,【社科青年说·二十大精神笔谈⑪】黄海燕：加快推进中国特色哲学社会科学“三大体系”建设向纵深发展,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650188043&idx=1&sn=22fb4775a4a7096f961d1586d6ceead5&chksm=87e43b4eb093b258102dbc4d5a412c4de5f731d950f3033c4986dcc0d431d9c0c65df3638a78#rd
2,科学把握习近平生态文明思想,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187958&idx=1&sn=28d87140f2c8c42d96116f0606672899&chksm=87e43af3b093b3e572040557c00a649288fce2a2c063d9eff690d9e14284180956ee28071dcd#rd
3,招聘啦！【遇见社科】中国社会科学院相关院属单位招聘合集（3）,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187949&idx=1&sn=7d05384a58cfefa3fe52294623e2dfca&chksm=87e43ae8b093b3fe6d8b83f4615899121432ee0d6f92552a0151154b7f16980571532d360fa4#rd
4,【学术圆桌】构建自主知识体系：全球史与国际关系对话,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187848&idx=1&sn=7711d35a838cce34c4633b458d8a2022&chksm=87e43a0db093b31bc33d041415a647f195096fd6106b3d5d8312c73175ef292e82f7a2cfb740#rd
5,101项批准立项！速览2022年度教育部哲学社会科学研究后期资助项目立项一览表,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187830&idx=1&sn=f80bb73d63a75b8d326a29c6e65e99c4&chksm=87e43a73b093b36516befdf979284130432b998de03a954532eb7a91cc41be23f4d855e56e2d#rd
6,预热视频 | 百名专家学者祝贺中国社会科学网新版即将上线,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187726&idx=1&sn=c5843f770a0737ce4f783b5a373c5f61&chksm=87e4358bb093bc9d7d3d16114fd02c8cf5d73edbfed7195cf2a66666ce8cbc938a6a86388c90#rd
7,《中国社会科学》2022年第10期目录,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187722&idx=1&sn=939f169f257b17c0ee1a2ac39f80687f&chksm=87e4358fb093bc9951b8dff399f19520e3d014cbd78a9eb1f01cb70f68597cff63dde01360bf#rd
8,【社科青年说·二十大精神笔谈⑩】马正立：深刻理解和准确把握“五个必由之路”,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187623&idx=1&sn=718c09a6a0d26b9736137eec6666da73&chksm=87e43522b093bc34d6eff7c3f250d625137bf6b62ef7b2432a38a7c97339f8a58a6c0d285e70#rd
9,《山海经》：古代世界的失落与重建,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187602&idx=1&sn=26e79dff66f00c8e834914caf9ccbf88&chksm=87e43517b093bc01fd16ac79f612f25cb586211c1209b4f8b993f7a59e29b863fbd5328fcd71#rd
10,2022年10月国家社科基金项目结项情况：389个予以结项 72个暂缓结项 8个被终止,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187259&idx=1&sn=caf6510e5ad0c76234956f4326948e98&chksm=87e437beb093bea8a050a0d8aee408071662cef1a5321c8f9aa66a28364431e3db408acfca50#rd
11,【社科青年说·二十大精神笔谈⑨】张君：以全过程人民民主全面保障人民当家作主,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187246&idx=1&sn=386dee97c32479c7e0fa13724e61e667&chksm=87e437abb093bebdd19570243a4b4c5c0a8669fa5cf1d1eb5952aabfb73b2c7eee5bc8edee66#rd
12,用党的创新理论凝心铸魂,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187220&idx=1&sn=f5257d88c97b00cde558c7081d33b816&chksm=87e43791b093be871027db53c038449b2d1caff6cd442f2ec77f40e10470c29309ad5fd84113#rd
13,在接续奋斗中创造百年大党新的辉煌,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187220&idx=2&sn=602e033fc88e1ddd9d8502a880077a6e&chksm=87e43791b093be870408f5f5bc2da86c47638041d1d6f1a124ab232c949b88bfe29686427ae8#rd
14,第二届“中国+中亚五国”智库论坛召开,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187199&idx=1&sn=0714e59eafcc3c9be30e1f050ae076b7&chksm=87e437fab093beec8b9e5f1540ec12f47236861e7d1ac12e978907eff944fba6271d55fd8cf3#rd
15,把党的二十大精神贯彻落实到创新工程全过程,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187199&idx=2&sn=301f042c69a5cf817803f0deaf66209f&chksm=87e437fab093beec81d65d0bdf0fa983081be1885b58dca3236840e648d533ebc8ee51c9dec8#rd
16,中国社会科学院大学教学综合楼奠基动工,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187199&idx=3&sn=b3a2d6b871c0f31c1119f572de235a2e&chksm=87e437fab093beec022ae222430d0c973b3b5a6d27ee466787963e2a9bccc7575e6df210c243#rd
17,中国社会科学院图书馆媒体中心揭牌,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650187199&idx=4&sn=ab8ca15cef138586999e4b133d91c282&chksm=87e437fab093beec8d095c21fdd22a7eeeea3e05cef11897f79c2d6e4c5831a2a3360f406b71#rd
