,title,link
0,张静 | 本维尼斯特语言学思想对罗兰·巴特“写作”主题的影响,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109986&idx=1&sn=41aecee004ea772d911d588280927944&chksm=8b46c2c4bc314bd2ecb3eec0c904f56894ae19dc4d1cc7be9b438962ad9db8921c810bc416be#rd
1,资讯｜把握机遇，推进学术期刊高质量发展——“学术期刊编辑能力建设专修班”第十讲在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109986&idx=2&sn=ba75cd203d6ca515f025fd2aed3f4c8c&chksm=8b46c2c4bc314bd2a2d071124ee2c6c8516f36524887ea602a2f9ecb9160e5901a2a68dc2cfc#rd
2,贺来｜从“概念的普遍性”到“实践的普遍性”——马克思哲学与“人的普遍本质”理解范式的重大转换,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109955&idx=1&sn=5d31e1d10a84f79537b46a7e241d2308&chksm=8b46c2e5bc314bf368aebca2004792de79960bdcf2aec3cabd67507a8a2466496899ca879172#rd
3,资讯｜社会科学研究前沿问题研判与学术期刊的应对之策——“学术期刊编辑能力建设专修班”第九讲在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109955&idx=2&sn=3ce26a0164555eb0cb735f614e8347f7&chksm=8b46c2e5bc314bf3cced44fcd506abe4bad18fc52f53ddb905aaaa23060dafe0cea91523f277#rd
4,魏偏偏 | 三维虚拟技术与古代历史研究,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109952&idx=1&sn=6c2cf3745fa33bdf7a5b511424ac9a39&chksm=8b46c2e6bc314bf043cba47213e8aa17d20f5e6f293fdc52c221e9bbc2026b674113a01356c8#rd
5,资讯 | 上海社科中心启动“上海哲学社会科学青年学人发展状况”调研项目,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109952&idx=2&sn=a92fb53ce8923110242c640824689f53&chksm=8b46c2e6bc314bf02fda7b35ad661f54d4b069db1c2e6f2a17bd3545b0969785764db45fb951#rd
6,沈国明 | 中国社会主义法治文化的历史回溯和进路,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109943&idx=1&sn=9205e60c85802c9fb1452aa6823b31f6&chksm=8b46c291bc314b87cd596b021319e0e23409abbded120cd06eb0c77fd4797f4464eb8fc4ce2d#rd
7,王振复 | 原始“信文化”说与人类学转向,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109910&idx=1&sn=cca2409eb81f3dcc57c02b5d6517513e&chksm=8b46c2b0bc314ba6aa474ec9945f1a46e923af9150a1dd90ba0125dcddf952c953946f80f989#rd
8,菅志翔、马戎 | 语言、民族国家建构和国家语言政策,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109907&idx=1&sn=ac65a86d9ecc1c8f499eab0a2523f044&chksm=8b46c2b5bc314ba3a5eb0389c3c5f71ab15837a9d3ed240e06655f7100cecca0f004df37a953#rd
9,刘少杰 | 中国网络社会的交往实践和发展逻辑,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109904&idx=1&sn=d718dbe8472888d1567db1954c584eca&chksm=8b46c2b6bc314ba086119e265f0aa34c9e9c5050f34b2b17de47c93448c41fa1980a1b405df3#rd
10,《学术月刊》编辑部召开社会学栏目评估暨选题座谈会,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109904&idx=2&sn=d2f3a73d3a5b23787387e4cc5149e0e8&chksm=8b46c2b6bc314ba069d54952a7ee2ef5e777d626b91cba02e44d1396fa9ad8c111fdbc320f4d#rd
11,陆烨 | 民国知识群体对海权问题的探讨——以主权、现代化与民族转型为中心,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109903&idx=1&sn=62daee8f04319e694e466b1ce25fb046&chksm=8b46c2a9bc314bbfbb201454a21b550a057ba4c43e54fd8c5769d017ed19d24283558649dead#rd
12,资讯｜学术期刊如何回应时代之问——“学术期刊编辑能力建设专修班”第六讲在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109903&idx=2&sn=e7d7a972398dd3c6e61cf98c76b1a1a6&chksm=8b46c2a9bc314bbfb21f971a9dcfcdaefa78888973f787030e9bda7a04cd8cbc3d80feeaef6a#rd
13,资讯｜探索“以问题为导向”的办刊方向——“学术期刊编辑能力建设专修班”第七讲在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109903&idx=3&sn=37a0c472e851be6a44efa9caf44d3ea7&chksm=8b46c2a9bc314bbf7386d2693e6d2ab047b0cc817b304bde13a7ba012ef5b6727d7fd27e8ae4#rd
14,李井奎｜IS-LM模型：一个经济思想史的考察,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109881&idx=1&sn=580da94c218590d26e72eeaeb19d5b78&chksm=8b46c15fbc31484905d08f0494a5e69e2e6f4e0dc3b81888c7bed6b5ef37b7fe1aa4740ed933#rd
15,李平亮 | 清末民初新式社团与乡村社会权力格局的演变,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109878&idx=1&sn=f71c32b108088d34e8ba85e703f26438&chksm=8b46c150bc314846ed52e1a230c69fac111e67ce4fea9fdfc3305c6ac0a6a19ffc0a1d1db425#rd
16,资讯｜学术期刊编校质量检查中的若干问题——“学术期刊编辑能力建设专修班”第四讲在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109878&idx=2&sn=580f007359a8bf3616d16353b1898eaf&chksm=8b46c150bc314846cedb56936b7ae4926522bf297656ec58ae21d70638beaa1f2c58f9bb0e4c#rd
17,资讯｜合理引入同行评议 促进学术期刊高品质运行——“学术期刊编辑能力建设专修班”第五讲在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109878&idx=3&sn=7ca3c41f2489c98c3a1f1caa66a75a3c&chksm=8b46c150bc3148467d2349db69c55944ad3393e179f1b6a556eeed86855724a10265d2b1df01#rd
18,唐启翠 | 新文科理念下《文心雕龙》题名匠心再研究,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109827&idx=1&sn=e723ae3d721de6f3cb4dd6ccb070109b&chksm=8b46c165bc314873776c25c88e71c77f3c3d0214c5204294a13cc1da16c1b0bedc3524f6af7e#rd
19,资讯 | 人文社科期刊如何策划长选题——“学术期刊编辑能力建设专修班”第三讲在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109827&idx=2&sn=6fa19ff101d214f3c110558d17951e87&chksm=8b46c165bc31487338c0f9eec5299c9dd0dc12880c7ce3801792214a8bb24184a45b4c9f837d#rd
20,《学术月刊》2022年第10期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109823&idx=1&sn=8ae1f8fbf9a5f5836ecbda625fbad5f5&chksm=8b46c119bc31480f07944aefe35a435720dd2ed05297bd06d2f107d7b3647caf80322e087797#rd
21,黄勇 | 良好生活的两个面向：对儒家义利观的美德论解释,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109822&idx=1&sn=c98ae80032a2802c33710979a23ebdc7&chksm=8b46c118bc31480ead0aa5b06e9d1ee20e5632bca9c4eea6c238fbe1bdb761725bed72e5c4fd#rd
22,访谈 | 用哲学的方法研究中国哲学—黄勇教授访谈,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109822&idx=2&sn=351c7b95ed3ef0b07c9fae507807a975&chksm=8b46c118bc31480edb4b23b71871988e3d613f8d7d5820572f7f2d0d474f985b22e0f6c53b0e#rd
23,周嘉昕 | 青年马克思是如何批判黑格尔的—《1844年经济学哲学手稿》笔记本III再考察,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109591&idx=1&sn=f5b327f314256f9383d9430d9d0d230f&chksm=8b46c071bc31496749bdebf52f77a62942ad22f120fd0c9ef9264a23ada536d4f782c8610d8e#rd
24,资讯 | 高水平编辑人才的四重境界——《学术期刊高质量发展的趋势》在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109591&idx=2&sn=27e15e6174d0fefd0e4a17384ddbf57b&chksm=8b46c071bc3149672d1a21ea21cf287afdb3fb983c596d67b607d4fa827df1561eeffbe6f0ce#rd
25,孔妮妮 | 南宋时期权臣秉政与制词书写中的政治博弈,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109506&idx=1&sn=6ffdd04b2e0086edc6c6311a5310f435&chksm=8b46c024bc314932641b8251cbc33d62e0bf1145e0aaa2581e221531b20468b178d1d7ba4c02#rd
26,王姝彦 黄晓宁 | 何谓“常识心理学”—从当代心理学哲学的观点看,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109488&idx=1&sn=fd94c4d148808e4d0f8bef55836ca85f&chksm=8b46c0d6bc3149c051ce61ea7e1c11a0cecaf25a44bcb42a63ae44f041a281b2bbb5251117f4#rd
27,资讯｜“学术期刊编辑能力建设专修班”在线举行,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109488&idx=2&sn=a6d68ea756b2f518c48c9fcd6d138cee&chksm=8b46c0d6bc3149c094ca73b7de0666638b674414d2039aaa23d6b44253ef4b1db358c24dfd50#rd
28,闻翔 | 艺术市场全球化的社会学叙事：表现、机制与后果,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109471&idx=1&sn=a65ba2107b3a4192c2a9df5b13e82a78&chksm=8b46c0f9bc3149ef428e8c8b79c376fd837449aef3581133b94d59c8ad2d0bf76fde15f3bb7b#rd
29,欢迎加入！上海社科中心招聘啦！,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109468&idx=1&sn=2d4498ff4254680512d0297864ee8cd5&chksm=8b46c0fabc3149ec623a943270d60c864f4982ba4c9a22c66f9dfb8771105785bbb4545027b1#rd
30,预告 | 学术期刊编辑能力建设专修班开班！（30学时）,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109468&idx=2&sn=883a61ec8c49907a59f1efe4ab18c55b&chksm=8b46c0fabc3149ec9552f92cb6e11afc44ea97e1945026cf4c8f3e722bf0bccda585c73c7147#rd
31,叶舒宪 | 人类学转向：新文科的跨学科引领——以李泽厚、杨伯达、萧兵、王振复为例,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109448&idx=1&sn=ca35d55689afbf3719151f5354d8875f&chksm=8b46c0eebc3149f84ad871224c1eb07df9a3e55873affa49d9dbdc9d588ad0577cff8bcef0b4#rd
32,董直庆 谭玉松 赵贺｜人工智能技术会诱致产业逆向梯度转移吗——来自省际层面的行业经验证据,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109445&idx=1&sn=5eaf8c7ed9e2d2a0d77b616b717c34b9&chksm=8b46c0e3bc3149f563979b2401e85db1cbe657c6c7b8d42ec6d5ce6a05914d1469d125377f25#rd
33,万广华 江葳蕤 张杰皓｜百年变局下的共同富裕：收入差距的视角,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109380&idx=1&sn=cfbc6b4394f2800f5430f74ede4b4e46&chksm=8b46c0a2bc3149b4628b496415283001fdb2ffab4017fbcd3eff27a79d19adf3bae52e36afb3#rd
34,韩志明 李春生｜治理界面的基本维度及其运行——公共治理变革的空间性分析,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109332&idx=1&sn=c36a68c7336a9c125ef6bbb605c6c654&chksm=8b46cf72bc3146641e40cfdd52e44ffa3b20fc92507046e44928f890611994d8fb7989477fca#rd
35,学术月刊编辑部恭祝各位读者、作者朋友们国庆快乐！,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109273&idx=1&sn=982170e5ca8c73815bde6d77d77661a2&chksm=8b46cf3fbc314629396817d7c13a752f4dea4e09e5857bc989acd6ee8bce3340e35354580902#rd
36,赵鹏 谢尧雯｜科技治理的伦理之维及其法治化路径,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109263&idx=1&sn=b38d84288aa1f2b5240dc2cd75bc6d99&chksm=8b46cf29bc31463fd6a2dfea30a1454c6230977b253c354718c5bef140944a9705faa8e50875#rd
37,陈杰 郭晓欣 钟世虎｜城市外来劳动力市场上的农业户籍歧视：时空变化特征及影响因素,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109262&idx=1&sn=815dff275c247e9d7dfe3a971da0baee&chksm=8b46cf28bc31463ed19abef87cdd9ea02510cd5e54c561cd297dbd19096cec18d1b60e0c34dd#rd
38,侯旭东 | 东汉《曹全碑》“敦煌效谷人也”发微——兼论家族研究的视角,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109261&idx=1&sn=bd0b477d0385d21ef1a6a05875e95244&chksm=8b46cf2bbc31463da67957c12eb0bb55c62fed76758b8889508328e51edf5f6b4ee0546440d5#rd
39,《学术月刊》2022年第9期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109260&idx=1&sn=31df729b0842e7b592ae05102926a3b5&chksm=8b46cf2abc31463ca29ddc4d039a797a2d4cad55b8b85d5af8a1fcd9c2c02ba32a348dbf2980#rd
40,郭亮｜法律之外的秩序：土地的“习惯性利益”及其治理——基于两个社区的讨论,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109032&idx=1&sn=7a3905ebb66881019af4ae49c01161d5&chksm=8b46ce0ebc31471813144aabc383d7bb57dcaefe1fe67038959c9e74625b8fc23e26041650ed#rd
41,倪逸偲 | 自我意识的结构困难—重审荷尔德林的早期费希特批评（1795）,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109031&idx=1&sn=3b2f9adfae6a41982adfe28c18accb3d&chksm=8b46ce01bc314717cfc54475cd078bcfd4fe5317d2a7cb4b3919092639399a3db13463cfdbc5#rd
42,贺雪峰 桂华｜行政激励与乡村治理的逻辑,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109022&idx=1&sn=4ed7e67a7199b93adeeb116ec81c1ecc&chksm=8b46ce38bc31472eb41adc82765052dfc03ba01336a55718983a0ebc017bdc3aef943b746e32#rd
43,吕鹏 傅凡｜资本的有机嵌入——以某农业产业扶贫项目为关键个案,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651109022&idx=2&sn=76f8e5454c5d558d40043cd528457223&chksm=8b46ce38bc31472e90fab652cb2204f4652cf3eddbf62840ca2e3e7fdc4ed1c15c14ab8c8a97#rd
44,范广欣 | 贵族制与黄宗羲的政治理想——比较视野中的《明夷待访录》,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651108958&idx=1&sn=9034df92cc66fbf390365f38b6873494&chksm=8b46cef8bc3147ee0d0ea8c5831a1b5b39360d989c1200c70a2d1c2fbe05ed78b0c8097be302#rd
45,学术月刊编辑部恭祝各位读者、作者朋友们教师节、中秋节快乐!,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651108957&idx=1&sn=7f4c6fde57dd55edd0ca2cc61ae827cf&chksm=8b46cefbbc3147ed00986978d25b0170452b2655e3d17dc479ab87fdb9fc6140ae810dc4de73#rd
46,施璇 | 理性主义幸福论：笛卡尔的伦理学说,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651108951&idx=1&sn=0e66144343626054a7f99891d34c0f14&chksm=8b46cef1bc3147e75e4eaf22879039946b37548a06c2b7e5520f6978e51c27826f85c0457300#rd
47,刘旭光 | 审美灵境论——关于“审美对象”的一种回答,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651108784&idx=1&sn=35270d00d807c526bce7cf728b0d6168&chksm=8b46cd16bc3144002e2f9086e8a2fe6f9cb71c018d0c07dc17282bf8ee13707fdc94e73b668c#rd
48,仲霞 | “美学是第一哲学”的中国论说,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651108781&idx=1&sn=f17775d9597db295b4801f8bff40eda8&chksm=8b46cd0bbc31441d35e06c256a0ff273b8d3b95376f883f8d8f5bb68ba2591bf038094badd61#rd
49,先刚 | 谢林论神话的起源和本质,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651108778&idx=1&sn=c87479f44e55b065d66032517967a7a9&chksm=8b46cd0cbc31441ac793f63b7d57bcdb19f797eed2e291688af9662d35d3d9f79fbf05f1e501#rd
50,汪春泓 | 关于汉文帝和昌邑王之史家叙事互文性探究,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651108777&idx=1&sn=a5db7644a84aee36c2112928071e6983&chksm=8b46cd0fbc3144192ef6359d5c53f3a340aac8ea1da3dddb54a407f813bb7cdb41e503b9ee73#rd
51,马涛 刘宇｜中国传统人口经济思想的特点与启示,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651108774&idx=1&sn=5cff0abfe441ef2782c1bef20316d750&chksm=8b46cd00bc314416a04f799f9b5f2a351a17ad0d94b89cea4ee75c96cbcc626da077333436d8#rd
