,title,link
0,马建标｜重新发现“东方”：1920 年代前期中苏交往的国际视域,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320311&idx=1&sn=e13a3e4c23a54a541055f1ab64bfc6c0&chksm=ba68c5818d1f4c97ce8ff5ba116d66daa94c7b14518e4faecaa896f32a849df3333d3c417674#rd
1,《探索与争鸣》杂志2023年征订开始啦！,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320311&idx=2&sn=92d8ec65f1795bcc8c19b2da6a6cc5b9&chksm=ba68c5818d1f4c97f4b64cc2d83fd0ce12e400066fecbaee00744723ff5ddf95b108f4313955#rd
2,《探索与争鸣》第五届（2022）全国青年理论创新奖征文公告,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320311&idx=3&sn=47809cb486fbc34eda43908ea8a4483e&chksm=ba68c5818d1f4c972b11adc69ed880a3a50513b7886b08e5b8b116de0037fbee3db5a3ac4717#rd
3,美国中期选举，保守派已锁定胜局？｜热点,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320309&idx=1&sn=f434146bf152231c4aa9716e6e541bd4&chksm=ba68c5838d1f4c957b2ed566a767a3179bd7b1b624fd8d89a76e3c93f9bc736d9c0a45f82b45#rd
4,《探索与争鸣》杂志2023年征订开始啦！,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320309&idx=2&sn=472ef724d0f47c535507924ab64a4798&chksm=ba68c5838d1f4c95139017eed062c67b25ac4ea70d72f652c89e5315dca6dd23bb21e28e4375#rd
5,《探索与争鸣》第五届（2022）全国青年理论创新奖征文公告,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320309&idx=3&sn=87847126f1cebb03141b83729e92e417&chksm=ba68c5838d1f4c95a449b044721ccc016532a1638591abfef2ddbe0f75dc2d1834f01cd8d0ff#rd
6,“时间暴政”:理解“流调中最勤劳的外卖员”的另一种视角｜​热点,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320302&idx=1&sn=eee44f32600a684e7b18b0344c08413e&chksm=ba68c5988d1f4c8e4ed0f1d63f54885f57f8d5683316157dfd7ead802c39272b3d5e6f9fcadc#rd
7,《探索与争鸣》杂志2023年征订开始啦！,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320302&idx=2&sn=bd50fc61fb670b75612c49fda6db1296&chksm=ba68c5988d1f4c8ee7677668aa952690c3adb56cf945187cdb38baa554e2ef7b53c476b206c4#rd
8,《探索与争鸣》第五届（2022）全国青年理论创新奖征文公告,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320302&idx=3&sn=42e1a6151e91c9c5d7628d5a031d01a6&chksm=ba68c5988d1f4c8ee634a23e425a780f47b28f6a776b07b1b542bb855b628e4d024684a47edc#rd
9,左亦鲁｜​美国正经历一次“改朝换代”——美国堕胎问题及其三重维度｜​本刊特稿,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320290&idx=1&sn=90390d3b8b5546dc560ebb4eb8653cb5&chksm=ba68c5948d1f4c8243410234c69fc2ec1e481870568d25b27372e11fba19bbbe1a946b88ffea#rd
10,《探索与争鸣》杂志2023年征订开始啦！,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320290&idx=2&sn=484b6cfd8aa9660d73f4e759ebe5ba56&chksm=ba68c5948d1f4c82926c1b07e157ee8a62f353acc522593de79f6651c5175c3ca27fa36bb182#rd
11,《探索与争鸣》第五届（2022）全国青年理论创新奖征文公告,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320290&idx=3&sn=dafe275239fa92df3aee9de251449c76&chksm=ba68c5948d1f4c824374d105af64cc3902932b7722b2347e2e080a44d2f3d08d06281edb7cb3#rd
12,教育是“育人，而非制器”——杨叔子院士专访｜纪念,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320255&idx=1&sn=a044838df9fa45faa13d6d22cfda36bf&chksm=ba68c5498d1f4c5f0ba4d24279f7776fd5e5eb713a64c036b3e9e6a8974e0eb7f90b3be6fd0e#rd
13,《探索与争鸣》杂志2023年征订开始啦！,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320255&idx=2&sn=55c4fcd8639a4ecda1cd2484f8d400ed&chksm=ba68c5498d1f4c5f750adf6142f07aecc562a13cfb6d6afe8efb15f5e51c7432af74a719ff55#rd
14,《探索与争鸣》第五届（2022）全国青年理论创新奖征文公告,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320255&idx=3&sn=64cedbc08f801edb00f24e8d15f13895&chksm=ba68c5498d1f4c5fa6ef7dd714d873b4e75f4512a2feae8760cfccb33c10123193dc9e7256dd#rd
15,郑戈｜​自由何以有序——法律与社会视野中的美国人工流产争议｜​本刊特稿,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320234&idx=1&sn=eef4de6146e1ff31917f4a0504349982&chksm=ba68c55c8d1f4c4a48b7fe8d03c90632e38520d156e1572487084ada989b507f11cb76da7c00#rd
16,《探索与争鸣》杂志2023年征订开始啦！,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320234&idx=2&sn=ea990c21950038e641569723b71439bd&chksm=ba68c55c8d1f4c4a8510d66c1e4a29368949f0af72c8bcefc1b914e8abf1ea2409b3823ca670#rd
17,《探索与争鸣》第五届（2022）全国青年理论创新奖征文公告,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320234&idx=3&sn=a227601ccbdd7e65830e8f027743d124&chksm=ba68c55c8d1f4c4a10e480098141ab16a7350372ce1cff97508a3ab5c3c7452e17d7d752bf9d#rd
18,鄂尔多斯“自救”通告刷屏，背后的法治思维培育问题或许才是关键｜热点·首发,http://mp.weixin.qq.com/s?__biz=MzA4MjcxMDEwNQ==&mid=2686320227&idx=1&sn=756e405656cfac9feffbf2dc85ad2d18&chksm=ba68c5558d1f4c435ea60f8811d234b095fdfc34f5ce802f4abe310bcec4bbb1d26189e72614#rd
