,title,link
0,目录预告｜《开放时代》2022年第6期,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530908&idx=1&sn=4538797de67cee3fece368ef30e9a48e&chksm=849fcef7b3e847e19bddb201793d3f5bbe386a09494fdf4d950c3b94917ffa7ad9578886f535#rd
1,作者札记｜从社会历史深层探寻中国人的身心疗愈之路,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530890&idx=1&sn=c50dfc15c5982c5912a70a02014df8c3&chksm=849fcee1b3e847f7d57057f451c7fd3e7cc2eddfe06a8e779b9db36608e997d8a33b61cc77d2#rd
2,作者札记｜再谈政策研究的意义,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530882&idx=1&sn=1a8aabc62a49d174e5bce2f929bf6e00&chksm=849fcee9b3e847ff36658339eaa49abfb938541b0dc23582e73b1ab6837988dd7ea6aa35cd7b#rd
3,作者札记｜从田野中生发出相关议题和讨论,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530881&idx=1&sn=d634ab52aeca5e1075fafa22e556a7ad&chksm=849fceeab3e847fcbd0022a855daecc4d40e3436685fb32569570ddd169c426862c08e488892#rd
4,第二十届开放时代论坛议程,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530870&idx=1&sn=289b6ae709243842e4a7e74b35f748c0&chksm=849fce9db3e8478bf2e2142451d94d20ff6f067c1c4dd38083a793633d7d377c5abc607cfaa5#rd
5,作者札记｜平台经济的神秘之处,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530824&idx=1&sn=48706e704652936147cc535445505944&chksm=849fcea3b3e847b5312c42d6777d8212d3bfd5d13e9f267b2e4947ba0a374d9e4bbfecbf2756#rd
6,《开放时代》“党的二十大精神研究阐释”专题征稿启事,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530812&idx=1&sn=127e71578ce961fa61c2fe4aa54c46e2&chksm=849fce57b3e8474187cc6f8d8d9fc4849a529ae89d9e043e810971d863183844979d2a479a09#rd
7,【新刊】乡村振兴探路者之五｜仪陇做法：县域社团转型,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530803&idx=1&sn=2c73ac9391148e4764e62d388f0bb3ac&chksm=849fce58b3e8474e287155f37aea4d1202695cc199e82b0c5e8e0ecd30779ea5ff742ee897bc#rd
8,【新刊】菅志翔 马戎｜我国民族研究的概念史梳理,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530788&idx=1&sn=d748ea0675aa41e18a5dfc90a95e3268&chksm=849fce4fb3e847597acf35d756a3cdd2ebc4009882e63ad37dcf7d76b4d95d2d219909ad434e#rd
9,【新刊】阮极｜间接关系的人情链及其内在机制——城市中产阶层和农民工子女入学的个案研究,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530787&idx=1&sn=0a226295ddbff9dc91cc82a8a6a1f020&chksm=849fce48b3e8475eafb4f0c7967ef4db2d57b6545cbba8eaf9fba10163f9f0452c76cf62b71c#rd
10,【新刊】刘彦｜“天下”比邻：19世纪东西方文明碰撞下俄国的中国形象建构,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530761&idx=1&sn=0d30b2a5f9487590bfdd49c3942c5556&chksm=849fce62b3e84774cf4d10af167ad85347298643235942ebde6cd479dcf2a1986bd28821d31c#rd
11,【新刊】董磊明 李健民｜制度实践中的生活逻辑：非正式运作的社会基础与运行机制,http://mp.weixin.qq.com/s?__biz=MzA4Mjg3MTYyMA==&mid=2660530754&idx=1&sn=845d43f673abb5d9295634beb8190818&chksm=849fce69b3e8477fa3e52043864ca1a6a4a680ef0a2fe30997d32e3bb353ffbae07a11220edd#rd
