,title,link
0,丁一兵：发挥资本积极作用 促进全球经济金融健康稳定发展,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169970&idx=1&sn=9ceb2d02fb92a620980e15b140414042&chksm=87e4f037b093792185b92c616038e1a86fdca1bf223827b6bf63c376c52cd4704bf79d9bd1b9#rd
1,第二届国际政治理论与方法前沿青年论坛举行,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169970&idx=2&sn=941ee928a5ac6c631dd5ac9ec0b31e51&chksm=87e4f037b09379215afc3fbecf4ae7c8612bc6f40f627f0357e10e3ff9846b39521a3c74c7f7#rd
2,【探秘中华文明】二里头镶嵌绿松石铜牌饰折射“多元一体”格局的形成,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169954&idx=1&sn=656c8029781338c5c96b8745eaba3657&chksm=87e4f027b0937931226fd947cc7ed7c6a186c4a16786f05562c1efce598c3ce08f8890b91a18#rd
3,【中华文明探源】欧亚草原的人群迁徙与文明变局,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169954&idx=2&sn=604a71e2e7d8d7d8ffe9b50f017b85c4&chksm=87e4f027b0937931870e7f89f9a42e49862a332972e0e28cde790aaa678f65e60d763380ec1a#rd
4,【社科专访】韩喜平：加快构建中国自主的哲学社会科学知识体系,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169953&idx=2&sn=aafcf265a8ce0a3e684bbd76a2a86c80&chksm=87e4f024b09379322a6f8c7bea9ebcdd76e9e99165fac040495353ac620389fec83b2672ab44#rd
5,【社科专访】贺东航：提炼现代国家构建之中国路径的学理表达,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169953&idx=3&sn=ca1dccd6c42a1ad7bbb82d30b7f00b30&chksm=87e4f024b0937932d90582ee607c78b41abb229a6bee157274ced957e199f367b27c83ed79ca#rd
6,陈先达：哲学的方式,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169908&idx=1&sn=066f96e56571409ef0087201a9eee8d4&chksm=87e4f071b09379675d63a1e00a775b4090019805889bfe612b8e8a364158453addaccd64fcc2#rd
7,赵春明：世界大变局下中国对外贸易高质量发展的主要路径,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169908&idx=2&sn=b9c53fdc5c0c5542e890bdbce3c959bf&chksm=87e4f071b0937967f94c2e3436608e8be71b1eec0ad1d32a45b7605a4c04b72b9f5f3dadfc63#rd
8,方洁：规范和引导资本健康发展的国际经验与时代命题,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169908&idx=3&sn=da5ff8139e37027eb64f0b68edef6d87&chksm=87e4f071b09379671f50999ef32a9aa3d092ba692fa60e5f7007d9ceb7aa4332c341e1153f66#rd
9,新刊速递 |《中国社会科学网刊》2022年第3期！,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169881&idx=1&sn=a669a0618393549ebf1e0d87dbfe874f&chksm=87e4f05cb093794a82ff8a57abcf2283a47ffebdbc0cd8986524cd60b6afadf954c5943a1b6c#rd
10,加强对习近平新时代中国特色社会主义思想的整体性系统性学理性研究,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169872&idx=1&sn=dc5d20b9886f30189621c5e14ce746d6&chksm=87e4f055b093794313f6094ebb9edc3c112bf6f43f69dd6020943d7157db55cb4e6c008a84f8#rd
11,科学评估乡村振兴战略实施进展——《中国乡村振兴综合调查研究报告2021》发布,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650169872&idx=2&sn=5439ff4e692960f343df059e9580d680&chksm=87e4f055b0937943f2d5a4dacc76a42432e2c47f3608557cab8891f2cb09070d5e78d0777cf6#rd
