,title,link
0,关于2018年度教育部人文社会科学研究专项任务项目申报工作的通知,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110395&idx=1&sn=f3919f699162b08dc0f78257f9d0a218&chksm=87e7ebfeb09062e89c2c06234bc91a92f9a4c4b9f2a2980410954a41a204649cbb337e5d0031#rd
1,名家论谈| 靳辉明：《共产党宣言》是我们事业的根,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110395&idx=2&sn=2973c5f81577c128da0e0dc1a8831395&chksm=87e7ebfeb09062e83da72ca1993231e5e81f9265336e870cb141beb5e63edeb5c252b5d7af0e#rd
2,学理大观| 蒋南平：新时代中国经济学理论创新的指导思想,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110395&idx=3&sn=74d6314e5bf57ef09feaf008a267a1b7&chksm=87e7ebfeb09062e8c758ba3c75544a159bf59ff092906e27d816dd93842643887090fae52a07#rd
3,强国方略| 张德勇：以体制机制创新推动建设现代化经济体系,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110395&idx=4&sn=0a941cb58b237416c8509cbf00b7d2a0&chksm=87e7ebfeb09062e8740d28796ab4ae2c3200503cbab3fa06c5b3e6010d52cf14830a8704cdb5#rd
4,学者风采| 荣新江：追念“通儒”饶宗颐先生的教诲,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110395&idx=5&sn=e04f9e01094dfb588d767447e2362f07&chksm=87e7ebfeb09062e80535d80ce0bac9fe7e4b57a4fc3d32b1f36aa6f49bccd491634f985f2373#rd
5,文化视野| 曹胜高：秦汉国家建构与中国文学格局的奠定,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110395&idx=6&sn=509601ab4635ef1a7e7b142ff243673b&chksm=87e7ebfeb09062e83e491275746f25db7b952b82c4c281313bd3a8a2cee2a84e86bfa35b41fa#rd
6,成果发布| 《2017年中国智库影响力评价与排名》发布,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110395&idx=7&sn=490795ffc2ebc8e4ae18b1759d82eb8f&chksm=87e7ebfeb09062e89309b30a519c0da2342f6c7d01f5b71d532d976cdb85e285556494a04152#rd
7,海外聚焦| 英女性获投票权百年后，女性权利现状如何？,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110395&idx=8&sn=73af9128d6781eb1dcb80f04b2bc3186&chksm=87e7ebfeb09062e83161384d9fbfa7e7933e8d7d8cb1e290b6d7c735b2b1dfedaaeb0c4e523f#rd
8,《中国社会科学文摘》2018年第1期目录,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110337&idx=1&sn=b6e842d3c13ea40fd368f9061593b53f&chksm=87e7ebc4b09062d2f83c09b12e9efeb4f432ba81c8936334e9dbc706de421fa80785ace3087b#rd
9,学术摘编|《共产党宣言》关于未来社会的核心命题,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110337&idx=3&sn=b616600a7dad1a3df7fc64774110db0d&chksm=87e7ebc4b09062d2058990815ce7abda379fc5727abfd451495274c3c28632c671abff6e728f#rd
10,学理大观|罗骞：中国强起来必须坚持历史唯物主义指导,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110337&idx=4&sn=a54f09c60e9f29022e940c4c86585776&chksm=87e7ebc4b09062d249ec85c57c6904b9e27c0b53fb219224ff7460936deeceb4825d3ac1afb0#rd
11,强国方略|汪德华：降成本是建设现代化经济体系的长期任务,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110337&idx=5&sn=a9f35aac2cf0031c4ae795f8193e563b&chksm=87e7ebc4b09062d2543bb5ef7e39c79c9de41046d02ec4f83a58c2d337a25a07dc382ce27e94#rd
12,学术视野|关于城市群，经济学相关研究有哪些？,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110337&idx=6&sn=95211fd2b9c8846171e80ae4c05ef5ea&chksm=87e7ebc4b09062d26dc1b909527e3a694e5c451e1ad6586c019eb467c848545c6e15e3ed6e70#rd
13,文艺视界|邹本初：文化自信是民族伟大复兴的精神动力,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110337&idx=7&sn=6eb542d653ab4eacba7d9943c93ac850&chksm=87e7ebc4b09062d2b1c93346d988bf0fe785fc82ea0b7c49063cc7c8c3901d20ebb9bbbfbf41#rd
14,汪同三：建设好现代化经济体系才有未来,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110304&idx=1&sn=43ba39547a6fdcd25c7bafe9edaae095&chksm=87e7eb25b0906233969e40c27bf232998891687aa238650ca489861cb6d1cf4bb1470ad92cef#rd
15,学理大观| 聚焦农业经济学研究：现状、问题及出路,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110304&idx=2&sn=e0ee69684a5a254491fb3f01eee92fdb&chksm=87e7eb25b090623321dc6ebd3b829f390e7988f2b16ff3484e72198aec2e11f5ff1850550978#rd
16,学理大观| 推进马克思主义中国化最新成果“三进”的主要方式,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110304&idx=3&sn=ce6389857c500f7916892efe421216ff&chksm=87e7eb25b090623331db5662fb910f212d914533ceb73838416ef3afed81463b0d27a8f67d50#rd
17,学术前沿| 新时代马克思主义理论学科要回应哪些重大命题？,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650110304&idx=4&sn=db682e06b79fd7e68255c41541f9398b&chksm=87e7eb25b0906233fda26e475740e126f4cedb5986779697f1513bf4194f18ee890d6fbc1a82#rd
