,title,link
0,张秀芬：正确理解中国式现代化是全体人民共同富裕的现代化,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503379&idx=1&sn=b243f8a7ef16dd83988f71fc206174d6&chksm=fd30f61aca477f0ca5f577b3e346aa15da806a06f7422ea2b7b02676206d8d730cddf5cec882#rd
1,赵姝岚 | 构建面向南亚东南亚辐射中心的数字枢纽,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503379&idx=2&sn=de94242f8e678c72b76c906bfbe1b7de&chksm=fd30f61aca477f0c430dd6de8df9148e8bb66abe99a44edf25411c8e37ff4098b5ffe395cc8c#rd
2,秦会朵、范建华：文化产业助力乡村全面振兴的内在逻辑与实践路径,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503379&idx=3&sn=a0997bde93f71e37ac9f6c63a6d243b7&chksm=fd30f61aca477f0c60dc63f4baa44649eec1d916aa66e1e140a9ebeb4f9ee33a227af6a1df30#rd
3,曾黎梅：新时代十年伟大变革的里程碑意义,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503379&idx=4&sn=68a2c94ef183e6429aba1dfc41d4d084&chksm=fd30f61aca477f0c1ec0d2c89a012e73c50776fd524f7072fa89acbb95151e59b857daa30d8d#rd
4,陈曦：中华民族伟大复兴进入了不可逆转的历史进程,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503379&idx=5&sn=31655ce696963589e13d838ed2f931ce&chksm=fd30f61aca477f0c10ec28eb6593f4434635d69ff0de83dc9b457322428a48da3583fee68855#rd
5,马佳：牢牢把握过去5年工作和新时代10年伟大变革的重大意义,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503379&idx=6&sn=89d05481d98015561db016ffba852774&chksm=fd30f61aca477f0c7b8ea4759c386accefb74ca822fd9820264f85cba1ccaa050d19ff9e3f1b#rd
6,张秀芬：正确理解中国式现代化是全体人民共同富裕的现代化,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503378&idx=1&sn=18fea62481fe646dbeb5824f3c213362&chksm=fd30f61bca477f0dde687f18d22a14c11f8c1cc7c6504c303e86a7f68ba4ea0a05d4421e2db8#rd
7,赵姝岚 | 构建面向南亚东南亚辐射中心的数字枢纽,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503378&idx=2&sn=1ad75c1cd134372b73e087c7fab8d689&chksm=fd30f61bca477f0dafb9a81a5354392795d138686d42cba4884a630e622623023d576fc6301e#rd
8,秦会朵、范建华：文化产业助力乡村全面振兴的内在逻辑与实践路径,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503378&idx=3&sn=8c395614985783f69c0a8ee8348cbe41&chksm=fd30f61bca477f0d6c7ec68e984b097899d5f47ad6db66d4194d0a58817a6faeb0faec48f8ab#rd
9,曾黎梅：新时代十年伟大变革的里程碑意义,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503378&idx=4&sn=38de6dc15297ae5b89951cdd1ad35dfc&chksm=fd30f61bca477f0d322194ce7de7ef152b29d1d5fb18efdd37f67af1c310ec2e185e10ffa942#rd
10,陈曦：中华民族伟大复兴进入了不可逆转的历史进程,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503378&idx=5&sn=43cd2c2e8c8048d13fb43a99be177f93&chksm=fd30f61bca477f0d7fb69df69ce7aece2a5b6ae53bfbb12b6d70ced5509c3ad50440ecbf2c95#rd
11,马佳：牢牢把握过去5年工作和新时代10年伟大变革的重大意义,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503378&idx=6&sn=48799be615b1525c0498a284fd5dc2ec&chksm=fd30f61bca477f0dc2abf1e9024770b0c8c14d6e03115dc19e9c674d83dfac64fed4e03ee9c3#rd
12,张睿莲：推动建设全体人民共富共享的中国式现代化,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503347&idx=1&sn=d4c0110ee9a62ee13be14fbfc92ca605&chksm=fd30f5faca477cecccdd5f6cfe4df7b6306c802ef07dbad57ada1a569bed2913cc039e63a572#rd
13,朱强：法治中国与中国式现代化,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503347&idx=2&sn=4306fc4f7e279e97adb58ec333809a84&chksm=fd30f5faca477ceca9c3c524d54610f921aa8c4788beaa5a0af5618a11b99601ec8dc8742a30#rd
14,杨正权：不断开辟马克思主义中国化时代化新境界,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503333&idx=1&sn=81f3697f9aebc857ffc32ecedd9022b4&chksm=fd30f5ecca477cfa9ac025e3b60033525fc29f0ca1184c5e2be06075f6a6184ef588268b4954#rd
15,云南省社会科学院特别推出《三分钟讲理论》系列微视频，第十六期：跳出治乱兴衰历史周期率的第二答案,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503333&idx=2&sn=fdbdd76d8fe75e5cb01b6984dad0c881&chksm=fd30f5ecca477cfa810fe506ff8dbb76eed47ea5a6045712e9430cd3600f4c9ad9893d733314#rd
16,云南省社会科学院特别推出《三分钟讲理论》系列微视频，第十七期：做新时代好青年,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503333&idx=3&sn=b53f20f2fdb92be1d2cac0320aba8eb4&chksm=fd30f5ecca477cfa75a5e4958717dcf286a9d06dffdcafb45a74ff9b9f3f6056c10c1a4eddc8#rd
17,二十大精神 专家大联播丨高质量发展是全面建设社会主义现代化国家的首要任务,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503333&idx=4&sn=08a7305568824fc790a858307a7c87a2&chksm=fd30f5ecca477cfa25c1284a35c529b782d8c544d50757329d2942929bc90da6b2e8a8543073#rd
18,赵琳 任仕暄：坚持“两个结合”，不断谱写马克思主义中国化时代化新篇章,http://mp.weixin.qq.com/s?__biz=MzU3NDQzNTY4Ng==&mid=2247503333&idx=5&sn=4a49a40a071578a413a487d2a078616f&chksm=fd30f5ecca477cfa92faa1ffc169a08d21246ffecc5a8995bca84c5c8cf13df7c4e2defd05fc#rd
