,title,link
0,《人文杂志》|| 尹 林：从破冰到争鸣：20世纪80年代文学评论期刊的文学史意义,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826323&idx=1&sn=dc3edbb605266f8cb144f815d627db59&chksm=80fc5dcab78bd4dc34e6cd3b30c0166a9ffe86a5cd852a797779a8b3f91c72dbb5a0bce2c588#rd
1,《人文杂志》||  张 鸿 董聚元 王 璐：中国数字经济高质量发展：内涵、现状及对策,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826322&idx=1&sn=0e3071a8192f35afae4a38119c0afdbf&chksm=80fc5dcbb78bd4dd1ee0613fdf5f03bafa6ad95c68c3c5574c9c1e6003090dd8f50e83254333#rd
2,《人文杂志》|| 吕明元 程秋阳：工业互联网平台发展对制造业转型升级的影响：效应与机制,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826289&idx=1&sn=9192b7198fafaa03008e877e5c1f6d56&chksm=80fc5d28b78bd43eda87feed6d9bd73bcc34c4ae66efec49465feaf925d025301d2dbbad20b2#rd
3,《人文杂志》|| 蓝 江：物体间性的形而上学——数字空间中的新唯物主义的反思,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826276&idx=1&sn=37474655038b39d98bb3fa14bfbd3e83&chksm=80fc5d3db78bd42bc8b0efea2f01d0c4d1b38489bd5491e89f7288f2dbc38be15d5b19c9c157#rd
4,《人文杂志》|| 任剑涛：人同此心：儒家善性道德的普适关怀,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826274&idx=1&sn=1c47196054d00627a32cea6c63ad7179&chksm=80fc5d3bb78bd42d8acc543a24e4462aef58346f0502a25fcb1aae081261dc34203cd5f2184a#rd
5,《人文杂志》|| 任保平 任欣怡：中国式现代化民族性与世界性的统一,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826271&idx=1&sn=e803cd4aad82816492f4307497077395&chksm=80fc5d06b78bd4102e4d18767e977d8c308948ddfdd9d7c8e749a6647ecd1c82ffabc0605b7f#rd
6,《人文杂志》2022年第10期,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826265&idx=1&sn=d55024bd5e191f831970fc932212c05b&chksm=80fc5d00b78bd41666ba08842e922ba9a0a3e78098ace92a533edc303820a8dc3a3a6776a9cf#rd
7,《人文杂志》|| 张银飞 宛小平：被误读的朱光潜：对陶渊明公案的澄清,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826260&idx=1&sn=4e68f1954bfd4de33455c45853da06e1&chksm=80fc5d0db78bd41be0dffba79cefc222d52b3b487315318d62b2755f8f02506de157bdb3fd1c#rd
8,《人文杂志》|| 王 庆 王 震：供给结构变迁中住房保障的经济福利问题分析——兼论共同富裕实现过程中住房保障激励机制的完善,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826259&idx=1&sn=096781e09870dcdf5d635542b384fc6e&chksm=80fc5d0ab78bd41c92288f76befcc34fb8b66798b50bce2559be26aea874939dddc67b85b2fe#rd
9,《人文杂志》|| 蒋南平 张明明：论新时代共同富裕的基本经济制度作用,http://mp.weixin.qq.com/s?__biz=MzAwNjgzMzIwNg==&mid=2651826258&idx=1&sn=6b054f0a6c2e87bc0595568e3b01b984&chksm=80fc5d0bb78bd41d3c4e139c0be29e9b9f3e4aba3a08945a659e7ce9a62660b494a4bd7de066#rd
