,title,link
0,《内蒙古社会科学》2022年第5期目录,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484804&idx=1&sn=744bc1b1b68d2e5345ff8627e049afd3&chksm=9b3a23cdac4daadb61d8494d3e89fc6d65b5c4ac316e62c100fd9c4898e2f7808a5ef63079ec#rd
1,郭爱君，张小勇 | 数字经济赋能共同富裕：现实基底、逻辑机制与实现进路,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484793&idx=1&sn=fbf3d177b1a7899042ddc5820c4d22f8&chksm=9b3a2330ac4daa26efd6adfd9ce0543e95f243762620f52bd6065f7217097f759b51e066036e#rd
2,易显飞，王广赞 | 认知增强技术：人文风险与分阶段应对策略,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484788&idx=1&sn=0188d2b5e5471003dea83b078d7e2dfc&chksm=9b3a233dac4daa2b61cfb370feebac4b1bb3d0a53cc0afadfdc1604a3b803157b36c7de1eebb#rd
3,刘吉发 | 中华原文化：一种新范式的文化学分析,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484782&idx=1&sn=298432927d1d896d2b3ed31decedd9db&chksm=9b3a2327ac4daa31d1f033ed005a2c584757881b0facb620dead86b504bca2bd7a59278687b3#rd
4,韩成福，韩柱 | 降低内蒙古自治区粮食生产总成本的对策研究——基于玉米、大豆、小麦、粳稻的实证分析,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484776&idx=1&sn=fd6815101fdf7c374820a262df9e4660&chksm=9b3a2321ac4daa37d0bb8d5ad1909a3a8836ee4c70e05b0acb637043d7dd4089e6a771947193#rd
5,周绍东，陈艺丹 | 中国经济学：中国式现代化新道路的理论表达,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484769&idx=1&sn=bf28e3dd6f604345d597caaedd8c615e&chksm=9b3a2328ac4daa3e5e31a730c96ab8ebb4a014f1edd591c3b0ed1c13ffb59a1c0e4ab584c21a#rd
6,周平 | 中华民族复兴与民族意识塑造,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484761&idx=1&sn=b0d9ad0b53e03736726a7deef1ef9905&chksm=9b3a2310ac4daa0679fee6141c8452a3b763607a1306dbf936057e9c5d72d913db154011edac#rd
7,《内蒙古社会科学》2022年第4期目录,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484756&idx=1&sn=f5ff7325b375b796c30abd74a77939a9&chksm=9b3a231dac4daa0bd54f4244d001016bb50e8837f5e63ce7ca3c15e7c10662a186f5687de6e8#rd
8,张忠民，冀鹏飞 | 《民法典》中环境保护规范的内部逻辑与外部衔接,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484743&idx=1&sn=3a0ee01c151bc04fac2db9e001403d02&chksm=9b3a230eac4daa18bff55631903a169dac4c0be5f06dc39acc215e32ec504fa20e4d90b0dd47#rd
9,朱方明，贾卓强 | 平台经济的数字劳动内涵与价值运动分析,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484735&idx=1&sn=0777da7aa123aeb3c32f714d7605c509&chksm=9b3a2376ac4daa6071a3f8f9f2f55615eff1c0c72872357a79778cf9bad03f78df0304c39b4e#rd
10,"陈昌凤,吕宇翔 | 算法伦理研究：视角、框架和原则",http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484724&idx=1&sn=6eab837addcabc6be853e7d2cd933501&chksm=9b3a237dac4daa6bcf3cb43321ce2f22dcf48920d8f003c91437c48f0259e2c3ea7a73213ca6#rd
11,沈正赋 | 论算法的功能纠偏、技术偏向及其对舆论引导的影响,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484718&idx=1&sn=580cc5bcb5572324efbffc817e097bf3&chksm=9b3a2367ac4daa714e2eb2ab84da4c42111e03af8ac2fa75eacc600fb023b40f81afd13bce0e#rd
12,张康之 | 承认·包容：风险社会去强权的治理理念,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484710&idx=1&sn=3590270355ad59476009d275cbaf5493&chksm=9b3a236fac4daa797d67df58d66cfb325540b09f5ff649972629d364408c388c85afe05c24c6#rd
13,孙杰 | 中国共产党依靠自我革命跳出历史周期率的三重逻辑,http://mp.weixin.qq.com/s?__biz=MzAwMzQyMDk2Ng==&mid=2247484705&idx=1&sn=ece69dec8786666f8fa4d7558479ea3e&chksm=9b3a2368ac4daa7e7f1fdad26e220e43ddeb3e7cf1402cea56f4ae2c716f960ed28d97d31c99#rd
