,title,link
0,技术中间层的组织：社会智库的角色、机制与夹层治理之道 | 公共管理,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484314&idx=1&sn=2f649173305851073839396df8c74801&chksm=c238ce6bf54f477d863bcf17888238482db62aaa43be3b3c7bab00464508c0f8fd96d396efb3#rd
1,学习与实践2022年第10期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484302&idx=1&sn=b7ff19379fd70c6fffb916b5d6b7d909&chksm=c238ce7ff54f47694eefe961d39efb0fcb6fe59be2731a5764089de69f5246a2c4ba7bdf86d3#rd
2,政府数字化转型中的个人数字身份运用：机理阐释及优化路径 | 数字社会,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484283&idx=1&sn=14bd4ab79851ff63b5850634add8c584&chksm=c238ce8af54f479c102cae518db29b22086b99a620ae12847f5d1c615e87d91230f3f602ad0d#rd
3,学习与实践2022年第9期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484275&idx=1&sn=87150cc4b2d3ee7d7a4caaa9011e27a2&chksm=c238ce82f54f4794bb36568e17ba11795e7665f8c17184303eefd520a18e04bbe85f9ec57de6#rd
4,城市空间中的智能化治理风险——以城市大脑为例 | 公共管理,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484268&idx=1&sn=5b6b47f59fe211db76e4cf1f5f883de9&chksm=c238ce9df54f478b8fd01299f1569d7eec1d2961d49d31f5c237dc4d06398cd6606e24725ea4#rd
5,全域治理：基层社会治理的范式转型 | 社会,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484260&idx=1&sn=31575196d9a7ce782ceec95d3ddd18e6&chksm=c238ce95f54f4783ab74766fcb57395ec756b89112ae72a01d9a06b5c7163f1f11531af485ce#rd
6,学习与实践2022年第8期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484254&idx=1&sn=41c4571f69a1d74b10b1149a18f3d6bd&chksm=c238ceaff54f47b975ab4fa4edbe48a09c90b73c7cdd43722308f97ad7194054953d6be07186#rd
7,金融科技有助于提升企业投资效率吗？——基于中国A股上市企业的实证研究 | 经济,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484246&idx=1&sn=55e4e791c5563cd0b2a136209d283b5b&chksm=c238cea7f54f47b1d2e42c06af3654874f9255bacfbe7750c599561b228ad7132e75074b3a18#rd
8,后《慈善法》时代的私益募捐及其法律规制——以求助型网络众筹为切入点 | 法律,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484224&idx=1&sn=dca7162e48d242f3f38b433d423d7f51&chksm=c238ceb1f54f47a7465661552d714a7320e814383316337858b16b285a5da49256733e19375b#rd
9,学习与实践2022年第7期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzkyNjI5MzE1MA==&mid=2247484208&idx=1&sn=1c6e97e099c0ab521bff200b18bb23c5&chksm=c238cec1f54f47d7596b91fbd0993d4663ce3079e5bb20abf6c9350b1ab9706dfb74756ea532#rd
