,title,link
0,中共武汉地方组织与1921年汉口人力车夫大罢工,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488919&idx=1&sn=cc15d73e0e2137e1abfc4251e7f93019&chksm=c1c661f6f6b1e8e06570dc4f68e4eed88c0518d235da90b9009ee66862eaf46a88f1bc64f6ad#rd
1,生产自动化与商品经济的未来——兼论劳动价值论的历史使命,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488918&idx=1&sn=9db32662f0375c715df8d4b0447ea3a1&chksm=c1c661f7f6b1e8e1fecddb3da923f2c6dad964f26573589e34850bf384b5407d5cdc173f97ee#rd
2,货币化融资的财政刺激效果研究——兼论财政政策与货币政策的协调,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488917&idx=1&sn=419d95cc17e9b7b3a5279fd9f8f6e206&chksm=c1c661f4f6b1e8e28b0574590b23e37e92454983449b24780ae4a00eaa8ddebef9843b6f5876#rd
3,中国现代化进程中犯罪类型的波动特征及其原因,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488891&idx=1&sn=b35ae01886b5c96f1deff595f651f4ed&chksm=c1c6611af6b1e80c89d267b74b2448634eb94502a0f815c17ae7548f538e9bcd91e0389aea66#rd
4,中国共享汽车的社会可持续性与环境可持续性研究,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488890&idx=1&sn=ba59f5847306aa9a4a6854166b05a50f&chksm=c1c6611bf6b1e80db020916c421b0194badab5fe8b861900baa5ec0919c2296d767cec6ec01a#rd
5,《广东社会科学》“深入学习贯彻党的二十大精神”专栏征稿启事,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488889&idx=1&sn=335485db4c200862841e6a1e1c6b6901&chksm=c1c66118f6b1e80e95b074a241244d41cfdb1757f09cf8e5832f83d0b34da0ead2a71a696716#rd
6,延安整风怎样锻造了中国共产党？,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488843&idx=1&sn=f1d3e73a3c3df2a3d4192c2a1b1e68d0&chksm=c1c6612af6b1e83c12b066d4dc5e33d14c2e36615d4dfdafe81d532316447552f5f2368fe7f5#rd
7,新文学伦理叙事的三个维度及相互关系,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488842&idx=1&sn=979d1bb1e61224a4c403c01516cd6442&chksm=c1c6612bf6b1e83d6965db6593416ce98743cd4e6107be85388bbe1b3378a7f7567b836d032b#rd
8,防范与限制：威尔逊政府对华政策中的革命党人认识及策略（1913—1917）,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488807&idx=1&sn=d57214f7e02a4a532d9c1b768dd4058c&chksm=c1c66146f6b1e85013daca519e71f041184cc05247163d0a98bef42e844fe690e960ed20d34c#rd
9,当代西方左翼对资本主义数字劳动的批判性考察,http://mp.weixin.qq.com/s?__biz=MzkyNTM5NDE5MA==&mid=2247488792&idx=1&sn=9458e3a0cb066a776021f28bfdc705d7&chksm=c1c66179f6b1e86f9dab533dbde143cdca4a1ffd6d03b0405c64f7b722a3546ee39290301dec#rd
