,title,link
0,张雄丨“数字化生存”的存在论追问,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652146909&idx=1&sn=64ae0c0367fae4d59a7eea4e80490bab&chksm=f2b41c59c5c3954f7bbc7f2b80df987c81461e39c4a12c64c7addd6df66192abaca4fd5c4e2f#rd
1,侯衍社丨从三重维度看“人民至上”的科学内涵,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652146885&idx=1&sn=66432c069d1c65ec3be68b00f6508e0f&chksm=f2b41c41c5c395578846f5ab463ee3854cb60ea0ab05a79cdbc9e72dd182c3e7a083aab5c939#rd
2,何善蒙 易楚越丨“玩”的哲学：考察中国哲学的一种新视角,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652146872&idx=1&sn=cfaa8af079a857e75ff012228c00bc43&chksm=f2b41c3cc5c3952a5cac238fa3cd1528e82c7292ff0fe68d8485265dc9787d81a852bfbbc8c9#rd
3,21世纪汉语学界对西方美学的接受研究专题（一）丨刘毅 宋雨丨近十年汉语学界的西方美学译介与研究,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652146511&idx=1&sn=5cf454ba6b2a7a79eb42f4cf6b170ac3&chksm=f2b41bcbc5c392dd3c1f0394c780e298fd0380686c783f30fe21a74d667fa76216e030e784b5#rd
4,21世纪汉语学界对西方美学的接受研究专题（二）丨马赜博儿丨当代中国的西方美学译介及研究—以2001-2010为考察范围,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652146511&idx=2&sn=d34e719398900f3aa48d068f3a693984&chksm=f2b41bcbc5c392ddc7dafb8074d7b3b531d6f8c538f71e3b855c3da8959f939ae4d20592e4f9#rd
5,新刊速递 ‖《江海学刊》2022年第5期,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652146507&idx=1&sn=b4533336c5eb690eab2544d8e743b2f8&chksm=f2b41bcfc5c392d9754e500233311cdea1346aeb9ee1ab8de2f4f5ec255d4d48eb639159b8aa#rd
6,焦富民丨乡村振兴视域下宅基地“三权分置”改革的法律制度设计,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652145796&idx=1&sn=d41ff69b1f5b706d5932d7976eb34cf2&chksm=f2b41800c5c39116478fbb1dc8881b276ce12304931f4d06cb8bfceb5caa21346d742e0ffaf0#rd
7,史拴拴 王鑫丨结构性嵌入与团结性吸纳：共青团工作的百年演进与现代化路向,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652145662&idx=1&sn=51f59396b35a3e84681ce55b50217979&chksm=f2b4177ac5c39e6c31ac2e4f1bd47efe4e487474592a3dbf4e02c0ac814f3d7f677ff16e8ada#rd
8,顾江 刘柏阳丨人力资本积累、家庭人口结构与文化消费升级,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652145514&idx=1&sn=a6837d5d33183ac5d3f24d2d5000964e&chksm=f2b417eec5c39ef89b9bea1f077bb35d657a872ee95cb977763446ccdb80020c39b6e551f7e7#rd
9,陈进华丨社会治理驱动共同富裕的历史逻辑、理论逻辑和实践逻辑,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652145329&idx=1&sn=274a14b092577fad94e9fc72b29667cd&chksm=f2b41635c5c39f23f575770a142c05888ac8e1ac141b60f555ae53a61a9e2a82a1c8e840c129#rd
10,吕永刚丨高质量发展促进共同富裕：出场逻辑、动力机制与关键路径,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652145328&idx=1&sn=e6cc6c2de3d4a2e164cfee0a4f976021&chksm=f2b41634c5c39f2283c215b01d60230b10d9f81127ed12091eca2ba9f9f3dfd90e8c78789331#rd
11,任卓冉丨论环境污染第三方治理的刑法归责,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652144729&idx=1&sn=7143a0831f339abe3a696ccb6b69c8d6&chksm=f2b414ddc5c39dcb9a082ef85013304262bae96369bbbf3bc1901203964cdbb9f98596307640#rd
12,薛泉丨由“继承”到“颠覆”——前七子郎署文学策略的实施与文学权力下移,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652144489&idx=1&sn=69e00b5383f98777d199ec45a946ed80&chksm=f2b413edc5c39afb1ebdc3d7461ad2b93e1ef61a69549a73762c06dfe36e4a4c0a6d19779b74#rd
13,邬家峰丨生活化治理：乡村文化振兴的内源性路径转向与实践——基于“赣南新妇女”运动的考察,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652144396&idx=1&sn=9b297d692e5d71cdf6fac94df7b9e5d1&chksm=f2b41388c5c39a9eb01f191954468fb5f21938c68c39b0e660c36b9ab7ad712d64e241c1686a#rd
14,颜晓峰丨建设社会主义现代化强国重大时代课题的科学回答,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652144306&idx=1&sn=c64e66f954d92904edce4d224f19f455&chksm=f2b41236c5c39b203e56fc955944f9b48d0dd9b32ef13d67ea6caba4e5fc21d96616f8995a11#rd
15,张乃和丨文明比较研究中若干重要命题的内涵和释义,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652143994&idx=1&sn=ea688c6af2555c34845244a168082aed&chksm=f2b411fec5c398e83d535ffe5b5388b6174c3807ee39e8a81e0152ae023932ea555967cd5e7e#rd
16,刘德斌  李东琪丨​西方“文明标准”演化与新的大国博弈,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652143921&idx=1&sn=2dd50657353c220f1082a1ed95e89637&chksm=f2b411b5c5c398a3195871e904ca143afccce6d4baed3e88afd04ae98f073e0a32a62d4e89c7#rd
17,郑霖豪 徐政丨​数字时代共同富裕的现实挑战和实现路径,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652143444&idx=1&sn=cee147fb8f35d3d2cb7be7634ccbee42&chksm=f2b4efd0c5c366c6baa886a8722ab1468d7623e14627e5109626edd51f8763f920132b653583#rd
18,卫小将丨中国零碳社会建设的社会学之思：内涵、挑战与出路,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652143290&idx=1&sn=1943b785391263dbb7b10e443139e822&chksm=f2b4ee3ec5c36728affb023e3a0ffa910a2d21b70fc0217c6cc5e2def7a172f72f4fe0562f03#rd
19,张杰 余红兵丨“用心若镜”与意义释放——再论精神文化符号学的任务,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652143275&idx=1&sn=4035cdcc6b390641597aaf8387bda8fb&chksm=f2b4ee2fc5c3673940b7d889b8982e56d492175caf0833d2b85eaec559efa65cd5fab13c25fc#rd
20,李晔丨近现代“群众”观念及其内在张力,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652143003&idx=1&sn=3f40bfcc0846d2875ebd7ca6edd37dfe&chksm=f2b4ed1fc5c3640906fd19cab999358d2952171e22b86965e021d3862fb3d5bc423faf4e889f#rd
21,徐康宁丨大国抱负与赶超进程中的产业政策,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652142949&idx=1&sn=542c0bca8d5e9317ea5a0d97302339a0&chksm=f2b4ede1c5c364f72aa911d0572e4dd030f8aa2799dd1297042e3b958257e10e946b03eb787c#rd
22,“高品质学术期刊建设论坛暨《江海学刊》2023年重点选题论证会”在宁举办,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652142843&idx=1&sn=80da2b66fd462a81597592709b76e643&chksm=f2b4ec7fc5c36569e07b3cfc58c3c68798e42cc656ecf423650dcfcb9e506922693449d9c497#rd
23,新刊速递丨《江海学刊》2022年第4期,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652142774&idx=1&sn=b53d5f58c6cc7ff0c9d4d5cb4240c025&chksm=f2b4ec32c5c36524163722efc75cc9d098d49ffde0fed405a35323441ddc308ef15db0368592#rd
24,段忠桥丨再论G.A.科恩对罗尔斯差别原则的批判,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652142404&idx=1&sn=48a47f7a2156bbd6f5b4d3a5bb6e5d84&chksm=f2b4ebc0c5c362d6a1e650a2783df919a166b6f0438861bd2e199c2aa8ffe2b36d7a34102e72#rd
25,骆冬青丨论指事：汉字图象的形上之维,http://mp.weixin.qq.com/s?__biz=MzI0NTA2NjIxOQ==&mid=2652142352&idx=1&sn=4b10e22a9fa2e7db0c4ea433d8dcb893&chksm=f2b4eb94c5c362827ce6f3453f15d9b9066ac82bf04fcff8c2d01933b6c5e899178eb1eb7698#rd
