,title,link
0,河北学刊2022年第6期目录,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247487017&idx=1&sn=8d95207499cf12dc86ddc8fb8c272f7a&chksm=e92810c8de5f99decba32bce85039cc9e5b64cb7a91c0ccd4137bd0a9733400bbc5de29b0ef4#rd
1,河北学刊2022年第5期目录,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247487012&idx=1&sn=5df3d8fcf04e63862c8a099fa9412231&chksm=e92810c5de5f99d31c40221398ec83a1eec35a925b0a7df568105c8f96358d0ddb709ed74eb3#rd
2,刘少杰 ▏从集体表象到数字表象——论元宇宙热潮的演化逻辑与扩展根据,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486998&idx=1&sn=de087b1feebb5a71455e60ad3f9185c1&chksm=e92810f7de5f99e1bbb1e7db7f7572e0787dffb3acf93dbc51be51ec651a26e5fe29190933b0#rd
3,马蔡琛 赵笛 ▏基于政府财务报告制度的预算绩效管理改革,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486990&idx=1&sn=2a3da358cbce5a209204344fc822000c&chksm=e92810efde5f99f988a25933766753b8e289a4610908150dc463bccbfb511c606de3d1e961e3#rd
4,蔡继明 刘乐易 ▏数字经济时代知识要素参与分配方式探析,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486982&idx=1&sn=d2cc39fd956deff12b46159247ea908d&chksm=e92810e7de5f99f1414d781ddb23fe7d399ded6dc4a2f71821697416cbd21b871a8fa02a4790#rd
5,方维规 ▏德国早期中国文学史纂中的儒释道,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486974&idx=1&sn=d4ddab881ec4f57878c81d7e7351ee5c&chksm=e928131fde5f9a095e038058c5d1263bac79ca17c212bd24f640ea1f6881e0a7e7de762556b0#rd
6,杨大春 ▏现代性进程中的神人之争——从福柯的反思回溯梅洛-庞蒂的立场,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486966&idx=1&sn=216398f5fb96874665e7f05945891453&chksm=e9281317de5f9a0158b371829fb0ceddf1f37dd8af894ccb5e6303719a8ce27b92443050cdf2#rd
7,张立文 ▏中华优秀传统文化在抗击疫情中的价值,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486958&idx=1&sn=589316460fdc964acc62dddc7416e0da&chksm=e928130fde5f9a1988fb4a6673dc07c1dbd202320b95fae5a63e867dbfff5e39729c78486ff7#rd
8,侯杰 庞少哲 ▏从“小难民”到“小战士”：中国共产党与抗战时期的儿童动员,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486942&idx=1&sn=5fc9c76fa7e297db00f3146dd029144e&chksm=e928133fde5f9a294f0b40483638ca79343db27183db878189ce290d13f7f3147d670a98b3b2#rd
9,庞跃辉 王希 ▏中国共产党科技思想的丰厚意蕴与实践范式,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486934&idx=1&sn=a428221f1bd90b10e96bd262db42f056&chksm=e9281337de5f9a21b4962ef9f212c5fd4253464b6636ebecb737bcc7f870fd90962ae35753b0#rd
10,蔡祥元 ▏现象学与中国哲学——兼论中国现象学建构的可能性,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486926&idx=1&sn=de3e5ce40a736439355b0584ef5ccbaa&chksm=e928132fde5f9a398524e098ee5f0224af2dd9e66acffd4c1316a15ca8a5775f8b543113afb3#rd
11,路新生 ▏历史学即人学论,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486918&idx=1&sn=425a7798abc5b7cb68b6d4ea3c524cf2&chksm=e9281327de5f9a310928fab3061ccedcc629f931f768e20953d9304bc2c4a4e0df7c9614b70a#rd
12,张宝明 ▏新文科背景下的人文社会科学跨度,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486910&idx=1&sn=15817584c7332eed796367f7d18228ce&chksm=e928135fde5f9a49741a9601b7f521f93b4a66e636676d3c4b18aed7d2a24a83987591cc892b#rd
13,河北学刊2022年第4期论文摘要,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486902&idx=1&sn=b7ace57f4d813a015697a1d21ca48fd2&chksm=e9281357de5f9a41ce601df19fd279492c818aa2a6da34189c6372d4ed806efce71b242758ed#rd
14,河北学刊2022年第4期,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486895&idx=1&sn=329b3f0b243c141117dc9184a0cfab7c&chksm=e928134ede5f9a58baa49d85ab920b0a86706f70e587fb9d64565c956e676471900606c22b79#rd
15,孟广林 邹博 ▏中华人民共和国成立与世界史学科的建设和发展,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486884&idx=1&sn=790975a8bdadb816810bf5c90410cf94&chksm=e9281345de5f9a5377b994fb8d2f110ac8fec291b0e830abddacb915096e9ed6a1f3f8c98ef7#rd
16,李正华 秦颖 ▏中华人民共和国史学科建设的缘起、发展与展望,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486876&idx=1&sn=fea3a6daef67512995cfbc25e1020acc&chksm=e928137dde5f9a6ba928ff8575bfbf72d2fd85b22823fc965c23bd09e826b66fc02978e4f978#rd
17,朱汉国 ▏70年来中国近代史学科建设的成就与新使命,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486868&idx=1&sn=d73ad328df0a2c05c8a740e1a712d0dc&chksm=e9281375de5f9a63d4a4863c872f74f8d31b7d58f56a7040961e6ac13fd653e552de16c8ef1a#rd
18,向燕南 戚裴诺 ▏70年来中国古代史学科建设历程的回顾与反思,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486860&idx=1&sn=c4f2d8733712500a67c0049e36047050&chksm=e928136dde5f9a7b0e4f86ea347081111dda30593767f528529025c9f1fffde6f0720e0a1140#rd
19,主持人：张越 ▏中国史学史学科发展的再审视(专题讨论),http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486848&idx=1&sn=d99c5a2eecb7eed19cb69856425dc36a&chksm=e9281361de5f9a770fd7eead459d7513c86427b6e256df8868fc264f946336a3b1bd6ed4bf58#rd
20,李建中 ▏元典关键词研究的中国范式,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486840&idx=1&sn=f940fa790e628de0178704216462cb37&chksm=e9281399de5f9a8f664bc31febf0c33ba3623fe2f3f9cdc946443cbe2e53b8030e6c6be004c3#rd
21,赵梅春 ▏中国史学史学科新体系的建立及其影响,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486839&idx=1&sn=e2c328262ba1fa54e5eb60726728f680&chksm=e9281396de5f9a80f185b728871a50cc864f2da3d5be9adc61aedbbb9a7ad3d4eecade7b842f#rd
22,尹志兵 侯秀华 ▏延安文艺座谈会前后华北抗日根据地的戏剧变革与抗日动员,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486821&idx=1&sn=f140b6b9393d488c85884a883e34d9f9&chksm=e9281384de5f9a928801767c7c523805f6f268ca4817caf571e4cd841c57faff017bfa8a2c34#rd
23,付清海 ▏新中国成立初期新型社会主义劳动者的塑造——以上海铁路管理局为个案的研究,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486813&idx=1&sn=348708058418900aa00860077696c00f&chksm=e92813bcde5f9aaab8aba4efa0700b0cf76409d39fce9568f195ee49173cb12eb17effecc251#rd
24,朱琳 ▏“《大学》非圣说”析论——关于“圣人之道”的不同诠释及其演变历程,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486805&idx=1&sn=85732e5d21447f160f7d19047a636f0b&chksm=e92813b4de5f9aa2ab35ce36452813dd2b1e9ae5bed48bfceadd40148b69553c466c1e60150f#rd
25,彭焕萍 刘念念 ▏出离乱象后的“饭圈”画像——从粉丝追星实践的心理作用机制出发,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486797&idx=1&sn=1f065e58688181cd06a26e73f67a3152&chksm=e92813acde5f9aba07de33766686c658c173ee71e2c678875d46582f7eebb42e5307f5528a75#rd
26,王成豪 慕良泽 ▏社会治理评估的反思与重塑——基于场域结构转型的视角,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486789&idx=1&sn=504ee8cea1e7c9e6191273c2888410a1&chksm=e92813a4de5f9ab21a95d0047f612dcff2ea1bba2c2709e67cb6d5ddd7e0db375a31dcbbd2de#rd
27,杨国安 ▏书差、税收与秩序：明清两湖乡村赋役征收群体考察,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486781&idx=1&sn=288b0b230947010c0e0ecc1a4c4a4e1d&chksm=e92813dcde5f9acaf672c7196e7a335944e6ca75ee738c79fd32aad2150f6b5ddcadb7777b67#rd
28,王旭 ▏宋代乡的性质及职能再认识,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486773&idx=1&sn=1df6d3a00f8239f6e39c6b9b83ca0cff&chksm=e92813d4de5f9ac22562de64d6c205dd0e327b625d66ae89f39562657620de9f47fbb20d7417#rd
29,耿元骊 ▏结社相资：唐五代宋初乡村生存秩序的自我维系,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486765&idx=1&sn=5954eaedebef5c8e4a58f26b454dd0ad&chksm=e92813ccde5f9ada5b8ecaf32214cc9bf50c7391ea4273d21e11be4ec090139401a65b2493bf#rd
30,孙闻博 ▏令史与秦及汉初的县乡行政,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486757&idx=1&sn=6f5762bdc2af5a1e51d98dc836865fac&chksm=e92813c4de5f9ad2fc2d9fd3cbae1b45112536cb8aab57f561543710a4cc10e6e426d94bd1fd#rd
31,吕志茹 ▏集体化时期京津冀协同治理海河研究,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486749&idx=1&sn=bb809ef3636a95ffd1101ed0a6d52574&chksm=e92813fcde5f9aea61fac84f872424a462d003a6867166d346b6c63c58ce7bd9196fd09559b5#rd
32,孙久文 王邹 ▏新时期京津冀协同发展的现状、难点与路径,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486741&idx=1&sn=45935e14e3a6c94a5f75d0b601dbdb04&chksm=e92813f4de5f9ae2798dc856cf8c3f060a403f7a18438d6e9e60cb50ebf9bd3c3909f14a1e9a#rd
33,刘涛 袁毅 ▏去中心化自组织管理的形态、特征及差异性比较,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486733&idx=1&sn=e505ef7ae868799280aeeeb44d85860f&chksm=e92813ecde5f9afa15e3fa12e52926af2a8dc6d00fb0d6c8ec774755fa25cd67e807ff791b6c#rd
34,张颖熙 夏杰长 ▏科技向善赋能共同富裕：机理、模式与路径,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486725&idx=1&sn=3c1b2569b90cbab14a6f15abe5d7cb9b&chksm=e92813e4de5f9af2dd00f25d1aec189a417fc6019bd4687f3896ae882f827c90a8f21cfd1e8e#rd
35,王立 ▏也说“海眼”——还珠楼主深海空间想象及生态共同体思想溯源,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486717&idx=1&sn=0f9cfd6aeadb4c6ca71314383252824a&chksm=e928121cde5f9b0a2158344a906f07623a2007319f270ccf2b9b9bdfbb42719dcf0fcec7a5b4#rd
36,杨力 ▏晚清社会变迁中的女性：中国性科学萌芽的跨语际分析,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486709&idx=1&sn=511aa03b16a5921c2331d263f663ba46&chksm=e9281214de5f9b022be304c1d2876ccd10fd7de559fe7c98e91f7d3b689d0dfbb84ce0616408#rd
37,李友东  ▏法国历史书写中nation观念之变迁及其规律性探讨,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486701&idx=1&sn=de31d6705366b9962bc078012e90d054&chksm=e928120cde5f9b1aec6960f17cdb0f6bea3922c7e9b1bb21442e10aeb0a53819b2d4e04c409b#rd
38,刘伟 ▏“我思故我在”还是“我在故我思”？——经典人工智能的哲学隐喻及其具身现象学反思,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486693&idx=1&sn=6febd5c94d011a5da3c874bffbdd7a27&chksm=e9281204de5f9b12e959704a8d10d2cc5b303af5b1a0261f24482aec6604a9d427b975bc1d81#rd
39,张一兵 ▏马克思：从他性交往异化到劳动异化——《穆勒笔记》再研究,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486685&idx=1&sn=9d93475b8849ce85ac40ddd1cb0ca322&chksm=e928123cde5f9b2a444cebfd724dfd7598f835ab4685f9e269fb0e011da620be9082823d47bb#rd
40,胡忆红 ▏国民政府战时粮政体制与乡村社会动员,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486677&idx=1&sn=584e82800eb97b78b4e7fb62d482a964&chksm=e9281234de5f9b22b228afb0ae03622168f2141609c633f6f23f10a803750c90c864e539558b#rd
41,王凤青 ▏全国抗战时期中国共产党统筹民族矛盾与阶级矛盾的理论探索,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486669&idx=1&sn=5efd74d5688fea5b5fb125ce0ff9c5e2&chksm=e928122cde5f9b3aabd6541c90bcca3fef371a2bec64c0e733e08834b4b93c859c4d3e326ddf#rd
42,邹兆辰 ▏从建党百年历史中领悟新时代历史发展动力观,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486661&idx=1&sn=590851fde6b6e2d6d1874c58cb620dc2&chksm=e9281224de5f9b32b3f3361a7a711c99ca3a30e96bab68170aa2beb6892d7e57c362f5d1add3#rd
43,王永 ▏中国古代美学命题功能的理论与方法建构,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486653&idx=1&sn=6e8f5779f313235d9ec66fdacf0e0cb1&chksm=e928125cde5f9b4a57f28e973b8e228084436c5b987010f014c4e670d986cb844eac21d53b61#rd
44,吴建民 ▏中国古代美学命题之本体、结构与应用,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486645&idx=1&sn=28ebca971495674f504fbdd33829680f&chksm=e9281254de5f9b428f18cdcbb9c316477f83d454f09195810f19a3019f73f210010d9c9cb2d1#rd
45,张庆利 ▏中国古代美学命题的文献甄别与意义阐释,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486637&idx=1&sn=40472b42c1a040bc5461434dbaa2dc71&chksm=e928124cde5f9b5a82225b7139c6d46f0bd8dad277e0b94c1b710f742ed6ab733c0503c6b799#rd
46,河北学刊2022年第3期论文摘要,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486629&idx=1&sn=2e5f9452ae4b59450bd9fa32d8298e73&chksm=e9281244de5f9b52ce33d47b8920545610a2a9f931de9b4e23a4824d01f3637f0d118eeeaa7e#rd
47,河北学刊2022年第3期,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486615&idx=1&sn=5ddd4884f40129a62abc82f71c74fe57&chksm=e9281276de5f9b60abb76a5e0546ce841354c59830dbb23132fd40d31967a37fa6c819b9718b#rd
48,姬丽君 ▏“王者不臣”：礼制精神制约下的汉代君臣关系,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486604&idx=1&sn=314a5a48c3cc7ad72819b6ac5b6539c6&chksm=e928126dde5f9b7b6bbec9e5eaea87b20466e5365c2064247ea14328f8abc08c94e2aed11d89#rd
49,于亚龙 冯小红 ▏夺取乡村治理主导权：中共对抗日根据地乡村普通会社的改造,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486596&idx=1&sn=e753c0bd958ed38d20e41b57836a4f1c&chksm=e9281265de5f9b731e226fa2d4f5cbd0f982f2c60c55b1a26ad2d347a994823a5f9120d3dda9#rd
50,姜兴  张贵 ▏京津冀人才链与产业链耦合发展研究,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486588&idx=1&sn=996cf3d863e51e2af1b060e945da1cd8&chksm=e928129dde5f9b8b45f0e35bbd2f12c961fc18a6067c2f6a6a4461100470ae9a2819fb2735c1#rd
51,田一平 ▏从巡抚兼理河务到南北河总分治——清前期河政体制演变研究,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486580&idx=1&sn=99ba7ef75e95e0ad6bdfc03cd33c46d6&chksm=e9281295de5f9b8391ff9b4a8d9a8e991f1bd666bc6e0f0622f0e5b6fed127fd85354878b324#rd
52,李路路 贾舞阳 ▏情感劳动视角下的服务型工作与情感耗竭,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486572&idx=1&sn=b547bfc2c64ada584d17e53c35b43634&chksm=e928128dde5f9b9b48d37fde6db38885fdd61d78251db2969eab5cae5e273355dbe2a2db35d0#rd
53,俞国良  靳娟娟 ▏本体安全感：心理健康研究的社会学取向,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486564&idx=1&sn=8b212f3f451aec2172ff19755c45c5b1&chksm=e9281285de5f9b93e916d07b7fbe7a42adeb375ce6d3459eaaf35478e4e76379b9a60cfc1b64#rd
54,胡荣  任重远 ▏网民媒体接触对政府信任的影响——基于中介和调节作用的研究,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486556&idx=1&sn=887985bd6407d4600ee13353b1db3e93&chksm=e92812bdde5f9bab818d824ec2e4d4bf8a342c534b5a3bd52a33391045c95dd1b497b7aca173#rd
55,于恒  汪和建 ▏集体产权、关系治理与过度嵌入——文旅资本下乡的实践与困境,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486541&idx=1&sn=88d1d4ada5086f55bb2728ff36b22da9&chksm=e92812acde5f9bbaac250ac3124d03b655d68adcf88fe16462b5772b71275b08ee50c8100ab7#rd
56,江曼琦  田伟腾 ▏中国大都市15分钟社区生活圈功能配置特征、趋势与发展策略研究——以京津沪为例,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486530&idx=1&sn=84faeb37726a4d9d5b9c59cc56fc91ac&chksm=e92812a3de5f9bb57898a19e2921aeb45a5cf047ab05ded6f140c1de1a53c1377e1ba75623ab#rd
57,孔祥智 谢东东 ▏城乡融合发展面面观：来自县域的报告,http://mp.weixin.qq.com/s?__biz=MzIzOTQ4Nzg4Ng==&mid=2247486522&idx=1&sn=16e60f03adf6f68f3e510c70be746730&chksm=e92812dbde5f9bcd84c4fe049693e3da9503b2f3e90e75ccaaa63e1ba6c95390d22916954b29#rd
