,title,link
0,《甘肃社会科学》“深入学习贯彻党的二十大精神”专栏征文启事,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487867&idx=1&sn=77f622c18769671c99a5cb867ff91d7b&chksm=9bec376bac9bbe7d7bc8024d071db6f175b859bf10a565487e157ac8c279a953847a271305a1#rd
1,吉富星 | 流域“准市场化”治理与生态产品价值实现的探索,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487861&idx=1&sn=34887b3852daac909352b3c4f8f76e55&chksm=9bec3765ac9bbe73392d300d1e1499ec8bd622426400848f718cf8d2891626c79f74c6cfe254#rd
2,赵树文 | 民营企业市场平等准入权立法保护的检视与重构,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487860&idx=1&sn=610b186b108e673a14a3a413f5dcf9be&chksm=9bec3764ac9bbe7225232843b221be8e52de1337d16c2d83e5e2d7c2d3b249f38510ed10b743#rd
3,李晓明 | 监察法规抑或监察解释——《监察法实施条例》的位阶与定性,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487859&idx=1&sn=fd39b75b318309df34b9ca1eb3eb33fd&chksm=9bec3763ac9bbe7569c118f33ade49bc7f430a56f223206c295215a1d602d714c92d1ab6f791#rd
4,莫纪宏，诸悦 | 香港本土爱国主义的历史、贡献与启示,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487850&idx=1&sn=c9c09a509bbef3872a5d3858dd5f5837&chksm=9bec377aac9bbe6cb2bcd7dbeea0a1c6f1a5f15ff18269a8b6b18a0b2a16bdaaa53bc17eb315#rd
5,赵锋 | 子女教育对父母晚年幸福感的影响：结构效应与异质性分析,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487845&idx=1&sn=48a8e70264d364048678c20c1cdb6ed2&chksm=9bec3775ac9bbe6340be540e633e88db841fe35959ff8f07e55f52bb4c8ceb7ffc1bce2ca866#rd
6,杜改俊 | 元世祖潜邸时“晋籍”幕僚成员考论,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487840&idx=1&sn=257c6c49e5278b13a8fea5166db4c069&chksm=9bec3770ac9bbe66896d5cf3ffc4dd99b476ff49bc9b00408e66e3077063907b167f9631c5e0#rd
7,邵宁宁 | 《龙须沟》与城市底层社会治理,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487834&idx=1&sn=fd15d1fef4e61f58965e605006c0195e&chksm=9bec374aac9bbe5cc7a93fb8914d0d918f84dd0c6898cf2eeedc649f67dc6676d0975ab7f26c#rd
8,薛富兴 | 论宋代赏石的精致化——以《云林石谱》为例,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487828&idx=1&sn=a8ab517be93474a5287ae4c58261ca93&chksm=9bec3744ac9bbe525bef73f0bb8c7021188678ed3cef1092dac1e87bca4e3c28c3659bda257f#rd
9,赵法生 | 朱熹理气二本视域下的孟子心性论——以性情关系为中心的考察,http://mp.weixin.qq.com/s?__biz=MzAxNjkyMTQ3MQ==&mid=2247487827&idx=1&sn=e7c1e6e8c7817e6bcfe75193de165dc8&chksm=9bec3743ac9bbe55cc46683bd4895e261cc75e9a676c05cf629672b742c463ab645d58bc2c9f#rd
