,title,link
0,马陵合|捐抑或税:民初国民捐的再省思,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492470&idx=1&sn=a58f9ceb7265fdea75bbd1cf354818a8&chksm=e8f02d22df87a434742a5117f8b44e880083a1936e8be246b210146140c2695b5ee0a2f77b3b#rd
1,袁为鹏|抗战时期沦陷区的机器棉纺织业,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492470&idx=2&sn=a95f4a192dc5256dba8990eb971d0bf5&chksm=e8f02d22df87a43488a3da02c48116d87c40ce15a4e053a54a0ff8d371cea7469b18b1b025c1#rd
2,许志强|西方犯罪史研究的视域与趋势——以英国犯罪史为中心的学术史考察,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492470&idx=3&sn=29bdfccc84af87b5149a958b80565069&chksm=e8f02d22df87a43461a436c958853e06ef1c3414751f48dfb262db9f951cc0b5dbce23442808#rd
3,韩伟|明代礼乐变革与通俗文艺的关系脉络,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492469&idx=1&sn=2beb6aaf2498ea2760f774de8465f89f&chksm=e8f02d21df87a437252513a0b1714fed49aaebeb00f8726534ce4816bbb1b85373f200935e73#rd
4,周兴泰|听与先秦诗歌,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492469&idx=2&sn=4417c6de64c36c5b28fbe90fdd60f0e9&chksm=e8f02d21df87a4379996bc93ef35ba4add0ececcabfa6000c8149376555b813824797be94613#rd
5,张城|身以载道与修养之方——中国共产党人的“心学”与党性修养,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492318&idx=1&sn=98bccb79683709043dd02b0afa756f64&chksm=e8f02c8adf87a59c626a8f57b3bc687d4046b89ac8b80cab1fc7d4f10e73886f812fa1f7a1cb#rd
6,袁明旭党内政治文化建设百年历程的基本经验与启示,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492318&idx=2&sn=d5d8958586be3940e527be7ca5dc5e79&chksm=e8f02c8adf87a59c7b8c3ff181164225751d3c15d6973074932e8e36ffb5fcf1b9dce808c170#rd
7,石德金 刘顺娜|国家治理能力现代化的马克思主义溯源及其逻辑进路,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492318&idx=3&sn=bad37b0d8ad1133808a5fd063f02d3d0&chksm=e8f02c8adf87a59c9e4fdf6a48fb7c94ae3372b3c3e2902eb7f42700077795dba9ff6dbea3df#rd
8,唐丽霞 丁悦|激励、引导和规制：乡村振兴中农民主体作用何以有效发挥？——基于积分制、村规民约和农村综合信用体系的对比分析,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492317&idx=1&sn=6e461cc966e3f381cd4955cfc1cdbd32&chksm=e8f02c89df87a59fdbdb75bbc70519eaa5e2815e1856909319171a4b4622791240c234768bb4#rd
9,蒋辉|中国农业经济韧性的空间网络效应分析,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492317&idx=2&sn=ffbf36aaeb30bbd3776863b64de1afdf&chksm=e8f02c89df87a59ff1e73d736619f4f2aef8480a8303209603c19aaba28580b4b024d41ab833#rd
10,崔海洋 胥桂凤 虞虎|农地流转对农村居民消费结构的影响研究——基于CFPS数据的实证分析,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492317&idx=3&sn=8dccdc7648d61dcdb1e96ebc57eca0dd&chksm=e8f02c89df87a59fb9cefdb922c1244a2c1f18f3e28f3cee3fd692ef12af0163f9e5a706fe3a#rd
11,吴亮|数字化赋能产业结构优化促进区域经济高质量发展实证研究,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492303&idx=1&sn=9827e3683e5462762794657792bd7b88&chksm=e8f02c9bdf87a58d7b1b0d2610dc48b928f669702ffdeba50166dcc880c1cc39451b387ad2e2#rd
12,牟春雪 楚向红|大数据嵌入市域社会治理:内在机理、运作逻辑与保障路径,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492303&idx=2&sn=9e805ca4f9484d7dba3fc8d63ffea7fc&chksm=e8f02c9bdf87a58da14cf2352e63d73affbd309cc36fa3b99f80f904360062d11c3d5e40ba29#rd
13,苏昕 王立民 刘昊龙|促进或抑制:董事高管责任保险与企业社会责任履行,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492303&idx=3&sn=6678cffe88e96b1591fb91c2d026f765&chksm=e8f02c9bdf87a58d30e04555d258ec21864d19e5aef34ffc2ad526ee571bbbc4f199d69ffaea#rd
14,刘中一|母职、儿童公共照顾与托育服务的政策意涵——女性主义相关论述解析,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492302&idx=1&sn=d2be0e57bf5c641004bb273c95c912fe&chksm=e8f02c9adf87a58ce237d4e8ce86d70a1c60dbd292d8f856561c9e5190b1a579348b36353621#rd
15,韩建雨| “铁饭碗” 会提升三孩生育意愿吗?——体制内外居民三孩生育意愿差异研究,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492302&idx=2&sn=15b2fcbbe425474f1d85aa75c1c2ead5&chksm=e8f02c9adf87a58ca0cc6be9eb21e4c0e08aab286c83c57df3391a5173b26791ee7dd44bd34e#rd
16,刘伟忠 张宇|与异质性行动者共生演进:基于行动者网络理论的政策执行研究新路径,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492167&idx=1&sn=99758355483c5466435f26d098f52f0a&chksm=e8f02c13df87a50582ea9ec4d2edff2d4bef6cd96f22a0021680567e75744d39b90cda701252#rd
17,焦勇 朱建峰|数字经济时代平台经济的多维垄断与规制策略,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492167&idx=2&sn=f426a6b15ee9adf5d07000ef3ba34b10&chksm=e8f02c13df87a5050e8b72abcb75c40a5aa6455bc2c1accd2c25f966966933dee19b02015dd7#rd
18,冯游游 黄旭东|高质量发展促进共同富裕的逻辑理路与实践机制,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492156&idx=1&sn=d65577394af1f1a6639600e8fbe3291e&chksm=e8f02c68df87a57e6d5e542e3a96010b9eb9f0e9cf794f135b30cc578a498cbfdb00974a0b1a#rd
19,胡剑波 郑维丹|乡村振兴战略下农村金融对农村产业兴旺的影响研究,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492124&idx=1&sn=a51b6b151ef61c9989c08da89216b11b&chksm=e8f02c48df87a55ef51c29b8094f11df2ce84689de79fb71d94ec7e510fe97264434c268137a#rd
20,陆刚|基于产业互联网的数字农业:理论逻辑、融合模式与条件分析,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492123&idx=1&sn=9e0c65f3e5aff60d3a0cdd1d878cb55b&chksm=e8f02c4fdf87a5591cf7d2f30607f1e1d93b4420f28c1d990f72cb8114aa85dfadef4f6c4d7b#rd
21,《贵州社会科学》“深入学习贯彻党的二十大精神”栏目征文启事,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492122&idx=1&sn=175e369b89ff4fb26954d28f85b9d555&chksm=e8f02c4edf87a558a13f8d635abb5716d9838be2d0c22e24c012225ff4ca2752053d24353227#rd
22,胡洁|新中国早期工业建设者的身份建构,http://mp.weixin.qq.com/s?__biz=MzIzNDY5MTM4Nw==&mid=2247492094&idx=1&sn=220ab8e3517c3dd6ca2eebd83b46ff33&chksm=e8f02faadf87a6bc5fb0b6e432c7a74a105b38bda38f449c707b7cdc2272d0aeb1505541cf19#rd
