,title,link
0,《东南学术》征订信息，欢迎一键订阅,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653809036&idx=1&sn=bdc1b5fffbb988d50bb222f6e5f33090&chksm=8bbf44b3bcc8cda51ecc40cfb277caf9e6c41d729abb1c7eac80067e5685322587ee09c5268d#rd
1,陈恩维｜李贽、利玛窦的交友与晚明中西友道互鉴,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808313&idx=1&sn=d516a198bc7d9d90f20de33b23949cd2&chksm=8bbf4b86bcc8c2909af6908c12a58012e56392142c237269ffbdf342b11f8a75d864b685a86d#rd
2,《东南学术》2022年编委会在福州召开,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808307&idx=1&sn=c9b631039292d5bb0646d7c8b9705c13&chksm=8bbf4b8cbcc8c29aa0f9b1bacc6b279ffc8ef3ce84faf2146fadd7ec6ca191a4eeceb24aa09f#rd
3,傅捷　华生　汲铮｜关键历史节点与资本市场股票发行制度演进,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808169&idx=1&sn=7e194d8faa085fae12067f88616efdc8&chksm=8bbf4b16bcc8c20073d534af19e5e1e3f5714696917ccca42f36df51a35c3d02979fb38bd113#rd
4,胡慧芳　欧忠辉　唐彤彤｜财税政策对企业研发的影响实效——以战略性新兴产业为经验证据,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808163&idx=1&sn=fd01dae5f211e3181a01f90cf4a02156&chksm=8bbf4b1cbcc8c20af3ffca701431e1cfa9d9bc86ae4bea0662706148207280f803943a964b21#rd
5,佘雪琼　龙登高｜明清桑园围管理制度的演变：一个与集体身份交互的过程证,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808147&idx=1&sn=44cea3a863cabc4815cdc34e299881a0&chksm=8bbf4b2cbcc8c23a8855e20393ce0d410200a923d32a8bae35fcf8ec9212e55825391ceb199e#rd
6,常　飞｜论我国期货和衍生品市场监管的改革路径,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808061&idx=1&sn=92b0bb190073341e828ef155e99b114d&chksm=8bbf4882bcc8c194501d037d0f5e10a86462a1c7ab5342d8c1de0a293c7545f62dbc79bf557c#rd
7,黄克剑｜《庄子·养生主》意脉阐证,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808018&idx=1&sn=8de8a27d2cb7486768f3f440f6e39ffa&chksm=8bbf48adbcc8c1bb8c88c97973fed4d752f0327097c496d8197debb927f4ae8a9ea9b7912b89#rd
8,程　宇｜数字金融发展对产业结构的影响效应与作用机制,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807995&idx=1&sn=126845b7d9cad39b7ffc248f7c12351d&chksm=8bbf4844bcc8c15282018b1c46ccac259e880c577aa724fcec5e5172bd229b56404bf189224f#rd
9,陈　熹｜法定数字货币中的个人信息保护,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807957&idx=1&sn=d1935ced52ec44f6bf54f9c6a793d60c&chksm=8bbf486abcc8c17c52b0eddccb9f391ed712dfedd8a941f234a8b038e7d1b3e2e656cbf445fd#rd
10,何苏燕　任　力｜现金参与并购视角下的超额商誉与企业创新,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807867&idx=1&sn=e793c61dd8bff5fceac9d1d6d2d3f883&chksm=8bbf49c4bcc8c0d295b8ae66a2a94ab5c9a2f372581c8033811abde7563b60c036d866e135de#rd
11,冯月季｜符号学视角下智能算法对人类主体性的消解及其反思,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807826&idx=1&sn=60cfb7761f5bbc520de6f0346f1a561f&chksm=8bbf49edbcc8c0fb5a61a829ba5717c6aa6ff9a80a492d95dbc422d3d96f442a7874222e9212#rd
12,叶冬娜｜我国国家治理现代化的生态伦理探,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807820&idx=1&sn=f5857929055636de0cbe1965af9afd84&chksm=8bbf49f3bcc8c0e5833242d812050f48c351924d0e2329d1a15467933a7ba2a5449a128b524d#rd
13,李海舰　杜　爽｜企业社会责任与共同富裕关系研究,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807819&idx=1&sn=13c9a324d6aeeababb9414e9a34b866e&chksm=8bbf49f4bcc8c0e2478f4cbd54a90b2a4e1a476e3ea0260c03385047b38b43f494ff1abb31e7#rd
14,崔　旭｜中国非遗保护语境下文化空间的空间化问题反思,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807769&idx=1&sn=5633f743e62d80b82ed83d965b2366d7&chksm=8bbf49a6bcc8c0b03d3157c048234a09b2a4b2c6bbf57bed330e2c5c2551ded1aee335b21d1b#rd
15,刘　奕　李晓娜｜数字时代老年数字鸿沟何以跨越？,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807763&idx=1&sn=e3d596a7939d33a64f6f6c6e1b1669b2&chksm=8bbf49acbcc8c0ba84e9b32d02d2aa64075606c0c571054bfef87724702c8f33b26ee5fc2993#rd
16,叶冬娜｜我国国家治理现代化的生态伦理探,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807751&idx=1&sn=71a32c8c154b2388f38b1872517770e4&chksm=8bbf49b8bcc8c0ae502faf26b16992f922a6d47900a0cb27f1eca1c6c1fda2325d7aa4e2ddaa#rd
17,叶冬娜｜我国国家治理现代化的生态伦理探,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807712&idx=1&sn=355a46f4cd6e77c846ac5856bc71bfb2&chksm=8bbf495fbcc8c049e7cc4f07c6195a4aea6486e83d563d28099340d8027d6cac5faed5582c1e#rd
