,title,link
0,十八大以来《大国崛起》、《我们这五年》等纪录片成功之道,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112395&idx=1&sn=4d23fb6ed2cd6189d28b57771d503799&chksm=87e713ceb0909ad8964df95de5eb58354e1d306935a90ea5aa7184fc885e8d0bca10b72c327e#rd
1,社科微视| 陆建德：中国语言文学的开放性,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112395&idx=2&sn=bc9f3a96e6af697183ca684c9870d52d&chksm=87e713ceb0909ad82469e82be7946a347f8ae0047158aa0b5e85e3dc0663cd9c44e813397707#rd
2,学理大观| 王延中:充分认识铸牢中华民族共同体意识的重大意义,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112395&idx=3&sn=e8ddc6c37612c6765f8b4c9815ef6104&chksm=87e713ceb0909ad8e65a94d41598b1ecae3033d5b9f2c8653512cd7c3b9980b7292978f2f002#rd
3,会议资讯| 第十八届“马克思哲学论坛”在武汉举行,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112395&idx=4&sn=ab0a5c1e591928ba75c61005b40330d1&chksm=87e713ceb0909ad89c9d413fefea2fa6beec230378546207b8aa2b9d20e2fa70251b7bb61424#rd
4,学术视野| 李哲罕：全球正义研究的前提辨析,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112395&idx=5&sn=5f29885d353bda2a8bfb40683f0c356b&chksm=87e713ceb0909ad89566705b822732b69e3697b19c5d38e4dc66c291ab24656b422cb2e640aa#rd
5,社科观察| 网络视听节目制作与传播需要注意哪些规范性要求？,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112395&idx=6&sn=468380de71c7fcfd672c7896946a260c&chksm=87e713ceb0909ad8f1e04c3db1f9f1166e73349465be3b150a30ac74ae1b187a2d9734a11928#rd
6,国际观察| 新型国际关系究竟“新”在何处？,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112395&idx=7&sn=ec877378bf2b266b086297c319958cb2&chksm=87e713ceb0909ad8ed692d0fb3a8d9ddc69fc63ef74a1149b5643f8a8a6e73935467ac211ced#rd
7,海外聚焦| 美智库专家：对华商品加征关税损害美国企业利益,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112395&idx=8&sn=76cd22715461ae54bd4b292cb93ec89c&chksm=87e713ceb0909ad891256f7ecdcf38cd805af45430481ad14eea8db9f2f1b0d4e341b96f4a4d#rd
8,世界一流的雄安大学要来了！雄安新区已经对接了哪些强有力的学术资源？,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112374&idx=1&sn=5cd95cb99bd133994871cc43908626ee&chksm=87e71333b0909a25483c7e343238f18a06dde80dafe6f516ccf2e471b02aad7a2e8240fdbae9#rd
9,学理大观| 张志琦：指导新时代网信事业发展的纲领性文献,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650112374&idx=2&sn=5eaa6ff19b53e9d0b96f3e6e28216764&chksm=87e71333b0909a25055e23dd57cddaa50bf139756fd9ba9954101b69982f01c73c3aecaa443b#rd
