,title,link
0,《学术研究》2022年第10期目录及摘要,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615981&idx=1&sn=19a5390d5bc0ff23f19c520d40708bbc&chksm=bd5455728a23dc64f12ed04d870303f7942819d73476630496d2109228d76742ecf322f1deb3#rd
1,吴猛：存在与否定的辩证法——黑格尔《逻辑学》“映现”章的逻辑进路,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615981&idx=2&sn=8661c8834f0823fa4a76b41a4c663797&chksm=bd5455728a23dc64237ba4cce4006a716d81e01484eff57746e65f9dc910fdfb85ea8afba182#rd
2,范和生 武政宇：亟待“国际转向”的新时代社会学——兼论全球社会中社会学研究的关键议题,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615981&idx=3&sn=94595fdba691dd7f52254302d2e0c2e1&chksm=bd5455728a23dc649eca5df16ad3fb5d96947fb1f338a0e73775369c6d57b995e80b07aec86f#rd
3,常修泽：经济学研究的功底建构与科研方法论,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615981&idx=4&sn=45a5adadd888d47a223bbb51a65c4370&chksm=bd5455728a23dc6472209500ebef88342aeb5de26cd791db5d938aa1f9b99f354850f345f2d6#rd
4,金国平 叶农：“葡萄牙人大传播”：辣椒入印及入华史考略——欧洲史料视角下的新论,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615981&idx=5&sn=36c7bd23307bad0fa58d19b85e485c0e&chksm=bd5455728a23dc64903a7ce57a082262cf0ec16af6653e73bc1078efbc725220a3bbd947bbbc#rd
5,卢盛江：论“平声赊缓”,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615981&idx=6&sn=fcda3e779af0c0cb5dc854b8562cadf8&chksm=bd5455728a23dc6400e6f3c3bdbff6e3261186ebec52c1c4263eef33c7d4d5ee74fbcf1b456c#rd
6,蔡宗齐：元明清诗学中以参悟为主的创作论,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615981&idx=7&sn=5364f8555b4641b724279e69b47bce41&chksm=bd5455728a23dc64eb7bd653a8551bc51ca89c76b3a6fdece6c0d98910b4221cf3763135f798#rd
7,郑功成 王海漪：扎实推动共同富裕与慈善事业高质量发展,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615904&idx=1&sn=b79af6ee2756a2add9841ee2c646c0c2&chksm=bd5455bf8a23dca95a063d4784d3d75f32dff200a3fb118a309c2b724c4c36bcb179a16e39bc#rd
8,张敏：2019—2021年明清史研究的进展、热点与趋势——以“人大复印报刊资料数据库”为基础,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615904&idx=2&sn=00d6b508bd7374aa4bc4859dd257660c&chksm=bd5455bf8a23dca969bc234ca872ac467e39acd72bf382551d1a9a5d39e63c34c62d42ee6e60#rd
9,陈志勇：傀儡艺人的“幻术”表演——南宋李嵩《骷髅幻戏图》解义兼及戏剧图像的研究方法,http://mp.weixin.qq.com/s?__biz=MjM5NzU4NTU4NA==&mid=2658615904&idx=3&sn=8abebdf923d832512d6c5a0fc847ea91&chksm=bd5455bf8a23dca9740d1fcaaa8055719f0aa8f381907c3223c9cd53a5ecfd370a37859e9c00#rd
