,title,link
0,跨境补贴的国际规制：基本问题、最新动向及中国因应,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488544&idx=1&sn=e9913c764048776f15f7bdb95992d78e&chksm=c1970719f6e08e0f6a6c6207b6d792600083e035684e8a26b2b217f2b327c9c5fb0651858d73#rd
1,全球最低税改革的规则创新与中国应对,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488543&idx=1&sn=0dabb91acfe753d5bbe9199174682c7d&chksm=c1970726f6e08e30ae8be0e5966fb9e2f7accb31cbbe1a6ea09cf1e997bd72250429384949a1#rd
2,数字贸易国际造法的共识、分歧与因应,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488542&idx=1&sn=e9348bc089d322c3753348d856293d0e&chksm=c1970727f6e08e31aaaf4bad93636be9941d96213523e3c4787ea0df5962515866d6a6ff97f5#rd
3,农业专业化背景下乡村治理基础秩序的重塑,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488541&idx=1&sn=25ca9b9e42beaef1fb72259764bce93f&chksm=c1970724f6e08e32f785b261e206520904f7277a907de4e784fd1c51a71ecc2a476cbf2217f2#rd
4,《学术论坛》“深入学习贯彻党的二十大精神”专栏征稿,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488540&idx=1&sn=466dba34efaace1e65ee54bb3dcc9f58&chksm=c1970725f6e08e33c71c747aa964f749231df4ffa564eb76c9b830e22c84c6fd720c2e324c16#rd
5,《资本论》商品篇的阶级叙事初探,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488535&idx=1&sn=e92e7b22ca9bbda85e07417d369ad700&chksm=c197072ef6e08e38799f9787b2a53e6936983390a351fe668c6243d616f2e5b39f3e8f548cb9#rd
6,从副本批判到原本改造：马克思改变世界的基本方式及具体环节,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488534&idx=1&sn=7c2220273f32f5a12948218617a947f2&chksm=c197072ff6e08e3930464c2f695d26704f83e7c63d2a19eef59e1859efba7689f5dddc64d423#rd
7,论共同价值作为人权基础论证范式,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488505&idx=1&sn=be81d4ed80e210b311c628fa081d91f7&chksm=c19700c0f6e089d696020a7f7c845e8d2e8eecd1260e943dc5fa5f381ffc17ef5df17472e6cc#rd
8,城市群空间网络结构对绿色发展绩效的影响研究——基于长江经济带城市群的分析,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488504&idx=1&sn=d3eba95102cac6a8da4834d59ab7a267&chksm=c19700c1f6e089d7fb5a2b751694ed264426e71293b4c2f4a2456791cef727f3d1dd70b349ed#rd
9,中国相对贫困的特征分析与指标比较——基于货币方法和多维方法,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488303&idx=1&sn=5eee9937826e733acca796edcafa0bca&chksm=c1970016f6e089009517b0612c83cfe4a4d462bb7b023ef630ecde1732a423f12bffec9172c8#rd
10,数字贸易规则：“美式模板”与“中国—东盟方案”构建策略,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488114&idx=1&sn=03c36004306e28bf09a4aa2e5ed73b6a&chksm=c197014bf6e0885deb3c64044c72bfebd37c51f4d62525a34f44624f84703b0f5367d3beb149#rd
11,创意阶层集聚与城市空间互塑的理论渊源、逻辑关系与发展进路,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247488048&idx=1&sn=d2246ee904eeb28b3a5513bf79fe4dcd&chksm=c1970109f6e0881f63bbda72298ce25fcb2aba841d060c9fbb0472b5f2da741b7501a91cec61#rd
12,《学术论坛》2022年第4期目录,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487979&idx=1&sn=db45cce14c419e14b9058312c9bd6b97&chksm=c19702d2f6e08bc430b82baf246c038a39e718cd51be332e3414ebdc9fd9066f993b26b951d3#rd
13,《学术论坛》2022年第3期全文链接,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487922&idx=1&sn=7beb3df71085e2be9a041ced93795c3d&chksm=c197028bf6e08b9d56a06acae7713f6bfecf7584c54d00b129654a510e7f445446ea2e97197e#rd
14,“智能+”时代现代文化产业体系的健全逻辑：要素协同与数字治理,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487898&idx=1&sn=555a3b63e31094da7833a300cfcb9290&chksm=c19702a3f6e08bb513687c42f652aa31d5731880c86bcf6a61fb8bad09b05691b60799f6a3d9#rd
15,数字内容生产平台化进程中的创新网络治理现代化研究—— 以IP为关系协调枢纽的考察,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487898&idx=2&sn=ae70c90f4af007fa62d7c1f19eaaf6c2&chksm=c19702a3f6e08bb5e94b7e314338a73934126c6431fa50f5ca6ff7484b6616377a19417acc46#rd
16,中国工业绿色高质量发展的时空格局演变及驱动因素分析,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487898&idx=3&sn=e524711275388254c756cdd8d93f7c1e&chksm=c19702a3f6e08bb510754dd0f5321621d5942f86bd57c1d0672c96d2679ab045b56154a03161#rd
17,“全面三孩”政策背景下职业女性的角色冲突与抑郁防范,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487862&idx=1&sn=51a97a5cc50eb5e20c2c561f1f5ec29f&chksm=c197024ff6e08b59b493dc66db8bc3be5340a7008bf43017427de167c159d0f3a18037a67813#rd
18,“鸡娃”的生成：现实图谱、制度型塑与文化建构,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487862&idx=2&sn=88a453d0427c62942decfa39826fb2be&chksm=c197024ff6e08b59e2a89d3d4c0fcb35d46cc11b6e482960f9119a1406eff9394c45f54e092f#rd
19,家庭金融脆弱性与当代中国居民的主观地位认同,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487862&idx=3&sn=f7ef49a6a6de5a0a6dbd78cfe257bf6f&chksm=c197024ff6e08b5920a000d269da691cd4d70dcd5cbea4014ba215601e6a9e34aac0f005e989#rd
20,企业社会责任与经营绩效：动态能力的中介效应,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487752&idx=1&sn=090a9fcfb66e4b50cb76313b314d0823&chksm=c1970231f6e08b271162d9eaed5f017e7e7e1d451a5e15b887ca80dcb2c8a879ba5e7a0cb8e5#rd
21,我国科技创新对经济增长的支撑效应和途径研究,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487611&idx=1&sn=8497c7a87dbf3e2ce68f8e38f02b408a&chksm=c1970342f6e08a548521a5346754e0b0133f6416f7d3db107a4db49df71515db8e32a518ad62#rd
22,中美科技竞争的态势与前景——基于与日美科技争端的比较,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487591&idx=1&sn=b9533fa36de71ee8df87d497f8d8888f&chksm=c197035ef6e08a483e1a3528a1a51966248cd07185f8020e462835669cf33f52670dee31b092#rd
23,数据安全刑事合规的滤罪模式,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487590&idx=1&sn=9e35da0949664c28d255bc0e0de16e5b&chksm=c197035ff6e08a495ef25eddf3068f6a671b74829cef201e1150a48f6444d496fe3a258e182d#rd
24,拒不履行信息网络安全管理义务罪条款“僵尸化”的反思,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487357&idx=1&sn=c655de1e366efabfc3e26cc16d7638a0&chksm=c1971c44f6e09552b582a4333f1d0fcbc63e4a0a1443627928751df74b4a44f797d100383bd4#rd
25,《学术论坛》2022年第3期目录,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487222&idx=1&sn=fc33bfa61a241ea6b9a43cbc1a55e6cc&chksm=c1971dcff6e094d9940ca2236bb5a2d2da73f9350f20803551b30e5d9081498ffab4665c219f#rd
26,晚清民国时期郁江流域蔗糖运销网络与社会经济发展研究,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487140&idx=1&sn=3f4b23dff1d05ee6504c4775dc91688a&chksm=c1971d9df6e0948bb05f6e7946a7cb3793653fc36b3eaa50d339b4b4c8ed42530db7c93bc90c#rd
27,太平天国基础教育制度的缺失与科举制度的演进,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487139&idx=1&sn=ab960e750db0f2aa5d79533f04dfb9ff&chksm=c1971d9af6e0948cc10cf3fa9ceb102a8be91c6e0c4effec356ee24e1262e1b6da39cf1d4fc0#rd
28,改革开放以来我国国家安全治理政策变迁的社会演化论分析,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487138&idx=1&sn=ca74e13a6c611122aaeb44112319bb77&chksm=c1971d9bf6e0948dbfe9ef52e075d12b623c9f713ccbb1c7e046165ea8e3708e0b5b120a0dd9#rd
29,“统筹发展和安全”的历史演进及融发展和安全为一体的国家大战略,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487137&idx=1&sn=ed8ac910624226e4dd8dfd7c3ef8f83b&chksm=c1971d98f6e0948ec6fcf1f50a82d95246dffd14b2b71ad8d93c38bf0746cbb08d2db44562d6#rd
30,移植、反思与重塑：“恶意补足年龄”规则的本土化,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487133&idx=1&sn=f2d94daf876764b04ed81175d8707bd2&chksm=c1971da4f6e094b298bdfa8199774bc10bee629f0433a2031d72228d9b59a8a121fc5d2732e0#rd
31,未成年人涉毒犯罪的政策权衡与刑罚适用,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487125&idx=1&sn=3b50c2986de1f6b00ab88c21eb786a68&chksm=c1971dacf6e094baa7e81809de20a4190e0b99f50e9c4fa46a18fe218bdfc9e12b726697febf#rd
32,中国环境法治：体系、教义与法典化,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487124&idx=1&sn=e0a72801a7dae18d2f99ba70cc59b886&chksm=c1971dadf6e094bbc108e5ee987b11fdca0b5c430698f1abf1b2a79f8cd241e88ecf5d3178ad#rd
33,法院审查专利有效性的制度要素,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487123&idx=1&sn=200baa67422530a522c9f8e3d8dd690b&chksm=c1971daaf6e094bc60355c7b10efd4fddeaaa74501abd8e7b873d0f6fe279cbe3a4d060ba1a5#rd
34,碳中和背景下的全球能源治理：范式转换、议题革新与合作阻碍,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487122&idx=1&sn=5791cd0fe9ff67065b874505f5c85dd0&chksm=c1971dabf6e094bd61fb8c0399d43ed007e5f7b62167038fcf701a585913626a4bbd5e975a97#rd
35,全球海洋环境危机治理：机制演进、复合困境与优化路径,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487121&idx=1&sn=9590438e7c2656248156d51b17d85950&chksm=c1971da8f6e094be9cc1806bcc8ff0659cf41e841d3b29241a613bf95b75b917c88596e28360#rd
36,《学术论坛》2022年第2期目录,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247487120&idx=1&sn=e466b6e3a241fcfcd9589ba43593afd7&chksm=c1971da9f6e094bf1a6c73fe7f6bd59e0ff10e26a4765e849d9b0ef59d17ef78a8bdccc7c2c3#rd
37,我国服务业进口对居民人均消费支出的影响研究,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486662&idx=1&sn=a95feccb9135dc772f8dcf2a93f0204d&chksm=c1971ffff6e096e9f6da9f9656e0cecf279aca68d1533c68d640ab55b177c28ee149dc8ebdd6#rd
38,"高质量推进共同富裕：概念理解与发展逻辑
——基于城乡公共服务均等化的视角",http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486662&idx=2&sn=cffeb288d3be0a892f1921faf25c9280&chksm=c1971ffff6e096e97df009d4abb4194ddd9eefcff587415073e8ba2328a6273d9da13277b23a#rd
39,工商资本参与乡村振兴的动因、利弊及治理对策研究,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486662&idx=3&sn=e96b2df0905e9b81d6ff8c3957b795bf&chksm=c1971ffff6e096e9020947694a3712b9cee0f84eb6b4bd405c3983899052608ff44c394b1917#rd
40,"我国独立董事的制度悖论、缺陷与解决途径
——对“康美药业案”引发的独立董事辞职潮的思考",http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486655&idx=1&sn=a20132d57a244ad93f011615611bc67b&chksm=c1971f86f6e096901482f17c57e5ed01104c96d6091e7164bb87511745e86daa25bae6dafdf2#rd
41,从“单兵突进”到“制度协同”：中国公司资本制度改革的未来走向,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486655&idx=2&sn=3b727a0ea28e201c3bd58d1b3783f371&chksm=c1971f86f6e0969044d9bd6d0f2d103364607ba43a883befb33b9ffbdcb91373eb3cd3768c9a#rd
42,范式转换：系统论视阈下公司资本规制研究方法的修正及其制度实现,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486655&idx=3&sn=f69c0e9518afc941ddb7bc514efbae02&chksm=c1971f86f6e09690ed0d11ac4806bc33c1c299e0aa3b7004bc5a2faf1e6daf94daffe037f6d1#rd
43,事件、制度与能力：中国新发展格局的政治塑造,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486648&idx=1&sn=7c1af7d2e0a0cbb6d18489977e0f9214&chksm=c1971f81f6e096975dfef76a9ee345fad016e1218a3df3d99a053e929acd81a7f70d34323974#rd
44,论西方政治与风险社会生成,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486647&idx=1&sn=2b4e5818f4253b0318708e52c16d35a8&chksm=c1971f8ef6e09698a1c215efaf17222dee95b703807f8b739a644280101e40a8187f56cddc98#rd
45,“知行说”“学知行说”考辨,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486646&idx=1&sn=1144308a6cfed9aa75c4f015f5b7d9db&chksm=c1971f8ff6e096992c9376a86bdc3b95017f6b505fc878ab0fa75dbc6c9736e44a7908d724cd#rd
46,“运动是矛盾”与“问题即矛盾”解构,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486645&idx=1&sn=e6f93f0ac2c93ba6364129be1e71caaa&chksm=c1971f8cf6e0969af65fa28ee6bd97cf75b43b2bcba84411006816d925210b66aa8e2c0a76d2#rd
47,治理算法：算法风险的伦理原则及其治理逻辑,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486644&idx=1&sn=289de360ea054302a3ed92c8cda2dfdc&chksm=c1971f8df6e0969b8d4212af0ef6b463ec73aab674bcc7ce645f53f17f49a8e4db2c78bf1910#rd
48,以文本为基础的社会科学研究：从内容分析到算法模型,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486643&idx=1&sn=d5661303b8d3f94b4e98d9080f45b4f5&chksm=c1971f8af6e0969ce19d50991413a6f4cf14597e1558645b44bec61e1b4b8821f70ee9b2e668#rd
49,《学术论坛》2022年第1期目录,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486642&idx=1&sn=0d8789628d0e97574346b7ec3c551ca2&chksm=c1971f8bf6e0969dfae1864ea3f25345409768de2555b950d4703af2d26212c6211adeab8a46#rd
50,超越家庭：婴幼儿保育权实现中的关系建构,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486278&idx=1&sn=e9a12195f0e4db12b0b7938eec269be9&chksm=c197187ff6e091694992be0da29e1f7c308298ecf0f432227a462d85c5d5feb43b069899f6e1#rd
51,政策促进迈向法律规范：我国长期护理保险立法研究,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486277&idx=1&sn=ba2502351bc5d0bc5bdba4746c886b26&chksm=c197187cf6e0916ac24f3c2c3f3737dcc6a747397675284d6f94268fbeefc4e211788d2f6adb#rd
52,动态秩序与动态民法：《民法典》实施背景下的民法哲学构建,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486276&idx=1&sn=71b8d3368d258db0822f249aa7f79c36&chksm=c197187df6e0916b059d6e81a49462550d119cc14d486c06e1876c01832fe69a9a257a0c0e4d#rd
53,我国《民法典》遗产债务申报通知与公告制度立法完善研究,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486275&idx=1&sn=a4d6f9894e71c257abcc01b288173d75&chksm=c197187af6e0916c9f19796e417b2e1a3c179ce4a1ca800ee923d62e39f0664334879c62d3fe#rd
54,《民法典》合同编单一过错违约责任规定及其建构的结果债和手段债区分理论,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486274&idx=1&sn=3571858f3c7261f58935460181eff8ed&chksm=c197187bf6e0916d33ab8695d75195e23b584b3beaed507640b995e5437449a57b6652bee9a1#rd
55,“双碳”目标下供应链生态系统监管信息安全研究,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486249&idx=1&sn=4aa95c9fec0f8a7ceeec97bec3b6277c&chksm=c1971810f6e091068b05190257ce3aa38a5c46e344410d130f716ba09dcc942635b992b29fe6#rd
56,碳中和视角下中国与东盟绿色金融合作路径分析,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486248&idx=1&sn=3d2371b6c3f794debc83427e850d0d69&chksm=c1971811f6e091077db348cc92576b170d01c0e5136a7c26fc65a0459b734299751d97829284#rd
57,加入WTO二十年：玉米进出口贸易格局变迁及对国家粮食安全的影响,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486247&idx=1&sn=0c32a13b535824e1ee6426b650baa824&chksm=c197181ef6e09108bbd51e98e522f331cdbb13607adbcb1cba2d9027572a68279dd8b0d9a4ff#rd
58,“非粮化”整治的负外部性及政策优化,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486246&idx=1&sn=88bd26e525bbac5e596df9ca4479c26c&chksm=c197181ff6e09109ce615abfea0f35de37667094c93973eca281eef067785d366164ca70c327#rd
59,中国共产党百年奋斗的伟大历程及深远影响研究,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486245&idx=1&sn=91d915252f934cde72e03510ab909191&chksm=c197181cf6e0910aa6c156f92813d7fdfff58711e3dbff357c5d016bbe7ee4a921514499e407#rd
60,嵌入与共生：青年圈群文化现代化发展的价值图景,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486105&idx=1&sn=fbcb2ac9b032b923bb5f2ba722b55108&chksm=c19719a0f6e090b688c1d0290161989afecc02f1c41f3b5d8148f6e0c73e2a7a99a846650595#rd
61,多元协同与跨域合作：网络文化社群治理亟需范式变革,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247486104&idx=1&sn=2fab3bb176455a0a26ec3e1a19e52371&chksm=c19719a1f6e090b7f8241c3b1468e370b3db8f3e685123d6730e4ad467ad6de2130fc1f1252e#rd
62,艺术品资产份额化交易案件的司法检视与刑法规制,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247485958&idx=1&sn=659bdb83114a46da41654bd8f10208de&chksm=c197193ff6e09029f3f3e8bbd4d6cb5cf148243575a1d5851f45e4e6e235c45b4aea2642578e#rd
63,论著作权原始归属的准据法——兼评“小猪佩奇”案判决对《伯尔尼公约》第5条性质的认定,http://mp.weixin.qq.com/s?__biz=MzkyMDIwODk4Mg==&mid=2247485957&idx=1&sn=60352828750d30728c37f9fe6c84a8e3&chksm=c197193cf6e0902a105396513926023e0afcaabe341c1ef66a39fcee184429f4264f19cc90c8#rd
