,title,link
0,陈家建 || “控制权”理论与政府治理：一个研究评述,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247487285&idx=1&sn=76d1378a832f117112f856d89353b85b&chksm=9b7abd51ac0d344704d778b5a4e503a74946a805849b8c740aad77c467530cdd1014463f101f#rd
1,刘杰 || 级别弥散与官本位体制的成熟：对唐宋官僚制级别管理的考察,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247487267&idx=1&sn=80495abf8437442135efb862dbcad7ab&chksm=9b7abd47ac0d3451b6a8fe52d99f018ccf12bd38ed684d85d4fb50ec76fb39e79dffdf91a7dc#rd
2,姚中秋 || 以国家整合为中心的大一统理念：基于对秦汉间三场政治论辩的解读,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247487256&idx=1&sn=1b1583af2cc57cf658b9cd561cc6388d&chksm=9b7abd7cac0d346a14decff1236766d6d52fc23ea084cc3d98624e0e9eb852f6b6ebfe6d52ee#rd
3,汪仕凯 || 论政治大一统：内涵、本质和演进,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247487244&idx=1&sn=a29ee939cfbe1efe64aa8191c4fbc46a&chksm=9b7abd68ac0d347e518251cdc4935883ea84016b3c17c2812e2a952d813efe5647969bebb72e#rd
4,新刊速递 || 《学海》2022年第5期,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247487224&idx=1&sn=f538bbb190a9ddb85bee4a88c6eef5c5&chksm=9b7abc9cac0d358a8769e832c44dfbb47c6db18c343d0a2d59877dc8aca995b45df63db6c49b#rd
5,徐  嘉 || 群己权界”中的道德权利与伦理秩序,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247487101&idx=1&sn=491cdca9dd69270f37128ff5ba009aea&chksm=9b7abc19ac0d350f48c3040233f87265f2242fb14536264a2faf5b1fed1b03922ad5681d004e#rd
6,李声高  钭晓东 || 我国海洋环境民事公益诉讼证明制度及其完善路径,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247487083&idx=1&sn=7c3f661997d036bfa7a45c3e969f0ef9&chksm=9b7abc0fac0d35197a756e36a3516ce6e15c9cadefe3443077bb4664c433576a6143db1ca3ef#rd
7,王丛虎  刘巧兰 || 公共资源交易实现基本公共价值的多重机制与实践面向,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247486942&idx=1&sn=bacb51318f2f0ab287e2b20970a021b0&chksm=9b7abfbaac0d36ace78f246f44109ec4cf0cba71a22448eaa1f2258f3b3a9b6418b15fd6e8cd#rd
8,庞金友  赵西亚 || 价值革命浪潮下当代美国政治信任的困境与反思,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247486903&idx=1&sn=a9c5c820e325a5e05bb6df8d1de490b5&chksm=9b7abfd3ac0d36c5a2720389094acfeac86d8e0309ab36fa582d4acb31c8c3823486a5ca6840#rd
9,罗阳  刘雨航 || 重返共同体：高校学生社区营造的社会工作介入,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247486885&idx=1&sn=8c627adbbe5bc9b498f21fd39162ef67&chksm=9b7abfc1ac0d36d74d9770378b822672a4833a9c96b9b1bdf2ccfb86d5c5ec1726b0bb4d364a#rd
10,何雪松  吴蓉  || 组织化的自我实现：高校社会工作的一个视角,http://mp.weixin.qq.com/s?__biz=MzAwNzU3OTQwMw==&mid=2247486866&idx=1&sn=01b2dd52d1e18cede1a3c1a255d4b786&chksm=9b7abff6ac0d36e0bebb6b4836ecf8490f371558736d3a18971407e49e64fb7acdf305caca53#rd
