,title,link
0,杭姗姗、李海青：中国共产党人践行初心使命的百年探索与经验启示,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938606&idx=1&sn=2b3835d2add6aea79a35b08de0f91841&chksm=8c272e82bb50a794e144f86f909e470941ebf1f9ab748626ac9d6a5f13676f97ee68bbbc95c1#rd
1,张三元：中国价值与中国式现代化新道路,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938589&idx=1&sn=9bc3c0a522102a45c15a597a6207e8f4&chksm=8c272eb1bb50a7a71da5664384373918b6e45be86c1f25d195e2a5ca5975c82fd2e58c0f6e03#rd
2,王海军、闫寒：中国共产党革命话语的塑造与表达——以中央苏区时期革命歌曲为视角的解读,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938577&idx=1&sn=52a7bc237ca246c319ff0569fd169dbd&chksm=8c272ebdbb50a7ab5a16f19f7a92b11e951df67d02dd15bca9a6958cc19f20b32c1b06416d71#rd
3,刘娜：论电影复调叙事逻辑与模式,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938570&idx=1&sn=748fe93233487aa97b991cbd36feca93&chksm=8c272ea6bb50a7b052f91f08ff41c15025f6e2308d1209b94f71fc6743cb7c708eb82c296b7e#rd
4,代金平、李杨：构建负责任的人工智能社会治理体系,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938566&idx=1&sn=8ad433701b16e44cc91cdeed6e134ced&chksm=8c272eaabb50a7bcccf9af0a92aff130722d0de9c2ed9db2970f926f33a28952b0c005878691#rd
5,《山东社会科学》2022年第10期目录,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938562&idx=1&sn=20aeecefb757be148bc7e60518be298b&chksm=8c272eaebb50a7b82cc3e37ddfdc3229cf533d9c3f8a3ab1de873bdd3e0a0e6f95315d8d197f#rd
6,《山东社会科学》杂志社召开“学习贯彻党的二十大精神”选题策划咨询会,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938549&idx=1&sn=f623491c1f0ddf60b1820a8aa80cbd0c&chksm=8c272ed9bb50a7cf83f64e2b9be9099cdb83bb986ecb9c9d3ee43dd292e0013718cc62ab63d1#rd
7,张笑、胡金焱：绿色信贷政策是否抑制了重污染企业的投资？,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938531&idx=1&sn=af5aa1f1afcc78f851a45bca7640b687&chksm=8c272ecfbb50a7d90bee9eb71982e986468c68e76fc383a0ac3e5152bc54ac2cf22ca754ede3#rd
8,《山东社会科学》杂志社2022年公开招聘工作人员简章,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938531&idx=2&sn=95d53e55a6f5c2cb694fd7c6e7a81cd3&chksm=8c272ecfbb50a7d9090a0fd6540a62454178e918a461d0db7978c5311dfd9880ef465fea5f5c#rd
9,王凤荣、马骏、李亚飞：网络舆论关注能否促进企业技术创新——基于沪深上市公司的实证研究,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938503&idx=1&sn=37464d0375bb8a5230f57da89aa955e0&chksm=8c272eebbb50a7fd6defccfae066b0f657b1d28add93d176bb7c2d8a0d5916f0af4daed735d9#rd
10,《山东社会科学》杂志社2022年公开招聘工作人员简章,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938503&idx=2&sn=1961fabf55602f77f928711515d87ec6&chksm=8c272eebbb50a7fdd7df5ba73edf13f59933fadb11093b2bc7813033426738cecde69afe1730#rd
11,张宏、彭恂：海外园区的建立是否促进了中国在东道国的OFDI？,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938483&idx=1&sn=a8a9aa855d6074c583addf490eabaa81&chksm=8c272e1fbb50a709eef97728f95a17f04e052540e435223ead6c591475137d79b79a4c49571c#rd
12,《山东社会科学》杂志社2022年公开招聘工作人员简章,http://mp.weixin.qq.com/s?__biz=MzIyMDA3MTY4Mw==&mid=2650938483&idx=2&sn=bcf929fbf8059beccaf5915275e05d53&chksm=8c272e1fbb50a70908ca324ac31132b519aede0e3df21dedcb3b166ee82daf5fefd737d4442e#rd
