,title,link
0,"防疫新政“20条”背后, 警惕一种新型“分锅”自保术弥漫基层 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351303&idx=1&sn=dbfcd57e93923dbbd265b44c77582fc8&chksm=8b542cb6bc23a5a0c40f9b852c32894abb855fa4ed9a0f1863b37678f9a5186dd02233506e17#rd
1,深度理解当今政策的一种方式 | 双十一开启阅读计划,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351303&idx=2&sn=832d6005aa72763c95203b18674782a7&chksm=8b542cb6bc23a5a088f03cde595e8c18bd27e0875784c6922d35f409dfed83c402c08464fc2b#rd
2,"这两年被全网群嘲的“高认知穷人”, 真是因为认知出了问题吗? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351294&idx=1&sn=33acd5ea8b603b3c26c13e516074da17&chksm=8b542ccfbc23a5d93ccc23683834f63f838044babc8281a8378d34edd585d6b3b6867b8f0ba9#rd
3,焦躁时代的逆行者，在这个双十一把书架填满,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351294&idx=2&sn=f806bbf7d612c2299d322bd78b405d7b&chksm=8b542ccfbc23a5d915aad5423a3fadc52a6873cfabd99fdffd1c485dcb65cf04cee9f5ae61a9#rd
4,"乌克兰突然“强制国有化”, 中国航空的软肋正遭遇重击? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=1&sn=35defe2dfc12a3a9a3d64642b11c2a0f&chksm=8b542cefbc23a5f99c2b5ed3d88437d49930cdee399adabab14f30dc834a4d62c94e6015cc49#rd
5,中信银行：以有温度的普惠金融服务，支持小微企业高质量发展,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=2&sn=9e3540c8b8531d363403c956b9f8c198&chksm=8b542cefbc23a5f9d7e8eb9bfd8ea0f80f68d135054b7a3f925edb9245f77b70b23269c84bb6#rd
6,最后半小时 | 2023年特惠团购全年仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=3&sn=2f07d4fa5d391eb100889dc4e29464fa&chksm=8b542cefbc23a5f948e6f4653f8aa1cfeb208ff86908764732cf6923f4ff0726ad7f9b73213b#rd
7,"韩少功: 折腾百年的中西体用之争, 像是关公战秦琼 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351235&idx=1&sn=fdddf823ccfdfcc2d5d48e28a2adab98&chksm=8b542cf2bc23a5e43d85e762db16cc1380e0b35ecbace6c695aecd47ca1b48f6cce5aff8dbc8#rd
8,最后1天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351235&idx=2&sn=ae01debddbc5dba1758eb8533b4251e2&chksm=8b542cf2bc23a5e45870fcb0b95b7a4b95db474f72d6cead2a08e07c382a4579638101ec29d9#rd
9,苹果借郑州富士康转移矛盾? 更深层的矛盾反倒裸露了出来 | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351233&idx=1&sn=7eed710c1eab71db69c8deaa4612c9ac&chksm=8b542cf0bc23a5e6cb5454a086f31110cf5ee353d316bd19984b6dd7d69370084a97bb7c8e10#rd
10,最后2天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351233&idx=2&sn=4c1ea4f8fe3ca8b60024605fd9e9697c&chksm=8b542cf0bc23a5e6e3384d8a27928be361137f8a5da4831ae54a4b126f55f93e3ab1486c2cde#rd
11,"贺雪峰: 当前迫切要纠正的问题, 是中西部县城盲目扩张恶性竞争 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351208&idx=1&sn=488ae0617462969315ac0906ae43983b&chksm=8b542f19bc23a60fe8e02435082c3dac3e7756b6ad9755b09f34ba999ee2eb60929ce96ecabf#rd
12,最后3天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351208&idx=2&sn=f80a219f62d499f7586898d8360a738d&chksm=8b542f19bc23a60f4ce4c647011fc1ceb21c3d1243bc05134a2247fbe1f1087cfaf435e41def#rd
13,"“鄂尔多斯通告”火了, 背后最需救助的4个群体不能再耽误了 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351198&idx=1&sn=fa70a81a9635b5f67e6d18b86e5ce108&chksm=8b542f2fbc23a639e3df2ab999f86d44bc777cd4edb8fa399bc781d4d74e668aea282028d114#rd
14,顶层设计政策频出，金融机构加紧完善个人养老金融服务,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351198&idx=2&sn=b4bc53c71106859a98a7e7fcf821b270&chksm=8b542f2fbc23a6396b638291877b0c0264f7b34754489f04fde7c8d291c66cda866f09a54a38#rd
15,最后4天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351198&idx=3&sn=77237a5ef090a5a4ca61bab105504a59&chksm=8b542f2fbc23a639d6c20c6b9ff50572989bf895c22e3e5cdda79aa071a2314ed78ee528ed07#rd
16,"近期两大离谱传言, 为什么有那么多人相信? 一个典型案例的启示 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351168&idx=1&sn=aa68b264e6612cf36b5850743cdf2101&chksm=8b542f31bc23a627ba35aaa476252739574ecbb512e172795590680c8a953dbd80bf71c0903b#rd
17,直播预告 | “时代变局中的法治与治理”学术论坛暨第十一届“法权秩序与中国道路”研讨会议程,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351168&idx=2&sn=0cc079af516e98b673ca076bbc4ae8df&chksm=8b542f31bc23a627868225eaaac9c6de7189caac91eaea9d8c38a2a324ee6267caa6543502bd#rd
18,最后5天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351168&idx=3&sn=ea54d529885c9800424eae7d84e67caa&chksm=8b542f31bc23a62728ad196fa4d1e457f41432886ac46e9e53c9267bc95951d76558752be5b6#rd
19,郑州之变另一面: 为什么必须从战略高度保卫中国供应链?| 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351106&idx=1&sn=7eb6e2c3cc0315847c52ae617b74741f&chksm=8b542f73bc23a665c68c057e0248c72d6535fbb9a4f70cc370f946febd422837f0dc7100af4f#rd
20,最后6天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351106&idx=2&sn=7cb989320ec63125c8599fe76f4b889e&chksm=8b542f73bc23a665666e229fcb6f87e64ac6a8be303f1df3bcf7cd0bd063e4cf35736f90920b#rd
21,"拉美左翼“再下一城”之际, 如何理解对美国霸权的依附与反抗 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351101&idx=1&sn=f7932dda36371670afb8e0585fffb269&chksm=8b542f8cbc23a69a66e2288884ae9f3caef500f007cab4c342dbf6e9324d38323356ad15883b#rd
22,最后7天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351101&idx=2&sn=46c6b60da89350ff36b198940b3c8ab5&chksm=8b542f8cbc23a69a33662e53215c010e06a261f66fe046e5b7ec1ccff8a9affe35c451693da7#rd
23,郑永年: 中国大学的校庆为何成了对知识的一次次羞辱？| 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351100&idx=1&sn=d1a8fc2f21208423da2faa6061b0d5bc&chksm=8b542f8dbc23a69bd7f708791f8e8c4754db3046336cc664ea4e81f193760e0f6d41b0ce4ba8#rd
24,最后8天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351100&idx=2&sn=da966428932d851ccc0335d493ff0cf3&chksm=8b542f8dbc23a69b0a46f87f66b0c66d93c924b1291f36468bb6a2141fc98e478889fbeafb35#rd
25,"440亿收编推特, 马斯克的潜台词很多人都没听懂? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351044&idx=1&sn=66b4d639e560ecb161254862f6b0dab1&chksm=8b542fb5bc23a6a3903ebffb2262b6a432ebc18ac9ac0133f94b3fde799abbb34bd2b0f9f29a#rd
26,最后9天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351044&idx=2&sn=e8691a46e8243599ede29862c8c2ab9e&chksm=8b542fb5bc23a6a3c36c8bffb49919c07a5a530106fba755eaf79059d68b207cd91f32353ed2#rd
27,"韩国特大踩踏事故背后, 还有一个无可回避的紧迫问题 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351039&idx=1&sn=da24a7e739557195212483bac86183d1&chksm=8b542fcebc23a6d83b3c9533afe60623321b36c79b1993de484402f3d7bab980b1036f5d57fe#rd
28,最后10天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351039&idx=2&sn=4d39e18141c705029a1810de26e24c54&chksm=8b542fcebc23a6d8db8445cecc13990389580485e1a307673d693fc65da9794786054bf11d59#rd
29,溃于蚁穴：战时新兴工业强国的初级产品之困 | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351032&idx=1&sn=6045909dd954688de8cfa52b0f6826d5&chksm=8b542fc9bc23a6df5f7ac20aa06da99d2f10c48272394e61f23ca292bdbe10577ef2f45cdc88#rd
30,最后10天 | 2023全年仅此一次的超值团购,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351032&idx=2&sn=b820328f9b6f4ca394049913253a9d86&chksm=8b542fc9bc23a6dfda9f6f9df7856740da63e214413989ed5afff10a4bffb2c8f7572e2b70a5#rd
31,"最后11天 | 文化纵横2023年超值团购, 全年仅此一次",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351030&idx=2&sn=43a87359fbee03a4298ebe50629d32a0&chksm=8b542fc7bc23a6d18bcb0763d832a94d64bd15d583a555d18942a4b463706ece31f3cf3b3d57#rd
32,实力对比的误判: 100年前的案例告诉我们什么? | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351028&idx=1&sn=0771f995813e6bac13c943e25071704b&chksm=8b542fc5bc23a6d345d73ed92ef35f17a06734102ca7e20a4435d30692d19985abc794daa7af#rd
33,最后11天 | 2023全年仅此一次的超值团购,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351028&idx=2&sn=322819f01b2df728ce83a4afb55840a6&chksm=8b542fc5bc23a6d314cd3b10a85db34304c8aa9cd6ec6b0578b34140e5e4746e730c2543a89b#rd
