,title,link
0,《求索》2022年第5期目录,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488685&idx=1&sn=837cc0c64fc2b24be916df96a25974ee&chksm=97c7bc13a0b03505bef64251b65afe426dc344c35429dd3431402bf109e5d14e7572fa355c7c#rd
1,《求索》严正声明：请务必警惕假冒投稿网站！,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488645&idx=1&sn=d87be567d1835ae2636b3041dd0d3e37&chksm=97c7bc3ba0b0352d0f77482e4fdda5ae56bd37567df91cd3b8d7bec659d5966b852039672ea0#rd
2,许安明丨大数据与文化产业融合发展：内涵、机理与路径,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488620&idx=1&sn=685fcc3dd40864496bb96496151efaf0&chksm=97c7bcd2a0b035c4dc9865a3550fb25cf6070ec9833edd1ccf6b76efe1b7bde2b3ed475b0d4c#rd
3,田毅鹏丨新内生发展视域下乡镇教育的县域发展联动效应——以皖西M镇为例,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488598&idx=1&sn=6596e23bf399ca477b9c55048677d504&chksm=97c7bce8a0b035fe7ef9388f0ddd77a6b43a74c55a6655f18810239b8ee479c9a7007c08312f#rd
4,吴越菲丨内生还是外生：农村社会的“发展二元论”及其破解,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488598&idx=2&sn=e0745a2da5a250a49d077273e40e94e0&chksm=97c7bce8a0b035fe32bb10717ffc9387029c9c6b915753a4ca2a39fe6769c98271cdd82e82cd#rd
5,周嘉昕丨从历史自信到理论自觉——党史学习教育的哲学方法论启示,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488598&idx=4&sn=68dbc695e9a078b8b3015885f5681cd3&chksm=97c7bce8a0b035fe19c4790dac82840122e64654af20bc72ea77253c867bce919e8d790b6e40#rd
6,董志强丨平台灵工经济：性质与挑战,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488495&idx=1&sn=675761a7cab293451d70277edebc4c52&chksm=97c7bb51a0b03247ac81c048d73fdaf954506e5f51dcdee14e6dcec3718dba9a8bf006273bcb#rd
7,张康之丨风险社会以及对差异的承认和包容,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488442&idx=1&sn=528e56a362ac4684050caf3b5dfbb9eb&chksm=97c7bb04a0b0321235e18b0368e39c88525833f10810027d1b92b115c10e51e5bc17298be457#rd
8,林盼丨从“单位制”到企业史：国营企业发展史研究的视角转换,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488442&idx=2&sn=52d6af113aedf9e830121963d3f03bd0&chksm=97c7bb04a0b03212b28ff4d91d58e6a7fcf8200996844246e114c1d036becefee43c9e897a15#rd
9,肖峰丨脑机接口与认识主体新进化,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488399&idx=1&sn=fb46ba9b44177f82afdbf57fbf55e590&chksm=97c7bb31a0b03227fefa7e1789668966870c8d55ab1538d38b4b1e6226657c870bfc1fe001fb#rd
10,谭勇丨马克思主义视域下索恩-雷特尔 “历史唯物主义” 发生学起源的审视与反思,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488399&idx=2&sn=93b99cc5739d33d228b4f317a55bdd26&chksm=97c7bb31a0b03227b30a3d90956406e0331162937178db65bd29f103a59dd0062c105a0cfb99#rd
11,王岩丨当代中国政治哲学：基本特点、研究图式和话语要素,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488315&idx=1&sn=d418790281e7a02075100f59dddce6db&chksm=97c7bb85a0b03293452fbe582bafb57d673c59d7b5526520d97c8433f0701e7b66e720e27ef2#rd
12,金碚丨全国统一大市场中的市场主体行为,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488315&idx=2&sn=da8ce07c26a8f3020a7bf16f762ea574&chksm=97c7bb85a0b03293388e52d6d74cf1bf5727ae2ff6e55495b3162517df2b243ec59896d3011d#rd
13,《求索》2022年第4期目录,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488263&idx=1&sn=f949640363fcac1d963c477612f87809&chksm=97c7bbb9a0b032af69dbbf008da99a3924679fd4f0420afd99494a9aaa872d012475b52761a1#rd
14,张红宇丨中国特色城镇化道路的路径探索——由土地制度创新引发的宏观效应,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488253&idx=1&sn=1f7cb666e901a08c7efb96bd0a14cab0&chksm=97c7ba43a0b033554b95dc214a48986746c54dfdca3a5825027e9ce6a2aac76f79c528c656d0#rd
15,李国强丨权利主体规范逻辑中的农民集体、农村集体经济组织,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488253&idx=2&sn=b4b770efa43ef4563cd56cb92a927763&chksm=97c7ba43a0b033550548a11b4115f39fa73f3117dc35ac883d5c881884609916450a4b901eef#rd
16,郭亮丨旅游资本影响下的基层治理：冲突与应对——基于K市S镇的调研,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488219&idx=1&sn=4f489f1db0d2f471a86dee1467c24ac6&chksm=97c7ba65a0b033735adb73dda6845837d09c119c885efb886908b88cd60fea4f0d5c4b25a070#rd
17,朱汉民丨胡宏道学体用论的双重意义,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488168&idx=1&sn=4c84eb3535051d2ec9e389ffa1748163&chksm=97c7ba16a0b03300d7ca40d164a7891f8aed965dc851d974c3cc3b8be17ee5e49ed57fbb1d6d#rd
18,杨爱华丨元宇宙构建之基——基于哲学、技术、社会三维视角的分析,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488168&idx=2&sn=21b942d7f5611c035a995a26aa4e6fe8&chksm=97c7ba16a0b033004be5c1a4294b43e30e494e76f24389ddd9b16f756d46bd0eafc5ebfcdf8b#rd
19,徐强丨“人设”：新现代性的自我生成及其未来走向,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488168&idx=3&sn=78be3cd7330a6c005868169b639de117&chksm=97c7ba16a0b033007271ba7278cc4a5047ca438ab55e6baeadf87b0f589be50049831c1cc6e8#rd
20,金永兵丨文艺评论的范式创新与文艺高峰的时代生成,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488094&idx=1&sn=d5fc8e5e80511a494e0d9e8304ba4fb5&chksm=97c7bae0a0b033f68062f32238d638759397667b91d21d567a77085fb1bb8cb1d0ae320b7278#rd
21,赵朝峰丨历史自信：产生源泉、价值旨归和实践要求,http://mp.weixin.qq.com/s?__biz=MzIyMDc3NDg2NQ==&mid=2247488072&idx=1&sn=ff59c6fdfb5d78f7d7b19850d5656633&chksm=97c7baf6a0b033e0287c3c8c664ca0d47e84c69c591c10d1c14c509bceccc8e6ee4230e60dd1#rd
