,title,link
0,2022年第6期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247518042&idx=1&sn=968a4b4295cec45850293b5e69c56e46&chksm=ebbcc2dddccb4bcbd01879031c19739fbf2d8cd2565bb1ae51662c4bc62db456168f905f429e#rd
1,江弱水 | 论《野草》的自我与叙事及失语,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247518030&idx=1&sn=59c0298090d116bec08529cf9c9bb2ba&chksm=ebbcc2c9dccb4bdf4a0c81df24f0a86c0c6f1b2889cea20c46d6b2dfed8f80a06731694df158#rd
2,孙琳 | 潘诺夫斯基艺术史叙事的时空体系,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247518029&idx=1&sn=e6b35c3cbfdb4174d3558303af061cdc&chksm=ebbcc2cadccb4bdcd112b2db40a4ebd0fe4e3b3e694cf986113749ad978e0d160dd3ca5749cb#rd
3,庄国瑞 | 今世前身:诗人的自我实现与心理暗示,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247517485&idx=1&sn=b21750197835937d2ea72c5fe9204498&chksm=ebbcc0aadccb49bc7d3c7dc09253934d9d3a1ddbbcd8dcbed500af0124dfb5c967cf58b7ac99#rd
4,《浙江学刊》更改投稿方式启事,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247517419&idx=1&sn=1006c635cd21f1353ed1d2cb1ac93c1b&chksm=ebbcc16cdccb487a5b004bac55306b8a38060f8b6324dbf960fb5bd65f35717f6632c7367600#rd
5,吴猛 | 今日如何重读《资本论》？——读比岱《如何对待<资本论>》,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247517149&idx=1&sn=5243678e574d8bb0e127a56fce17913e&chksm=ebbcc65adccb4f4c7eac81a1ab2f20a0accd1dfc2a2fe1989d94ee9617ccd69d4b7bf7430305#rd
6,张兆曙 | 参与困境、场景升级与数字乡村的全景治理——对湖州市“数字乡村一张图”治理平台的案例研究,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247517148&idx=1&sn=ed023c4c8944f95a3aa29f5af08b9e2b&chksm=ebbcc65bdccb4f4dd3f19702278c4c2db16e3b814e35a77e6e13e46ede7ebefd3e4fb147aab3#rd
7,何大安、吴振宇 | 创新模式转换与赶超路径选择——基于技术-产品生命周期视角的理论分析,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247517147&idx=1&sn=9924805cce1d378dcf0b865a21edc72f&chksm=ebbcc65cdccb4f4aad81cb32e88ddf39a00d2819a8fe45d4195c61e44219d8baba5811b05beb#rd
8,李海青 | “马克思主义中国化新的飞跃”的理论逻辑与实践基础,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247517109&idx=1&sn=fe59bf605f480cee3e02ac4dfe8bc092&chksm=ebbcc632dccb4f247e76e737e7cd96f75a36cb3e91de9089aff54604126138c86e736d86ee57#rd
9,张现洪 | 革命、改革与现代再造：村社集体变迁的历史逻辑,http://mp.weixin.qq.com/s?__biz=MzI4MDA3MzQ0OA==&mid=2247516603&idx=1&sn=d08b0d3da41ebe446774152c09c438ef&chksm=ebbcc43cdccb4d2abf8ff4200cde0f38ed4297e8749f2782b5ec7d1c702e88e3baadbe3af81e#rd
