,title,link
0,李芳，于丽娜：党的十八大以来中国法治现代化的基本经验,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483864&idx=1&sn=235edb3a3ba99d68d8673d576f791081&chksm=ce7321c7f904a8d189b706bd9b6eafced6dd4caca3cc4457325e986b4e5c0effe9575866fb1e#rd
1,刘智勇，雷明全：人才激励视角下我国个税改革的思考,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483850&idx=1&sn=4d80b155fdb140b5b49f592cdf883b1b&chksm=ce7321d5f904a8c31a7218218159d6ffff9f733a6f0cd4eba683b38bf36c39d1ba07b7197caa#rd
2,曾世宏，高晨：区块链技术创新条件下的产业高质量发展：机制、路径与对策,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483840&idx=1&sn=d2a0006eb1f054d5b16704f7b2bfeaac&chksm=ce7321dff904a8c9430e2a972cedb920167870d56461c75d9199a5fa8b6ba19c831fa1d22283#rd
3,包大为，陈珂：马克思和恩格斯的教育方法论革命,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483828&idx=1&sn=97ffc97dd78234a58e4bfc572d4da5d8&chksm=ce7321abf904a8bdac9deee4cf4bbf97538217049c98602c324a531a59d6a20fb29bb67d09c7#rd
4,周瑄，戴端：后现象学技术哲学视域下设计的认识论问题研究,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483818&idx=1&sn=cead19dc00f456477c1d88014a8db086&chksm=ce7321b5f904a8a3c301c4fe24c48c84bb5485f16cac5216050634097df7ba75f32fc4a3cefc#rd
5,郭红军，童晗：毛泽东政治哲学思想及其现实启示,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483809&idx=1&sn=42ba96e582380eb30eaecd29c40b49e4&chksm=ce7321bef904a8a896f83d4b2fd14612826c41dcb79ff60c55808c35510e4170a5f01a6fab3c#rd
6,何隆德：习近平总书记选人用人重要论述及其主要贡献,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483806&idx=1&sn=a2700ebebbb01e22e15a3e91720dc0b2&chksm=ce732181f904a8970a7871a17da977c1e13c1eb1cc0e0ec5577611ce9aa0ea867766e6a71689#rd
7,曹健华，钟晴伟：坚持把国家和民族发展放在自己力量的基点上,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483787&idx=1&sn=7c302433827ffd773b3da6e440d1b453&chksm=ce732194f904a8823caf64fa045df71cbb064c2865661d9904118003e976bea985239bc7fb6a#rd
8,曹健华，钟晴伟：坚持把国家和民族发展放在自己力量的基点上,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483786&idx=1&sn=f77d7d92b324ee1c7c5f564b05ec8d8a&chksm=ce732195f904a883074eeb3df9a48719a1ef7ec87a879a59933f556da2c782f31b56364a87b5#rd
9,尹少华：深入贯彻习近平生态文明思想加快建设美丽湖南,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483776&idx=1&sn=db96b592c6edbc14a3b9054f3dd8029c&chksm=ce73219ff904a889eeb0ac3dc87f221a5f5d48462a073540c42084490fab91a66b85f1d0bec6#rd
10,肖丽，肖蓉：新时代立德树人视域下高校学生资助育人工作创新路径研究,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483776&idx=2&sn=f9d9e640329a7b3a6b121b5daca931f0&chksm=ce73219ff904a889d54ccf0d3c72ee1f6847efccd1ba82f976c230f1ff474d9899dba2b24e0f#rd
11,胡长生：习近平总书记关于人与自然和谐共生重要论述的三重逻辑,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483749&idx=1&sn=d67e6d6599e7570ea1fb0cd469d6efc6&chksm=ce73217af904a86c7d6b36af0d4255d2390de5052cb12ef5ede61e309664ae7b90ccbfa2544e#rd
12,《湖南社会科学》2022年第5期目录,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483682&idx=1&sn=c7fcdd184631ccf85017c267fa6f73cd&chksm=ce73213df904a82b5c8a70e5cbb5addd4a2b13e60dd65e55b065cd8e8e730df995d7309b5617#rd
13,《湖南社会科学》“深入学习贯彻党的二十大精神”专栏征稿启事,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg0NDcyMA==&mid=2247483664&idx=1&sn=165c7f3d0f7ff2e806d8f1a0164d6c99&chksm=ce73210ff904a8192bfc55ec8a424556db6e1ae5632bff0ad804c3d0f746edaf74dec28b9924#rd
