,title,link
0,纪念 | 那个为《读书》画了十年的老人,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136812&idx=1&sn=aabdd5a6f0e8de290fafd1870470c1ad&chksm=845a8e59b32d074fddf148609b2b06c6c09effd3f72f15822abf46954625d97c9e1f03504f33#rd
1,《读书》新刊 | 汪晖：竦听荒鸡偏阒寂,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136778&idx=1&sn=92d4cd9ab2824f1c5683a109193cd5b8&chksm=845a8e7fb32d07692505ba8ca5cbcb06b0e00c5cd96701c9bebcc6abd39e407089da5f4b5051#rd
2,《读书》新刊 ︳泮伟江：谁是陌生人？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136774&idx=1&sn=1f453ee16bba4ff80111e252a78efe1d&chksm=845a8e73b32d07657fc7a971600d4db64cf2035fa0e33a328219d0baa3b7a072d252e0eebd6e#rd
3,读书与自学 | 陈平原：工诗未必非高僧——说寄禅的“痴诗”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136758&idx=1&sn=6b24acbd4b83a7efd41d88d68bbeae27&chksm=845a8e03b32d0715b8b54297b3325945ed480284a97404b5040451dd43b0b3d7a1352f38deee#rd
4,《读书》新刊 | 王小章：群氓是怎样炼成的？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136723&idx=1&sn=cae2ac405ffd7ca98586c694ee14ae80&chksm=845a8e26b32d073063b7dd3b74915c7df3c4e32135ae88447abd947389fd9608ec10ba649e1d#rd
5,《读书》首发 | 汪毅霖：奥运会的经济账,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136701&idx=1&sn=088f853ce55a78657a507a384fd53e50&chksm=845a8fc8b32d06def19d1a5ed8d0f285bcbf82217fc0e7a37e76916ec24aea3477abb20558d4#rd
6,读书与自学 | 陈乐民：读黄仁宇《中国——一部大历史》,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136688&idx=1&sn=590f7cc09d25268b0f4528f3f2662c14&chksm=845a8fc5b32d06d308d385ab35d9754aa1814b69675deee447fe7a74a3bc6871767cc46934ed#rd
7,《读书》首发 | 穆蕴秋 江晓原：科学出版乌托邦：从开放存取到掠夺性期刊（上）,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136671&idx=1&sn=9c8e610b99977801c7d58847e18d76bb&chksm=845a8feab32d06fcfa84edb951dc8a63ef2364b547009bf0c987e8b70de48c6a4650b4830473#rd
8,《读书》新刊：2018年第8期目录＋封面,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136650&idx=1&sn=12dc8b852332b879df3463752af91e00&chksm=845a8fffb32d06e9186a5ae3d2814e2e6d6de7e8f39afe3862824a10c3a2450f040aec4932e1#rd
9,《读书》首发 | 左亦鲁：两粒未发芽的种子：《邮报》与五角大楼文件案,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136649&idx=1&sn=6f6d958458c2534da98150872e271976&chksm=845a8ffcb32d06eab39ea51f3c4f1d7f06b555597eb9c4e9b1c8939d7c78f5a4abbffffcaf9f#rd
10,读书与自学 | 罗志田 葛小佳：近代中国的两个世界：一个内地乡绅眼中的世事变迁,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136629&idx=1&sn=bc65361e9a9ae08323b72ad634e4874a&chksm=845a8f80b32d0696e09fbb9db6cd744a7a1d3224c1d3edfc1222135a068f3788d644b55a374d#rd
11,《读书》新刊 | 朱靖江：旧日无常——方苏雅的晚清云南电影与市井生活,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136611&idx=1&sn=bd470f75a2dfed21a47c1b051cc2e51c&chksm=845a8f96b32d068092abcb394650435ad5c1efd4de99aa8136b5c6810b583f7c4955f6f195d4#rd
12,《读书》新刊 | 王维佳：网络与霸权：信息通讯的地缘政治学,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136596&idx=1&sn=3ae61318594f42eab6a10c444c0bbd0b&chksm=845a8fa1b32d06b7353e91dd4a550573248bacc87bf93e8e9d30816e095d6e91c7c86348dbf2#rd
13,读书与自学 | 金克木：美术三疑问,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136581&idx=1&sn=2531033a7199d4d6495ac36184fd4e95&chksm=845a8fb0b32d06a6b71623b7ba3089c4d8a038e675297def6e6681d98c9889fcc97213993c21#rd
14,夏日炎炎，花事最为清雅,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136581&idx=2&sn=12682c718812e6937dd1b746f0d4591f&chksm=845a8fb0b32d06a6eaeb4999fc4b6476c009315900621d7d2f44f212e78d98268a33dfd3bf07#rd
15,《读书》新刊 | 傅刚：正本清源——《玉台新咏》的编纂和刊刻,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136561&idx=1&sn=58b7728f4d82409529fdacfa80d3a4b8&chksm=845a8f44b32d065248115b0933af9c5c09f34b9e9bfb3de2f68333aae3006d7706d7e0d192b7#rd
16,《读书》新刊 | 陈晋：走出人类学的自恋,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136548&idx=1&sn=437fa074edb541cda890686925844f62&chksm=845a8f51b32d0647ef2f45a96ac245bfdc73905a20f1fe27b996fde96806def5cd116a02a374#rd
17,读书与自学 | 陆建德：雪莱的大空之爱,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136530&idx=1&sn=737e01bd4729ef9ccaa02e554496819f&chksm=845a8f67b32d06716ce594fe7632057ba4e50f59b0f2c5ccb47824107e42b676ae0a5606e0a9#rd
18,书讯 | 2017年《读书》合订本上架,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136516&idx=1&sn=d67b7d202e4de3b2f447706804c1b7c9&chksm=845a8f71b32d0667f9798728e175838a2944434e17509352ace66fd56f42c3804091120606e9#rd
19,《读书》新刊 | 王钦：责任的绝境,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136515&idx=1&sn=c1084e8fa8182ea4356eec7be6d6b465&chksm=845a8f76b32d0660ec7ff9a60b16c785d19758387e2797ab2022208967439280fd593122df4a#rd
20,《读书》新刊 | 徐进：“南北”与“猜嫌”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136503&idx=1&sn=758c72b2af1c81c031cb0bc0f7adc392&chksm=845a8f02b32d0614362853c12d77701bfb3dda3a03f1733a95d85c041fa4d32c8eb7e708d672#rd
21,读书与自学 | 周振鹤：问策与对策,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136470&idx=1&sn=024b344f2669a93c8c9d8fbcee41d2f6&chksm=845a8f23b32d0635afad934acac0b7a2f06991a8888c9d1108a70c13d829389c8d51b9fb2a5a#rd
22,书讯 | “读书文丛”精选八种,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136457&idx=1&sn=fbe138bf94d0df057b617ec126dbb056&chksm=845a8f3cb32d062ae9ca4952651d85501e9c46a972cb34ebef6e360a4a09c1dc5f7db236e611#rd
