,title,link
0,《青海社会科学》“研究阐释党的二十大精神”专栏征稿启事,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483786&idx=1&sn=2ad1bb4cd85e804d93fce4c6ce745e75&chksm=9bc4caf4acb343e2495c7d5ce0cce119f7edbb4a25825a0bb41b19d76a16aa3b3cfaf9449008#rd
1,2022年第2期,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483777&idx=1&sn=fe2a1f13201c98b603dcb810c5abf2bf&chksm=9bc4caffacb343e943d94cb4f931705b8448b0697b326e41ea78f5505408281428ed7c3f0d87#rd
2,《青海社会科学》2022年重点选题方向与启事,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483772&idx=1&sn=d6415baf9929077e49d1b91b12687df2&chksm=9bc4ca02acb34314a48382d949d12a14a22f7689122784f549fb6c9b73194d4bd9334390c8d1#rd
3,2022年第1期目录,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483764&idx=1&sn=59cb564f0b330ded7a0ad2e5937eeac9&chksm=9bc4ca0aacb3431c688e5b455fe49359234fb59143ab04dde3601fcdb4725e09078ce4ddcba3#rd
4,2021年第6期目录,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483759&idx=1&sn=71cfe2a85e53f23a9460dad06d6dae19&chksm=9bc4ca11acb34307aca9650ec3e8ba98ba697355141683010cbf6c3ccccebd68ab2c05764ce6#rd
5,2021年第4期,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483754&idx=1&sn=4dbb01bc7a996b445056859ebdd6cbf2&chksm=9bc4ca14acb343025b0d41d142ca36e7514da12a8adac4bff9f16e9dabff5fa13f6d25251c13#rd
6,2021年第3期,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483749&idx=1&sn=5d248f00a6c63f77caae9fc9b445129a&chksm=9bc4ca1bacb3430d5fb340e089c5202d9e2fcc000c5d5f01571d5c6d693a36465906eb5b3a7d#rd
7,2021年第2期,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483744&idx=1&sn=de5f961d29d28c2849a1a5e8b79d7eb5&chksm=9bc4ca1eacb3430818cf779f6c136226684cc9d41ea88af7bb6399edec81145218ec0a750c14#rd
8,2021年第1期目录,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483738&idx=1&sn=c4f164bd25e93b9d6871ccaad5659ff4&chksm=9bc4ca24acb3433251b136b6c267cc3c76411e15619e8bda1b8acc02de3f1ad981dfe0b043f0#rd
9,2020年第6期目录,http://mp.weixin.qq.com/s?__biz=MzAxOTUzNzQyNQ==&mid=2247483729&idx=1&sn=13ac027cfef319e04293aac99b3fbb6a&chksm=9bc4ca2facb34339cfdc7e5da7cc04816744811308b4b266251894df761e0126f715a638d959#rd
