index,title,link,date,have_chaolianjie,have_cankaolaiyuan,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,content_num,contents,contents_countries,content_provinces,post_index,have_newmedia,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,2022年第10期目录,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489080&idx=1&sn=c7ca021acde90a31c9c2268620907fd7&chksm=97ea0acca09d83da1a776ce1155f939dcec523cdd12b4ee4d1bdc8027f2fe3df0a3801418ace#rd,2022-10-26,0.0,,1.0,0.0,2882.0,3.0,9.0,,,,,1,1.0,,,,
1,杨雅妮 | 刑事附带民事公益诉讼案件范围之界定,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489072&idx=1&sn=b41d9dda414e18ff1a89a33d559c908e&chksm=97ea0ac4a09d83d27bdd0d0f35ebe7392dfd226995e3946d57de29b08602709af252d1932949#rd,2022-10-24,0.0,,1.0,0.0,152.0,0.0,2.0,,,,,1,1.0,,,,
2,武辉芳 谷永超 | 我国零工劳动者权益保护的困境与出路,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489072&idx=2&sn=05708ad03079f79abd37155b6686e8f1&chksm=97ea0ac4a09d83d205e8646e41ad6bf492335add891650832cde6cdff77f2416db76def6f373#rd,2022-10-24,0.0,,1.0,0.0,102.0,0.0,0.0,,,,,2,1.0,,,,
3,梁土坤 | 制度适应对进城务工青年社会融入的影响机制,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489072&idx=3&sn=1c716776ab1d80b211c28591924c8c86&chksm=97ea0ac4a09d83d2a5d46f078dac8a167961818e52550f50a14dee19bf3de417a61d89121b14#rd,2022-10-24,0.0,,1.0,0.0,173.0,0.0,0.0,,,,,3,1.0,,,,
4,叶锦涛 汪立坤 | 重点大学教育机会获得的性别差异,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489072&idx=4&sn=c0e7c0f2165270ce23b26060ef35a807&chksm=97ea0ac4a09d83d2cf1e2fb344c336857f5ec0e6574c3628e9c29e297f89c89f13680a79085d#rd,2022-10-24,0.0,,1.0,0.0,75.0,0.0,0.0,,,,,4,1.0,,,,
5,朱政德 胡  泳 | 论环境智能的传播模式及其对公民身份的影响,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489072&idx=5&sn=769b738aa5585b58c6b1c4659807face&chksm=97ea0ac4a09d83d24fdf0c43c6099f0c0a50ae1f8ebb0bee7967692917e21d4d12ece3136dfc#rd,2022-10-24,0.0,,1.0,0.0,39.0,0.0,1.0,,,,,5,1.0,,,,
6,聂长久 | 全球性医学民粹主义的兴起、影响与应对,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489060&idx=1&sn=a5bae493746b70c01542fd4137800e34&chksm=97ea0ad0a09d83c64de3a5714bda239c458e29a5b9d576f834843ad6dca3032eb98187fa37e2#rd,2022-10-21,0.0,,1.0,0.0,186.0,0.0,3.0,,,,,1,1.0,,,,
7,吴  鹏 | 论唯物史观对启蒙历史哲学的双重超越——以“绝对”与“相对”为坐标,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489060&idx=2&sn=251dec3a38144452b319042a070c2b58&chksm=97ea0ad0a09d83c6e38c85922d35feff8fd68bf73701281b3719cdf52c032cd626a48692c04c#rd,2022-10-21,0.0,,1.0,0.0,153.0,2.0,2.0,,,,,2,1.0,,,,
8,张  勃 | 北京中轴线概念的提出及意义,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489060&idx=3&sn=40f748114b38f102febfc0eec46ce9e9&chksm=97ea0ad0a09d83c641a530615247aaa15a1c4ea54f00c8b69ab8b1ba7a56d57ed2ab3ffeb390#rd,2022-10-21,0.0,,1.0,0.0,69.0,0.0,0.0,,,,,3,1.0,,,,
9,蔡晓璐 | 文化基因视域下北京中轴线的文化内涵与当代价值,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489060&idx=4&sn=e0eea83d5100bbc97e62f73b449bda9c&chksm=97ea0ad0a09d83c698ab6406e73baeea26c0f22b20cfeadb7287f40198f68ebb2d3254e8f0b4#rd,2022-10-21,0.0,,1.0,0.0,49.0,0.0,1.0,,,,,4,1.0,,,,
10,赵  杨 | 北京市机构养老供给现状及环京布局,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489060&idx=5&sn=5c46148d3922ce649423ba5769caf2a7&chksm=97ea0ad0a09d83c6f7b4604caff63f938ac429682110eff9b5f573f45b61dec4d50098f7f585#rd,2022-10-21,0.0,,1.0,0.0,46.0,0.0,0.0,,,,,5,1.0,,,,
11,田  泥 | 新浪潮电影的本土化实践——以严浩《似水流年》为例,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489060&idx=6&sn=58bbe02280f056707341bd01602fc658&chksm=97ea0ad0a09d83c6dfcd789b3fc0aeb60218b2bc362876bbad0694a1ddf86722a77797f7a7b3#rd,2022-10-21,0.0,,1.0,0.0,51.0,0.0,0.0,,,,,6,1.0,,,,
12,钱国旗  刘  坤 | 从明清家训家规看儒家伦理的日常生活指向,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489060&idx=7&sn=adf6a45e7eaa5f8fc6ef1a906e541441&chksm=97ea0ad0a09d83c601e1c50115069c280690b822a3a5b931dd1b946228e82d2fec0328a2cb31#rd,2022-10-21,0.0,,1.0,0.0,284.0,2.0,6.0,,,,,7,1.0,,,,
13,2022年第9期目录,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489043&idx=1&sn=f6dd7a288ebf49c705f405aa557a2f5a&chksm=97ea0ae7a09d83f1ab3acef0007e6d7cccb4678be61b9e0ed4fec44b10b8a82ed28cd3e4cf42#rd,2022-9-28,0.0,,1.0,0.0,3309.0,2.0,7.0,,,,,1,1.0,,,,
14,王治 黄文敏 | 国有资本投资运营公司试点的价值,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489035&idx=1&sn=64ac2340351ba455c9969d1d493908d1&chksm=97ea0affa09d83e954cf921ac45ad5eb0350945afafd853a41e8ae9c5b079129d9d7245bea90#rd,2022-9-21,0.0,,1.0,0.0,128.0,0.0,0.0,,,,,1,1.0,,,,
15,王斌 王秀芝 | 传统文化对官员精神内核形成的影响——基于经济学方法的检验,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489035&idx=2&sn=f6fc257ed6f94d793c70544bc9839530&chksm=97ea0affa09d83e9d764ebfd58e8785e08f36b422101d6ec4a9bac86def49ba48f395d960549#rd,2022-9-21,0.0,,1.0,0.0,225.0,0.0,2.0,,,,,2,1.0,,,,
16,郭沛沛 | 对短视频内容、形式及意义的再思考,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489035&idx=3&sn=f7ef3cd319c9b1a460e3a254a0ce433f&chksm=97ea0affa09d83e9fd1cd1dee2ad8fa61a2be683417890b5337b8f59c6bfd0af246c80cb9804#rd,2022-9-21,0.0,,1.0,0.0,148.0,0.0,0.0,,,,,3,1.0,,,,
17,元伟 | 乾嘉笔记的撰述话语及其意义指向,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489020&idx=1&sn=7c9f158757ce9a339798cd0fada4ba53&chksm=97ea0908a09d801ef3f84548d5063c8ed5c4fb67310801b3850d295d4805d11f7d3c34d15533#rd,2022-9-19,0.0,,1.0,0.0,384.0,1.0,3.0,,,,,1,1.0,,,,
18,陈鹏 | 当代精神生产的社会前提及其功能升级,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489020&idx=2&sn=c734ad312d0ed54058270724b84a1539&chksm=97ea0908a09d801ec0a1e97a47e5879ce56ada5c87862e56f8bbef5da6514e17d547ffa4e907#rd,2022-9-19,0.0,,1.0,0.0,291.0,0.0,1.0,,,,,2,1.0,,,,
19,王竹青 | 成年人监护制度的多元理论与制度完善,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489020&idx=3&sn=029e98f7be7abf9998952fc72a2eea3f&chksm=97ea0908a09d801e365103be9cd8e55144eefc9f81d004ed1d6cb458972e1fc5ef70a0c949fe#rd,2022-9-19,0.0,,1.0,0.0,75.0,0.0,0.0,,,,,3,1.0,,,,
20,翟俊义 宋四辈 | 传统中国司法裁判中的情理——以“安崇绪之狱”为例,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489020&idx=4&sn=f33854e3c7bcf4ef4a1ce9be6f70e61a&chksm=97ea0908a09d801ee083e64d8e06a084bcb5a3b8ea6a69642f5d99a368f69fde6f524acf9414#rd,2022-9-19,0.0,,1.0,0.0,315.0,4.0,6.0,,,,,4,1.0,,,,
21,严孟帅 | 符号互动理论对教育戏剧育人的作用,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489020&idx=5&sn=1a8661d2f799d1279d7f3f56de377c05&chksm=97ea0908a09d801e2a14730550a041aee1ac4eeb6cf5b185cbefa15f496f687c3e1b22baeb0a#rd,2022-9-19,0.0,,1.0,0.0,359.0,0.0,12.0,,,,,5,1.0,,,,
22,竟辉 | 中国共产党百年奋斗史的文化基因,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489020&idx=6&sn=48c3eedfd201fbb2a6be4eb5f27c3b31&chksm=97ea0908a09d801e0f5a25e2549744cb6a1b9b5bf9955fa4d23db6b231be3b526baa1a691ec6#rd,2022-9-19,0.0,,1.0,0.0,103.0,1.0,1.0,,,,,6,1.0,,,,
23,征稿启事,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489005&idx=1&sn=88bf1cadd2ae41a6a03a3072347d2011&chksm=97ea0919a09d800f1471869e45a013bad8b4ba02a7538d9a800c948cc65c3ad89701b17ffa10#rd,2022-9-14,0.0,,1.0,0.0,2277.0,0.0,3.0,,,,,1,1.0,,,,
24,柯文进 | 首都发展的阶段演进及内涵特征,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489003&idx=1&sn=e6a2d6765009f3f4490270de46793ab6&chksm=97ea091fa09d8009306325cc62100e4801bceb60508d5772bee92007456ebfbd2cc33ee38261#rd,2022-9-9,0.0,,1.0,0.0,174.0,0.0,0.0,,,,,1,1.0,,,,
25,安树伟 | 北京高质量发展的内涵与路径,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489003&idx=2&sn=e30b039300a08baa77d8b03f9fc36c9c&chksm=97ea091fa09d800918d9fcf5e3dd6714e0fd76a2e081fd996058b10e4e419a7fdd297225a064#rd,2022-9-9,0.0,,1.0,0.0,392.0,0.0,5.0,,,,,2,1.0,,,,
26,张伯旭 | 北京高质量发展需解决的问题及关注的方面,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489003&idx=3&sn=c4661c3e84f3a56391736d52e1f65ec2&chksm=97ea091fa09d8009bd7b0fbf573b7cfe1691cc9149e0ac78a48d893a9b6f273e725fb8909737#rd,2022-9-9,0.0,,1.0,0.0,75.0,0.0,0.0,,,,,3,1.0,,,,
27,刘中一 | 非首都功能疏解下的城市通勤决策逻辑——以首钢家庭为例,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247489003&idx=4&sn=c044c79cb21bd0b82067eeeeaf64c49e&chksm=97ea091fa09d800937d3e398d17c72490a394446fa598b616cac95067560842cda19ec53660a#rd,2022-9-9,0.0,,1.0,0.0,98.0,0.0,0.0,,,,,4,1.0,,,,
28,叶小文 | 中国特色社会主义宗教理论的根源、核心及要求,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488981&idx=1&sn=7dda4c5954592b48421d4945a8eb9c9a&chksm=97ea0921a09d8037faa746a82c4ae4d22b3c419dbaf5c3a2420dca065547e9fb150ec7afd365#rd,2022-9-1,0.0,,1.0,0.0,377.0,0.0,2.0,,,,,1,1.0,,,,
29,2022年第8期目录,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488977&idx=1&sn=ec7d9fc79181c0b4a9deca39d54c6001&chksm=97ea0925a09d80334a90ec4a005af6386de67f72aec4d9e3b53eaf4adce4e1ebc937f00b5e9d#rd,2022-8-31,0.0,,1.0,0.0,2850.0,1.0,3.0,,,,,1,1.0,,,,
30,徐凤 | 网络主权与数据主权的确立与维护,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488969&idx=1&sn=4fb9aa5fea373cabfd80c734e94b4fae&chksm=97ea093da09d802b08b3428dab9cb6bc5585bd9ce1efd7deba5b0927f14a74f683158564226b#rd,2022-8-24,0.0,,1.0,0.0,212.0,0.0,0.0,,,,,1,1.0,,,,
31,吴伟 牛英杰 | 城市化“希望空间”的叙事与策略,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488969&idx=2&sn=afdd47964166328b0c3234a5d5b86d8a&chksm=97ea093da09d802bc86657af19d1abba4689718856083b7176210913ae3eed80527c9b2c6860#rd,2022-8-24,0.0,,1.0,0.0,155.0,0.0,1.0,,,,,2,1.0,,,,
32,向运华 许诺 | 异质性下城市社区养老服务的分类治理,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488969&idx=3&sn=93ab81328082e18185d61f6e82a99145&chksm=97ea093da09d802b2c3fc0a1504efc501f54d7f873a1ea9ee692ed5f0b83de86388d25d6f8f8#rd,2022-8-24,0.0,,1.0,0.0,85.0,0.0,0.0,,,,,3,1.0,,,,
33,罗朝阳 李雪松 | 房地产周期、人口流动与地方债风险防控,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488969&idx=4&sn=6226e419f3799e6369f8caabde2ad401&chksm=97ea093da09d802b53e48995b28eb181b042ffd4fb65152c36c1ea83edcffc93529119abe53d#rd,2022-8-24,0.0,,1.0,0.0,52.0,0.0,0.0,,,,,4,1.0,,,,
34,陆施予 李光勤 | 税收征管与企业创新——基于世界银行中国企业调查的经验证据,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488969&idx=5&sn=e66c39dc7df637942bf8089dca3ef82f&chksm=97ea093da09d802b3cb02e3bec153ef60f838f3866383d3e41d708b94ac5156e59135863ca04#rd,2022-8-24,0.0,,1.0,0.0,33.0,0.0,0.0,,,,,5,1.0,,,,
35,李丹 白鸽 | 收入差异下的老年心理健康不平等及影响机制,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488969&idx=6&sn=33807aeb3ae506c1d625f18cf65556ad&chksm=97ea093da09d802b911bad2bb85069850032f9dc4bc9ea80f935737c21fa94ab17855a464a66#rd,2022-8-24,0.0,,1.0,0.0,71.0,0.0,0.0,,,,,6,1.0,,,,
36,李晓燕 | 市域社会治理现代化中基层治理的进阶式发展,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488969&idx=7&sn=3064304fe8339c2504a21a444ce9b772&chksm=97ea093da09d802be5ca11d3b5b57e577b4ff97541a8777b85af5184bb853059d4ed5299839f#rd,2022-8-24,0.0,,1.0,0.0,94.0,0.0,1.0,,,,,7,1.0,,,,
37,邸乘光 | 习近平新时代中国特色社会主义思想的新定位,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488953&idx=1&sn=d9a676726055df81a1c9e6edfb684ae0&chksm=97ea094da09d805b8a80afde2d7252360c6f3fe6d800b03fb06713a64f79f4227dc8dcf0b99c#rd,2022-8-17,0.0,,1.0,0.0,331.0,3.0,5.0,,,,,1,1.0,,,,
