Unnamed: 0,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2017,2,2017-2,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2017,3,2017-3,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2017,4,2017-4,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,328.0,328.0,0.0,328.0,0.0,0.0,0.0,0.0,《东岳论丛》2017年第4期目录
4,2017,5,2017-5,东岳论丛,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,271.0,271.0,0.0,271.0,0.0,0.0,0.0,0.0,《东岳论丛》2017年第5期目录
5,2017,6,2017-6,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.5,0.0,1.5,0.0,355.0,177.5,0.0,240.0,0.0,0.0,0.0,0.0,《东岳论丛》2017年第6期目录☀《东岳论丛》2017年第5期目录
6,2017,7,2017-7,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,2017,8,2017-8,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,477.0,238.5,0.0,252.0,0.0,0.0,0.0,0.0,《东岳论丛》2017年第8期目录☀《东岳论丛》2017年第7期目录
8,2017,9,2017-9,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,2017,10,2017-10,东岳论丛,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,616.0,205.33333333333331,0.0,327.0,0.0,0.0,0.0,0.0,《东岳论丛》2017年第10期目录☀第六届全国人文社会科学期刊高层论坛召开☀《东岳论丛》2017年第9期目录
