,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,东南学术,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,0.0,8.0,0.0,8.0,0.0,1614.0,807.0,0.0,950.0,2.0,0.0,3.0,0.0,南帆 ▏文学、文学性与话语光谱☀《东南学术》2017年第1期
1,2017,2,2017-2,东南学术,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,285.0,285.0,0.0,285.0,0.0,0.0,0.0,0.0,郭若平、袁超乘：“中央苏区”概念的地域指涉变迁考
2,2017,3,2017-3,东南学术,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,0.0,7.0,0.0,7.0,0.0,1192.0,596.0,0.0,660.0,1.0,0.0,0.0,0.0,《东南学术》召开“企业史研究与经济全球化”学术研讨会☀《东南学术》2017年第2期
3,2017,4,2017-4,东南学术,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2017,5,2017-5,东南学术,4.0,4.0,0.0,2.0,0.0,1.0,1.0,3.0,33.0,0.75,8.25,0.75,8.25,3.0,3272.0,818.0,0.75,1488.0,4.0,0.0,2.0,0.0,全球企业史研究综论☀“新型城镇化与民间信仰方式变迁”研讨会在沪召开☀《东南学术》2017年第3期☀《东南学术》2017年第3期
5,2017,6,2017-6,东南学术,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,1163.0,1163.0,0.0,1163.0,0.0,0.0,0.0,0.0,《东南学术》2017年第4期
6,2017,7,2017-7,东南学术,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,3.0,2.0,820.0,410.0,1.0,506.0,0.0,0.0,0.0,0.0,诺顿斯登 ▏媒介规范理论的反思和超越☀张一兵 ▏续写《资本论》：“伪我们”意识流的臣服性接受
7,2017,8,2017-8,东南学术,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,3292.0,3292.0,0.0,3292.0,0.0,0.0,0.0,0.0,2017年东南学术杂志社招聘工作人员方案
8,2017,9,2017-9,东南学术,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,744.0,744.0,0.0,744.0,0.0,0.0,0.0,0.0,《东南学术》2017年第5期
9,2017,10,2017-10,东南学术,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2017,11,2017-11,东南学术,6.0,6.0,0.0,2.0,0.0,1.0,1.0,12.0,67.0,2.0,11.166666666666666,2.0,11.166666666666666,12.0,6833.0,1138.8333333333333,2.0,2735.0,2.0,0.0,1.0,0.0,高令印  ▏闽学序说☀邓大才  ▏复合政治：自然单元与行政单元的治理逻辑 ——基于“深度中国调查”材料的认识☀“中央苏区经济社会发展研究”学术研讨会在龙岩召开☀吴重庆  ▏民间信仰中的信息沟通与传播——基于对福建莆田民间信仰田野调查的思考☀《东南学术》2017年第6期☀“范式与方法——首届中国企业史研究workshop”在福州举行
11,2017,12,2017-12,东南学术,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,300.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,厦门大学宏观经济研究中心CQMM课题组 ▏系统性金融风险与预算软约束
12,2018,1,2018-1,东南学术,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,8.0,0.0,8.0,0.0,1648.0,824.0,0.0,1112.0,0.0,0.0,0.0,0.0,郝立新 周康林 ▏当代中国马克思主义发展的新境界☀《东南学术》2018年第1期
