,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,中州学刊,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,718.0,718.0,0.0,718.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2016年第12期目录
1,2017,2,2017-2,中州学刊,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,7.0,0.0,7.0,0.0,2016.0,1008.0,0.0,1068.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2017年第2期目录☀中州学刊•目录 | 2017年第1期目录
2,2017,3,2017-3,中州学刊,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,1487.0,1487.0,0.0,1487.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2017年第3期目录
3,2017,4,2017-4,中州学刊,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,2.5,0.0,2.5,0.0,1366.0,683.0,0.0,711.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2017年第4期目录☀中州学刊•目录 | 2017年第4期目录
4,2017,5,2017-5,中州学刊,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,3.25,0.0,3.25,0.0,1642.0,410.5,0.0,1099.0,0.0,0.0,0.0,0.0,《中州学刊》主办“生态文明与法治建设” 学术研讨会☀《中州学刊》主办“生态文明与法治建设” 学术研讨会☀《中州学刊》主办“生态文明与法治建设” 学术研讨会☀中州学刊•目录 | 2017年第5期目录
5,2017,6,2017-6,中州学刊,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,974.0,974.0,0.0,974.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2017年第6期目录
6,2017,7,2017-7,中州学刊,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,943.0,943.0,0.0,943.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2017年第7期目录
7,2017,8,2017-8,中州学刊,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,963.0,963.0,0.0,963.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2017年第8期目录
8,2017,9,2017-9,中州学刊,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,1310.0,1310.0,0.0,1310.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2017年第9期目录
9,2017,10,2017-10,中州学刊,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,1295.0,1295.0,0.0,1295.0,0.0,0.0,0.0,0.0,中州学刊•目录 | 2017年第10期目录
