,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,广东社会科学,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,741.0,741.0,0.0,741.0,0.0,0.0,0.0,0.0,《广东社会科学》2017年第1期目录及摘要
1,2017,2,2017-2,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2017,3,2017-3,广东社会科学,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,693.0,693.0,0.0,693.0,0.0,0.0,0.0,0.0,《广东社会科学》2017年第2期目录及摘要
3,2017,4,2017-4,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2017,5,2017-5,广东社会科学,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,277.0,277.0,0.0,277.0,0.0,0.0,0.0,0.0,《广东社会科学》2017年第3期目录及摘要
5,2017,6,2017-6,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2017,7,2017-7,广东社会科学,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,324.0,324.0,0.0,324.0,0.0,0.0,0.0,0.0,《广东社会科学》2017年第4期目录及摘要
7,2017,8,2017-8,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,2017,9,2017-9,广东社会科学,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,769.0,769.0,1.0,769.0,0.0,0.0,0.0,0.0,《广东社会科学》2017年第5期目录及摘要
9,2017,10,2017-10,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2017,11,2017-11,广东社会科学,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,526.0,0.0,526.0,0.0,0.0,0.0,0.0,《广东社会科学》2017年第6期目录及摘要
11,2017,12,2017-12,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,2018,1,2018-1,广东社会科学,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,764.0,764.0,0.0,764.0,0.0,0.0,0.0,0.0,《广东社会科学》2018年第1期目录及摘要
13,2018,2,2018-2,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2018,3,2018-3,广东社会科学,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,988.0,988.0,0.0,988.0,0.0,0.0,0.0,0.0,《广东社会科学》2018年第2期目录及摘要
15,2018,4,2018-4,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,2018,5,2018-5,广东社会科学,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,694.0,694.0,0.0,694.0,0.0,0.0,0.0,0.0,《广东社会科学》2018年第3期目录及摘要
17,2018,6,2018-6,广东社会科学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,2018,7,2018-7,广东社会科学,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,858.0,858.0,0.0,858.0,0.0,0.0,0.0,0.0,《广东社会科学》2018年第4期目录及摘要
