,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,文史哲,12.0,12.0,0.0,2.0,0.0,1.0,1.0,7.0,136.0,0.5833333333333334,11.333333333333334,0.5833333333333334,11.333333333333334,3.0,15184.0,1265.3333333333333,0.5833333333333334,2613.0,22.0,2.0,25.0,1.0,贺来：儒学中没有“陌生人”的位置☀周末悦读 | 陈炎：东方与西方（下）☀黄金兰：面子、人情的秩序功能及其当下变异☀《文史哲》英文版征稿启事☀周末悦读 | 陈炎：东方与西方（上）☀李景林：冯友兰后期哲学思想的转变 ——从《〈中国哲学史新编〉总结》讲起☀陈来 | 从道德的“抽象的继承”转向“创造的继承”——兼论诠释学视野中的文化传承问题☀刘光裕：1973年《文史哲》复刊的回忆☀肖强：当代大陆新儒家批判——以蒋庆、康晓光、余东海、陈明、秋风为例☀“2016年度中国人文学术十大热点”评选活动征询启事☀杨向奎：早期《文史哲》☀杨向奎：早期《文史哲》
1,2017,2,2017-2,文史哲,7.0,7.0,0.0,0.0,0.0,1.0,1.0,4.0,91.0,0.5714285714285714,13.0,0.5714285714285714,13.0,3.0,8379.0,1197.0,0.5714285714285714,2282.0,6.0,0.0,3.0,0.0,周末悦读 | 陈炎：因果与阴阳（下）☀《文史哲》2017年第2期摘要☀《文史哲》2017年第2期目录☀周末悦读 | 陈炎：因果与阴阳（上）☀朱斌：“耿介拔俗”的一代史学巨匠——丁山先生生平与学术☀贾振勇 | 沈从文：创伤的执著·性灵的诗人·未熟的天才☀陈怀宇：国际中国社会史大论战——以1956年中国历史分期问题讨论为中心
2,2017,3,2017-3,文史哲,13.0,13.0,0.0,10.0,0.0,1.0,1.0,16.0,151.0,1.2307692307692308,11.615384615384615,1.2307692307692308,11.615384615384615,7.0,13109.0,1008.3846153846154,1.2307692307692308,3319.0,12.0,2.0,16.0,1.0,仪平策：文学民族性身份的现代人类学还原☀李自雄：关于中国文学本质观念的一种追问——基于中国形而上学传统及其影响的考辨☀名家治学谈 | 傅衣凌：我是怎样研究中国社会经济史的？☀张忠纲：诗趋奇险谱新篇——从杜甫到韩愈☀孙微 | 名岂文章著:论杜甫生前诗名为赋名所掩☀名家治学谈 | 牟世金： 我的读书法☀何中华 | 近年来国内哲学研究状况检讨：一个有限的观察和评论☀李贤中：中国哲学研究方法探析☀名家治学谈 | 赵俪生：光考据不行，还需要思辨☀刘洋 张铭：在效用与历史之间——休谟合法性思想析论☀黄勇：西方世界中国哲学研究者之“三重约束”☀【目录|摘要】《文史哲》英文版JOCH第3卷第1期“中国古代神话与传说”出版☀刘梦溪：论国学的内涵及其施教——马一浮国学论的立教义旨
3,2017,4,2017-4,文史哲,9.0,9.0,1.0,3.0,0.0,1.0,1.0,2.0,236.0,0.2222222222222222,26.22222222222222,0.2222222222222222,26.22222222222222,1.0,25750.0,2861.1111111111113,0.2222222222222222,10039.0,23.0,2.0,62.0,1.0,《文史哲》2017年第3期摘要☀这是一个有故事的编辑部 —— 记《文史哲》杂志☀《文史哲》2017年第3期目录☀《文史哲》杂志“2016年度中国人文学术十大热点”发布☀《文史哲》杂志人文高端论坛之六：“贤能政治的可行性及其限度” 会议日程☀冯克利 | 柏克保守主义思想的法学来源☀[美]艾兰|公元前1920年积石峡洪水溃决与古代中国大洪水传说的初步思考（摘要）☀梁涛 | 北宋新学、蜀学派融合儒道的“内圣外王”概念☀周末悦读 | 萧庆松：杜牧《清明》诗析释
4,2017,5,2017-5,文史哲,9.0,9.0,0.0,4.0,0.0,1.0,1.0,28.0,305.0,3.111111111111111,33.888888888888886,3.111111111111111,33.888888888888886,7.0,24116.0,2679.5555555555557,3.111111111111111,6346.0,40.0,0.0,95.0,0.0,周末悦读 | 王学典：从“文革”中走来 ——我的学思之路☀孙正军|魏晋南北朝史研究中的史料批判研究☀《光明日报》| 为当今所用 为后世续航：山东大学《文史哲》杂志的特色办刊之路☀陆扬|陈寅恪的文史之学——从1932年清华大学国文入学试题谈起☀周末悦读 | 郑佩欣：忆陈寅恪师☀专访｜王学典：中国历史是辆有轨电车，中国道路由传统规定☀潘务正|“疽发背而死”与中国史学传统☀周末悦读 | 范学辉：独上高楼——琐忆张金光老师☀杨海文|“庄生传颜氏之儒”：章太炎与“庄子即儒家”议题
5,2017,6,2017-6,文史哲,8.0,8.0,0.0,5.0,0.0,1.0,1.0,7.0,177.0,0.875,22.125,0.875,22.125,2.0,16178.0,2022.25,0.875,4787.0,22.0,0.0,40.0,0.0,"孙向晨 | 现代个体权利与儒家传统中的""个体☀名家治学谈| 王仲荦：谈谈我的治学经过☀商戈令|图像、丛生与间性——探源中国哲学的新路径☀《文汇报》| 洋教授潜心研国学  助传统文化走出去☀周末悦读 | 祝尚书：科名前定——宋代科举制度下的社会心态☀刘晓艺 |“西安事变”与“丢失大陆”：失败者怎样书写历史——兼谈国民党文宣系统的“曲释”操作☀名家治学谈 | 程千帆：詹詹录☀胡新生|先秦政治思想史上的道义与功利之争"
6,2017,7,2017-7,文史哲,9.0,9.0,0.0,4.0,0.0,1.0,1.0,6.0,135.0,0.6666666666666666,15.0,0.6666666666666666,15.0,4.0,15328.0,1703.111111111111,0.6666666666666666,3603.0,12.0,0.0,30.0,0.0,《文史哲》2017年第4期摘要☀《文史哲》2017年第4期目录☀李若晖 | 亲亲尊尊之间的断崖——由韦、刘庙议重估西汉经学政制☀周末悦读 | 唐玲：宋诗注释方法芹献☀黄启祥|论“父为子隐，子为父隐，直在其中”☀文汇报 | 郭震旦：朝花夕拾《文史哲》☀周末悦读 | 赵晓庆：北大藏《王念孙手稿》流传考述☀范兆飞 | 北美士族研究传统的演变——以姜士彬和伊沛霞研究的异同为线索☀名家治学谈|裘锡圭先生访谈录：“古史辨”派、“二重证据法”及其相关问题
7,2017,8,2017-8,文史哲,7.0,7.0,0.0,4.0,0.0,1.0,1.0,6.0,112.0,0.8571428571428571,16.0,0.8571428571428571,16.0,3.0,10991.0,1570.142857142857,0.8571428571428571,3198.0,9.0,0.0,8.0,0.0,任锋|“以法为治”与近世儒家的治道传统☀周末悦读|刘晓东：父亲与《文史哲》的复刊☀张俊|儒家伦理的二维结构体系——从“君子喻于义，小人喻于利”谈起☀周末悦读|康生与《文史哲》☀魏斌|“山中”的六朝史☀王芳|美国政治自由主义的回撤——以美国宪法第四修正案隐私权抗辩诉讼数据分析为例证☀资本主义、全球化与民主内卷化 ——以特朗普当选为中心
8,2017,9,2017-9,文史哲,9.0,9.0,2.0,2.0,0.0,1.0,1.0,8.0,490.0,0.8888888888888888,54.44444444444444,0.8888888888888888,54.44444444444444,2.0,44854.0,4983.777777777777,0.8888888888888888,15308.0,39.0,0.0,199.0,0.0,项裕荣|《水浒传》与禅宗丛林制度☀《文史哲》2017年第5期目录及摘要☀杜维明|儒学是具有全球意义的地方知识☀2015-2017年儒学研究十大热点发布☀王学典|十八大以来儒学变迁之大势——为第八届世界儒学大会召开而作☀第八届世界儒学大会日程安排☀葛焕礼 |《左传》学与纪事本末体之源起☀张峰屹 | 两汉谶纬考论☀周末悦读|郑学檬：印度佛教向东而非向西传播的原因
9,2017,10,2017-10,文史哲,5.0,5.0,0.0,2.0,0.0,1.0,1.0,3.0,70.0,0.6,14.0,0.6,14.0,2.0,5505.0,1101.0,0.6,1246.0,8.0,0.0,13.0,0.0,贡华南 | 从解义到解味 ——兼论宋儒的思想方法☀林晓光 | 比较视域下的回顾与批判——日本六朝贵族制研究平议☀周末悦读|马瑞芳：扶植小人物的《文史哲》☀罗志田|讲堂论学：梁漱溟特有的论学模式☀周末悦读|龚克昌：回忆编辑工作中的二三事
