,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,求是学刊,44.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,42.0,0.0,0.9545454545454546,0.0,0.9545454545454546,0.0,6026.0,136.95454545454547,0.0,1522.0,2.0,0.0,2.0,0.0,良知与责任：赫勒关于现代性问题的道德哲学探索☀良知与责任：赫勒关于现代性问题的道德哲学探索☀“蟪蛄及秋死，木槿向朝荣”——清初曾灿诗歌中的生存之思☀“蟪蛄及秋死，木槿向朝荣”——清初曾灿诗歌中的生存之思☀《求是学刊》恭祝大家新春快乐，阖家幸福！☀《求是学刊》恭祝大家新春快乐，阖家幸福！☀论社会转型期的穆勒逻辑观☀论社会转型期的穆勒逻辑观☀清末民初文学变革与东北小说的文体构建☀清末民初文学变革与东北小说的文体构建☀创业投资引导基金与现代农业发展对接机制研究☀创业投资引导基金与现代农业发展对接机制研究☀礼制规范视域下唐代陵户的设置☀礼制规范视域下唐代陵户的设置☀《德意志意识形态》的十大亮点——纪念《德意志意识形态》170周年☀《德意志意识形态》的十大亮点——纪念《德意志意识形态》170周年☀为什么法治必然要求法律解释☀为什么法治必然要求法律解释☀求是学刊2017年第1期目录☀求是学刊2017年第1期目录☀如何实现“法院独立”与“法官独立”的统一——法院改革的策略选择☀如何实现“法院独立”与“法官独立”的统一——法院改革的策略选择☀供给侧结构性改革背景下我国收入分配对策研究☀供给侧结构性改革背景下我国收入分配对策研究☀“混沌乾坤”是如何造成的？——《水浒传》气候、地理描写错误问题新探☀“混沌乾坤”是如何造成的？——《水浒传》气候、地理描写错误问题新探☀新旧杂糅的时代表征——刘云若小说《春风回梦记》的人物形象和叙事模式☀新旧杂糅的时代表征——刘云若小说《春风回梦记》的人物形象和叙事模式☀从阶级伦理到日常生活伦理——布达佩斯学派的伦理视域转换☀从阶级伦理到日常生活伦理——布达佩斯学派的伦理视域转换☀在修辞与实践之间：环境权概念的贫困及其义务转向☀在修辞与实践之间： 环境权概念的贫困及其义务转向☀新型城镇化对社会福祉提升的影响分析☀新型城镇化对社会福祉提升的影响分析☀话语与制度：洪武君臣关系的重塑与评论☀话语与制度：洪武君臣关系的重塑与评论☀《汉书·地理志》所述西汉置郡考实☀《汉书·地理志》所述西汉置郡考实☀主权财富基金投资收益影响因素差异化及其启示☀主权财富基金投资收益影响因素差异化及其启示☀科技创新的公共金融支持机理研究☀科技创新的公共金融支持机理研究☀《庄子》“大美”思想论析☀《庄子》“大美”思想论析
1,2017,2,2017-2,求是学刊,44.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,0.0,0.7954545454545454,0.0,0.875,0.0,5865.0,133.29545454545453,0.0,2096.0,0.0,0.0,0.0,0.0,在什么意义上黑格尔的《法哲学原理》是以《逻辑学》为“基础”的——对正义逻辑的评论☀在什么意义上黑格尔的《法哲学原理》是以《逻辑学》为“基础”的——对正义逻辑的评论☀论施密特的具体秩序思维☀论施密特的具体秩序思维☀我国城乡居民收入差异与行业劳动报酬研究☀我国城乡居民收入差异与行业劳动报酬研究☀语言的转换与思想的呈现☀语言的转换与思想的呈现☀当代大众文化语境下的文学经典化——以诺贝尔文学奖获得者及其作品为例☀当代大众文化语境下的文学经典化——以诺贝尔文学奖获得者及其作品为例☀挑战与应对：犯罪全球化的主要表现及其研究☀挑战与应对：犯罪全球化的主要表现及其研究☀P2P网贷市场中虚拟社会资本对个人信用的引致影响☀P2P网贷市场中虚拟社会资本对个人信用的引致影响☀马克思对青年黑格尔派实现的历史观变革☀马克思对青年黑格尔派实现的历史观变革☀明清两淮盐业经济影响下的区域文艺创作与消费☀明清两淮盐业经济影响下的区域文艺创作与消费☀基本原则及制度本质乃解释的基点☀基本原则及制度本质乃解释的基点☀基于协同理论的中小企业新三板上市促进机制研究☀基于协同理论的中小企业新三板上市促进机制研究☀论美国法律平等保护的局限性——从黑人争取基本权利的视角观察☀论美国法律平等保护的局限性——从黑人争取基本权利的视角观察☀唯物辩证法与马尔库塞的“历史唯物主义现象学”☀唯物辩证法与马尔库塞的“历史唯物主义现象学”☀戏曲选的批评学建构探析☀戏曲选的批评学建构探析☀明代告示传播机制与舆论功能☀明代告示传播机制与舆论功能☀司法体制改革不能忽视的四种关系☀司法体制改革不能忽视的四种关系☀创业生态系统促进区域经济发展的问题与对策研究☀创业生态系统促进区域经济发展的问题与对策研究☀战时合作中美苏阿拉斯加-西伯利亚空中走廊研究☀战时合作中美苏阿拉斯加-西伯利亚空中走廊研究☀阿格妮丝·赫勒论道德相对主义☀阿格妮丝·赫勒论道德相对主义☀论魏晋南北朝“礼”与“法”的结合☀论魏晋南北朝“礼”与“法”的结合（二）☀论魏晋南北朝“礼”与“法”的结合（三）☀论魏晋南北朝“礼”与“法”的结合☀论魏晋南北朝“礼”与“法”的结合☀论魏晋南北朝“礼”与“法”的结合
2,2017,3,2017-3,求是学刊,44.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,31.0,0.0,0.7045454545454546,0.0,0.7380952380952381,0.0,6257.0,142.20454545454547,0.0,1527.0,0.0,0.0,0.0,0.0,古代文学研究新视界：戏曲“宗元”观念与明清戏曲史研究（笔谈）（上）☀古代文学研究新视界：戏曲“宗元”观念与明清戏曲史研究（笔谈）（下）☀古代文学研究新视界：戏曲“宗元”观念与明清戏曲史研究（笔谈）（上）☀古代文学研究新视界：戏曲“宗元”观念与明清戏曲史研究（笔谈）（下）☀辽代词坛沉寂现象论考☀辽代词坛沉寂现象论考☀日本环境法的理念、原则以及环境权☀日本环境法的理念、原则以及环境权☀学理之异与议礼之争：嘉靖朝大礼议新论☀学理之异与议礼之争：嘉靖朝大礼议新论☀医疗健康服务供给的PPP模式探讨☀医疗健康服务供给的PPP模式探讨☀政治美学的哲学观☀政治美学的哲学观☀求是学刊2017年第2期目录☀求是学刊2017年第2期目录☀债法视角下的信用卡冒用损害责任☀债法视角下的信用卡冒用损害责任☀马克思的核心哲学思想及其理论来源问题——从马克思的一段论述谈起☀马克思的核心哲学思想及其理论来源问题——从马克思的一段论述谈起☀汪森的词学及其家族传承☀汪森的词学及其家族传承☀明代宫廷教育思想初论☀明代宫廷教育思想初论☀新型城镇化进程中的金融创新与金融风险☀新型城镇化进程中的金融创新与金融风险☀Cookie跟踪中的隐私权保护——美国经验与中国选择☀Cookie跟踪中的隐私权保护——美国经验与中国选择☀再思批判理论与马克思主义的关系☀再思批判理论与马克思主义的关系☀关于“生态”与“环境”之辩——对于生态美学建设的一种回顾☀关于“生态”与“环境”之辩——对于生态美学建设的一种回顾☀明清地方与国家视域中的“海洋”☀明清地方与国家视域中的“海洋”☀产业结构转型升级的方向和动力☀产业结构转型升级的方向和动力☀超越现代企业制度——现代企业法律制度解构☀超越现代企业制度——现代企业法律制度解构☀面对死亡的生存态度——卡尔·雅斯贝尔斯的死亡观☀面对死亡的生存态度——卡尔·雅斯贝尔斯的死亡观☀《求是学刊》“经济热点问题与综合类期刊栏目建设”座谈会顺利召开☀《求是学刊》“经济热点问题与综合类期刊栏目建设”座谈会顺利召开☀明初文人妇女观的建构与反思☀明初文人妇女观的建构与反思
3,2017,4,2017-4,求是学刊,30.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.16666666666666666,1.0,2112.0,70.4,0.03333333333333333,307.0,0.0,0.0,0.0,0.0,视觉形式自律与视觉现代性问题☀视觉形式自律与视觉现代性问题☀族群分裂与宗教冲突：欧洲多元文化主义面临严峻挑战☀族群分裂与宗教冲突：欧洲多元文化主义面临严峻挑战☀试论清初边塞词中的遗民情结☀试论清初边塞词中的遗民情结☀马克思究竟颠倒了什么？——析马克思对黑格尔辩证法的超越☀马克思究竟颠倒了什么？——析马克思对黑格尔辩证法的超越☀述往思来：《新唐书》的编纂思想和特点☀述往思来：《新唐书》的编纂思想和特点☀上市公司破产风险时间效应的理论猜想☀上市公司破产风险时间效应的理论猜想☀压抑、替代与发生——在胡塞尔与弗洛伊德之间重写“无意识”☀压抑、替代与发生——在胡塞尔与弗洛伊德之间重写“无意识”☀后TRIPS协定时代的著作权刑法保护国际化及中国立场☀后TRIPS协定时代的著作权刑法保护国际化及中国立场☀《魏书》的编纂特色与史学价值☀《魏书》的编纂特色与史学价值☀监管转型与证券行业经济资本管理☀监管转型与证券行业经济资本管理☀劳思光文化哲学思想研究☀劳思光文化哲学思想研究☀《汉书·王莽传》：人物传记与记述新朝大事的精致结合☀《汉书·王莽传》：人物传记与记述新朝大事的精致结合☀被塑造的经典——清代文评专书中的归有光☀被塑造的经典——清代文评专书中的归有光☀海外PPP项目的模式分析及对完善我国PPP管理机制的启示☀海外PPP项目的模式分析及对完善我国PPP管理机制的启示☀从制高点到地平线——社会主义市场经济的伦理底线探析☀从制高点到地平线——社会主义市场经济的伦理底线探析
4,2017,5,2017-5,求是学刊,34.0,34.0,0.0,0.0,0.0,1.0,1.0,7.0,26.0,0.20588235294117646,0.7647058823529411,0.20588235294117646,0.7647058823529411,3.0,5680.0,167.05882352941177,0.20588235294117646,1820.0,1.0,0.0,0.0,0.0,明清时期山海关的姜女庙与孟姜女传说——以朝鲜燕行文献的记载为中心☀自我的建构与溃败——身份认同理论视野下的知青作家群☀马克思对“对象化”与“异化”关系的三次建构——概念史视域中的方法论变革☀马克思对“对象化”与“异化”关系的三次建构——概念史视域中的方法论变革☀社会主义现代化“新三步走”战略设想☀社会主义现代化“新三步走”战略设想☀明前期唐诗分期与宗尚☀明前期唐诗分期与宗尚☀英国诽谤法的抗辩体系：传统构造与最新发展——以《2013年诽谤法案》为中心☀英国诽谤法的抗辩体系：传统构造与最新发展——以《2013年诽谤法案》为中心☀民国时期词集编年笺注之兴起及其意义☀民国时期词集编年笺注之兴起及其意义☀感性个体与社会存在的分离及融合——马克思论新社会组织、私有制和个体死亡☀感性个体与社会存在的分离及融合——马克思论新社会组织、私有制和个体死亡☀尼克松政府毒品战的“新机制”：北约现代社会挑战委员会与国际禁毒合作☀尼克松政府毒品战的“新机制”：北约现代社会挑战委员会与国际禁毒合作☀知识获取对新企业创新绩效的影响研究——基于家长式领导的调节作用☀知识获取对新企业创新绩效的影响研究——基于家长式领导的调节作用☀求是学刊2017年第3期目录☀求是学刊2017年第3期目录☀第四届“新兴（新型）权利与法治中国”学术研讨会预备通知☀第四届“新兴（新型）权利与法治中国”学术研讨会预备通知☀选本批评与桐城派文论构建☀选本批评与桐城派文论构建☀意义的“内爆”——哈贝马斯公共领域理论所面临的一个难题☀意义的“内爆”——哈贝马斯公共领域理论所面临的一个难题☀1974年以来澳门政制变迁下的宪法性法律☀1974年以来澳门政制变迁下的宪法性法律☀尼克松政府毒品战的“新机制”：北约现代社会挑战委员会与国际禁毒合作☀尼克松政府毒品战的“新机制”：北约现代社会挑战委员会与国际禁毒合作☀后发国家新兴产业赶超的机遇识别与政策协同——基于演化经济视角的分析☀后发国家新兴产业赶超的机遇识别与政策协同——基于演化经济视角的分析☀美国保守主义的内涵与风格☀美国保守主义的内涵与风格
5,2017,6,2017-6,求是学刊,28.0,28.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,0.14285714285714285,0.25,0.14285714285714285,0.25,2.0,2133.0,76.17857142857143,0.14285714285714285,473.0,0.0,0.0,0.0,0.0,论我国夫妻债务推定规则☀论我国夫妻债务推定规则☀黑龙江省国有工业企业区域经济效益改进研究☀黑龙江省国有工业企业区域经济效益改进研究☀真人秀节目之于生活文本的消费逻辑☀真人秀节目之于生活文本的消费逻辑☀论夫妻共同债务构成的依据☀论夫妻共同债务构成的依据☀清初学者张履祥与陈确的学术关联☀清初学者张履祥与陈确的学术关联☀企业内知识关系与知识转移——知识共享动机的双因素理论调节效应分析☀企业内知识关系与知识转移——知识共享动机的双因素理论调节效应分析☀“抒情”的颠覆与重构——梁启超、王国维向中国文学抒情传统的回归☀“抒情”的颠覆与重构——梁启超、王国维向中国文学抒情传统的回归☀《民法总则》规定的非法人组织的主体地位与规则☀《民法总则》规定的非法人组织的主体地位与规则☀《闺范》与“妻”之构想：明代中后期夫妻关系的历史解析☀《闺范》与“妻”之构想：明代中后期夫妻关系的历史解析☀如何应对柏拉图《理想国》的制度性失误☀如何应对柏拉图《理想国》的制度性失误☀论后发追赶进程中的供给侧增长动力转换☀论后发追赶进程中的供给侧增长动力转换☀心灵胎记与文学超越——莫言散文的“故乡意象”与艺术传达☀心灵胎记与文学超越——莫言散文的“故乡意象”与艺术传达☀论民事立法对民事习惯的复杂认可☀论民事立法对民事习惯的复杂认可☀明清时期山海关的姜女庙与孟姜女传说——以朝鲜燕行文献的记载为中心☀明清时期山海关的姜女庙与孟姜女传说——以朝鲜燕行文献的记载为中心
6,2017,7,2017-7,求是学刊,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,1.4,0.0,1.4,0.0,1329.0,132.9,0.0,365.0,0.0,0.0,0.0,0.0,社会主义现代化“新三步走”战略设想☀社会主义现代化“新三步走”战略设想☀明代盐法运行中的官商合作☀明代盐法运行中的官商合作☀纪念张锡勤先生逝世一周年☀纪念张锡勤先生逝世一周年☀论经验法则的司法定位☀论经验法则的司法定位☀明末的中枢决策与权力格局演进：以崇祯帝“改票”为视角☀明末的中枢决策与权力格局演进：以崇祯帝“改票”为视角
7,2017,8,2017-8,求是学刊,14.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,1.0,0.0,0.2,0.0,2393.0,170.92857142857142,0.0,1038.0,0.0,0.0,0.0,0.0,强制性标准对合同效力的影响及规范路径☀我国企业产品标准自我声明的法律属性定位和规范性要求☀标准必要专利中的信息披露义务与救济☀标准支撑法律实施：比较分析与政策建议☀强制性标准对合同效力的影响及规范路径☀我国企业产品标准自我声明的法律属性定位和规范性要求☀标准必要专利中的信息披露义务与救济 ——《专利法修订草案（送审稿）》第85条之完善☀标准支撑法律实施：比较分析与政策建议☀防灾减灾与灾后经济恢复的“中国模式”及其演进分析☀灾害救助中中国政府与非营利组织互动模式研究☀防灾减灾与灾后经济恢复的“中国模式”及其演进分析☀灾害救助中中国政府与非营利组织互动模式研究☀出版预告：防灾减灾与灾后经济恢复的“中国模式”及其演进分析☀出版预告：灾害救助中中国政府与非营利组织互动模式研究
8,2017,9,2017-9,求是学刊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,2017,10,2017-10,求是学刊,24.0,24.0,0.0,0.0,0.0,1.0,1.0,6.0,37.0,0.25,1.5416666666666667,0.25,1.5416666666666667,6.0,2799.0,116.625,0.25,704.0,0.0,0.0,0.0,0.0,学缘与血缘互涉背景下两汉韦氏诗学精神嬗衍论析☀学缘与血缘互涉背景下两汉韦氏诗学精神嬗衍论析☀创新模式、城镇化与工业企业产能过剩治理研究☀创新模式、城镇化与工业企业产能过剩治理研究☀早期儒家文化的性别制度研究☀早期儒家文化的性别制度研究☀法家学说与西汉的皇权主义——以“冠履之喻”为中心的考察☀法家学说与西汉的皇权主义——以“冠履之喻”为中心的考察☀“箱笼”：《金瓶梅》女性书写的“功能性物象”☀“箱笼”：《金瓶梅》女性书写的“功能性物象”☀论国家机关名誉的法律保护路径☀论国家机关名誉的法律保护路径☀政府绩效考核导向下国有企业高管薪酬激励及财务监督效应研究☀政府绩效考核导向下国有企业高管薪酬激励及财务监督效应研究☀现代性危机及其历史救赎——别尔嘉耶夫历史哲学理论研究☀现代性危机及其历史救赎——别尔嘉耶夫历史哲学理论研究☀韩学极盛与秦二世而亡☀韩学极盛与秦二世而亡☀论清代文字狱对小说文本形态的影响☀论清代文字狱对小说文本形态的影响☀去杠杆与国企改革的内在关联：基于部门差异的理论分析☀去杠杆与国企改革的内在关联：基于部门差异的理论分析☀俄罗斯哲学的现状和未来☀俄罗斯哲学的现状和未来
