,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,江海学刊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2017,2,2017-2,江海学刊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2017,3,2017-3,江海学刊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2017,4,2017-4,江海学刊,18.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,106.0,0.0,5.888888888888889,0.0,6.625,0.0,5747.0,319.27777777777777,0.0,742.0,0.0,0.0,0.0,0.0,田毅鹏：地域衰退的发生及其治理之道 ——一种发展社会学视域的考察☀文  军 、王  谦||从发展社会学到转型社会学： 发展研究学科范式的新探索☀单连春：论马克思恩格斯的宣传工作思想及其启示☀王海洲 || 论象征的生成机制：从分类到类比☀皮后锋：北洋舰队管带群体的专业素养 ——以船政学堂课程体系及教学成效为中心☀李  磊：魏晋之际国子、太学之议 与司马氏政权的合法性建构☀赵  伟：论近代中国民族企业“事业集合”思想☀杨发祥、叶淑静||结构性约束与主体性建构： 社会工作者的职业认同☀陈相雨、张  卫||网络集群行为动员：场域、策略及其风险☀秦晓蕾||地方政府绩效考核制度正义性反思☀杨  隽||“备物致用”：论诸子时代 “经世致用”诗学精神的成熟☀黄  伟||俞樾古文理论的承祧与新变☀涂永前||食品安全社会共治法治化： 一个框架性系统研究☀戴津伟||“法的一般性”之要求与实践功能研究☀胡  潇:空间意象经营的文化机理与“句法”☀李佃来:马克思在何种意义上 开创了政治哲学的传统☀尹伯成 :亚当•斯密经济思想在中国的价值 ——纪念《国富论》发表240周年☀华桂宏、李子联：中国供给侧结构性改革的 维度框架与路径选择
4,2017,5,2017-5,江海学刊,18.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,61.0,0.0,3.388888888888889,0.0,4.125,0.0,4965.0,275.8333333333333,0.0,1158.0,0.0,0.0,0.0,0.0,罗朝明||从快乐算术到监控社会： 现代性的情感筹划☀陈  涛||涂尔干的道德统计学： 源流、发展及困境☀【观点】沈湘平：以存在看待发展☀梁  海   陈  政||物欲的批判与超越 ——生活美学视域下的宋代士人鉴藏审美观念与实践☀钱再见||论新型智库的核心能力 及其提升的创新路径☀詹福瑞  赵树功||论“体”与“文体”（Style）☀张哲俊||《乐府诗集》的分组标记及其意义☀刘志彪||新常态下我国经济运行的三个特点和规律☀张幼文||自贸区试验的创新功能 与中国发展战略的转型升级☀盛  斌  王璐瑶||全球经济治理中的中国角色与贡献☀赵秉志||中国环境犯罪的立法演进及其思考☀杨登峰||行政法诚信原则的基本要求与适用☀王腊生||新立法体制下我国地方立法 权限配置若干问题的探讨☀王晴佳 ||中国史学的元叙述： 以“文化中国”说考察正统论之意涵☀王  胜||“巴黎和约线”（“菲律宾条约界限”） 与黄岩岛主权归属☀赵汀阳  ［法］阿兰•乐比雄 || 你是利玛窦那样的人吗 ——关于一神论的系列通信之一☀田海平：比较哲学的元问题 及道德形态学方法再思考☀袁祖社：精神生活的“自我治理”逻辑 及其公共性追求 ——思想“正当化”自身的知识论前提
5,2017,6,2017-6,江海学刊,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,2.25,0.0,2.5,0.0,691.0,172.75,0.0,389.0,0.0,0.0,0.0,0.0,马长山 || 探索“共建共享型”的中国法治道路☀李  牧 || 法律惩罚结构中的冷热机制及其运用☀黄少安  孙  涛||物质资本主导下人力资本的 治理诉求及其实现 ——关于公司治理理论的进一步思考☀易宪容||金融科技的内涵、实质及未来发展 ——基于金融理论的一般性分析
6,2017,7,2017-7,江海学刊,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,692.0,692.0,0.0,692.0,0.0,0.0,0.0,0.0,赵敦华 ||《资本论》的“唯物史观底本”
7,2017,8,2017-8,江海学刊,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,2.6666666666666665,0.0,2.25,0.0,1105.0,184.16666666666666,0.0,333.0,0.0,0.0,0.0,0.0,王立民 ：《唐律疏议》前言“疏议”透视☀【论文】雍正江：英国过渡时期农民主体权利的嬗变与济贫立法☀王宁 || 全球化、全球本土化 以及中国的文化学术策略☀罗时进 || 明清诗界的“差序混层” 与“众层化创作”☀韩庆祥  王海滨 || 建构“理论中的中国” 与中华民族的“学术自我” ——现实逻辑、中国问题和中国话语☀白  刚 || 自由个性的实现 ——《资本论》的自由观
8,2017,9,2017-9,江海学刊,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,3.25,0.0,4.0,0.0,1300.0,325.0,0.0,389.0,0.0,0.0,0.0,0.0,［美］白  露  || 什么是诗：女性事件与环球摩登女郎☀张盾 || 评艺术的自律性☀吴忠伟 ||“内”观与“他者”的目光 ——梁漱溟、费孝通对“乡村建设”中“礼俗”的不同理解☀全球治理变局与中国—波兰关系 ——直面当前世界热点问题的高端对话
9,2017,10,2017-10,江海学刊,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,8.5,0.0,16.0,0.0,1011.0,505.5,0.0,851.0,0.0,0.0,0.0,0.0,王建华 || 权利抑或责任 ——革命情境下妇女解放的行动逻辑☀杨笛 金一虹 || 技术、性别与社会变迁 ——20世纪20～40年代费达生与她的女性团队技术实践研究
