,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,社会科学辑刊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2017,2,2017-2,社会科学辑刊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2017,3,2017-3,社会科学辑刊,7.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,2.4285714285714284,0.0,2.4285714285714284,0.0,904.0,129.14285714285714,0.0,454.0,0.0,0.0,0.0,0.0,工业化时期英国自耕农数量的动态变化——以农业劳动生产效率的计量与比较为视角☀软实力助推“一带一路”建设☀上海社会科学院软实力研究中心成立仪式暨“一带一路”软实力研究论坛盛大开幕！☀慧识君诚邀您品读《社会科学》！☀慧识君诚邀您品读《社会科学》！☀【会议预告】“上海社会科学院软实力研究中心”揭牌仪式暨“一带一路”软实力研究论坛☀2017年第3期
3,2017,4,2017-4,社会科学辑刊,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,36.0,0.16666666666666666,6.0,0.16666666666666666,6.0,1.0,1728.0,288.0,0.16666666666666666,716.0,0.0,0.0,0.0,0.0,荐号||两千多种社科类期刊，每年75万篇的论文生产，你是否被海量信息砸晕？☀“计划生育”的叙事向度与写作难度☀全球治理的价值问题研究☀虚构与非虚构：王世贞《嘉靖以来首辅传》论演☀新刊速递 || 2017年第4期目录☀意欲现象学的开端与发展——普凡德尔与胡塞尔的共同尝试
4,2017,5,2017-5,社会科学辑刊,5.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,29.0,0.4,5.8,0.4,5.8,2.0,1282.0,256.4,0.4,496.0,1.0,0.0,0.0,0.0,春秋时代的伦理道德结构☀阳明学的道问学开展途径——论蕺山学派格物思想的哲学义蕴☀“成礼三驱”：汉唐时期“三驱”礼衍变述论——以蒐狩礼的建设为线索☀新刊速递||2017年第5期☀无意识：马克思意识形态批判思想中被遮蔽的维度
5,2017,6,2017-6,社会科学辑刊,4.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,15.0,0.25,3.75,0.25,3.75,1.0,1091.0,272.75,0.25,587.0,2.0,0.0,0.0,0.0,梅洛-庞蒂早期哲学与精神主义☀海上丝路的经典案例：东印度公司与18世纪欧洲的“中国风”☀论海德格尔“四重一体”思想的起源 ——基于《黑皮笔记》（GA 97）的文本分析☀新刊速递 || 2017年第6期目录
6,2017,7,2017-7,社会科学辑刊,5.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,10.0,0.0,2.0,0.0,2.0,0.0,937.0,187.4,0.0,427.0,0.0,0.0,0.0,0.0,论自由贸易区试验下中央银行的货币定价权☀海外学者的中国女性作家想象 ——以夏志清、梅仪慈、颜海平的丁玲研究为中心☀新刊速递 || 2017年第7期目录☀现象学的本体论：论萨特的《存在与虚无》对现象学的贡献及其遗留问题☀“规范期待”与“谨慎戒备”——二重性国家理论的建构
7,2017,8,2017-8,社会科学辑刊,4.0,4.0,0.0,3.0,0.0,1.0,1.0,0.0,13.0,0.0,3.25,0.0,3.25,0.0,990.0,247.5,0.0,496.0,0.0,0.0,0.0,0.0,儒家性朴论：以孔子、荀子、董仲舒为中心☀超越分歧：社会工作整合理论及其应用☀融合与分离：作为一种再现的巫术、文字与影像世界的构成☀央行货币互换：对国际货币体系的影响
8,2017,9,2017-9,社会科学辑刊,4.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,21.0,0.0,5.25,0.0,5.25,0.0,1313.0,328.25,0.0,424.0,0.0,0.0,0.0,0.0,新刊速递 || 2017年第9期目录☀趣味区隔功能的流变☀新刊速递 || 2017年第8期目录☀从皇侃对《论语义疏》的解读看六朝经典诠释学之发展
9,2017,10,2017-10,社会科学辑刊,4.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,18.0,0.25,4.5,0.25,4.5,1.0,2521.0,630.25,0.25,1180.0,0.0,0.0,0.0,0.0,哲学：思向何方☀当代中国人的生育意愿：我们实际上知道多少？☀新刊速递 || 2017年第10期目录☀座次、身份认同与职业选择 ——中国西部底层乡校再生产的日常研究
10,2017,11,2017-11,社会科学辑刊,4.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0,1095.0,273.75,0.0,459.0,0.0,0.0,0.0,0.0,北魏军镇起源新探☀新刊速递 || 2017年第11期目录☀情感观念与当下中国电影的认知误区☀整体之诚与继善-成性  一一王船山对孟子道德哲学的诠释
11,2017,12,2017-12,社会科学辑刊,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,17.0,0.0,5.666666666666667,0.0,5.666666666666667,0.0,1186.0,395.3333333333333,0.0,595.0,0.0,0.0,0.0,0.0,我国社会工作行政化发展模式及其转型☀新刊速递 || 2017年第12期目录☀明清江南市镇及其文学群落的形成——以空间分布、流动汇聚、环境生态为视角
12,2018,1,2018-1,社会科学辑刊,4.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,16.0,0.25,4.0,0.25,4.0,1.0,2045.0,511.25,0.25,1217.0,0.0,0.0,0.0,0.0,十八大以来中国外交理论与实践的重大创新☀论十八大后中国国际政治话语体系的构建☀新刊速递 || 2018年第1期目录☀秦汉六朝时期吴越地区人文地理演化进程
13,2018,2,2018-2,社会科学辑刊,3.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,22.0,0.3333333333333333,7.333333333333333,0.3333333333333333,7.333333333333333,1.0,3337.0,1112.3333333333333,0.3333333333333333,1340.0,0.0,0.0,0.0,0.0,《社会科学》2018年第2期目录☀百年中国的美感变迁（2）——以中国画为中心☀百年中国的美感变迁（1）——以中国画为中心
14,2018,3,2018-3,社会科学辑刊,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,1130.0,1130.0,0.0,1130.0,0.0,0.0,0.0,0.0,《社会科学》2018年第3期目录
15,2018,4,2018-4,社会科学辑刊,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,11.0,0.5,5.5,0.5,5.5,1.0,1487.0,743.5,0.5,1113.0,0.0,0.0,0.0,0.0,《社会科学》2018年第4期目录☀中国“美学”学科的最初确立——以最早的三部《美学概论》为研究个案
16,2018,5,2018-5,社会科学辑刊,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,9.0,0.0,3.0,0.0,3.0,0.0,1610.0,536.6666666666666,0.0,737.0,0.0,0.0,0.0,0.0,《社会科学》2018年第5期目录☀民族主义内涵嬗变与中国现代化的道路选择☀晚清海防专款筹议述论
17,2018,6,2018-6,社会科学辑刊,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,1475.0,1475.0,0.0,1475.0,0.0,0.0,0.0,0.0,《社会科学》2018年第6期目录
