Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,《东南学术》征订信息，欢迎一键订阅,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653809036&idx=1&sn=bdc1b5fffbb988d50bb222f6e5f33090&chksm=8bbf44b3bcc8cda51ecc40cfb277caf9e6c41d729abb1c7eac80067e5685322587ee09c5268d#rd,1,2022-10-27,0.0,1.0,1.0,1.0,471.0,2.0,3.0,,,,
1,陈恩维｜李贽、利玛窦的交友与晚明中西友道互鉴,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808313&idx=1&sn=d516a198bc7d9d90f20de33b23949cd2&chksm=8bbf4b86bcc8c2909af6908c12a58012e56392142c237269ffbdf342b11f8a75d864b685a86d#rd,1,2022-10-19,0.0,1.0,1.0,1.0,1022.0,16.0,170.0,,,,
2,《东南学术》2022年编委会在福州召开,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808307&idx=1&sn=c9b631039292d5bb0646d7c8b9705c13&chksm=8bbf4b8cbcc8c29aa0f9b1bacc6b279ffc8ef3ce84faf2146fadd7ec6ca191a4eeceb24aa09f#rd,1,2022-10-18,0.0,1.0,1.0,0.0,1449.0,4.0,8.0,,,,
3,傅捷　华生　汲铮｜关键历史节点与资本市场股票发行制度演进,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808169&idx=1&sn=7e194d8faa085fae12067f88616efdc8&chksm=8bbf4b16bcc8c20073d534af19e5e1e3f5714696917ccca42f36df51a35c3d02979fb38bd113#rd,1,2022-10-17,0.0,1.0,1.0,1.0,332.0,2.0,5.0,,,,
4,胡慧芳　欧忠辉　唐彤彤｜财税政策对企业研发的影响实效——以战略性新兴产业为经验证据,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808163&idx=1&sn=fd01dae5f211e3181a01f90cf4a02156&chksm=8bbf4b1cbcc8c20af3ffca701431e1cfa9d9bc86ae4bea0662706148207280f803943a964b21#rd,1,2022-10-14,0.0,1.0,1.0,1.0,238.0,0.0,8.0,,,,
5,佘雪琼　龙登高｜明清桑园围管理制度的演变：一个与集体身份交互的过程证,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808147&idx=1&sn=44cea3a863cabc4815cdc34e299881a0&chksm=8bbf4b2cbcc8c23a8855e20393ce0d410200a923d32a8bae35fcf8ec9212e55825391ceb199e#rd,1,2022-10-13,0.0,1.0,1.0,1.0,340.0,2.0,4.0,,,,
6,常　飞｜论我国期货和衍生品市场监管的改革路径,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808061&idx=1&sn=92b0bb190073341e828ef155e99b114d&chksm=8bbf4882bcc8c194501d037d0f5e10a86462a1c7ab5342d8c1de0a293c7545f62dbc79bf557c#rd,1,2022-10-12,0.0,1.0,1.0,1.0,296.0,0.0,2.0,,,,
7,黄克剑｜《庄子·养生主》意脉阐证,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653808018&idx=1&sn=8de8a27d2cb7486768f3f440f6e39ffa&chksm=8bbf48adbcc8c1bb8c88c97973fed4d752f0327097c496d8197debb927f4ae8a9ea9b7912b89#rd,1,2022-10-11,0.0,1.0,1.0,1.0,392.0,1.0,5.0,,,,
8,程　宇｜数字金融发展对产业结构的影响效应与作用机制,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807995&idx=1&sn=126845b7d9cad39b7ffc248f7c12351d&chksm=8bbf4844bcc8c15282018b1c46ccac259e880c577aa724fcec5e5172bd229b56404bf189224f#rd,1,2022-10-10,0.0,1.0,1.0,1.0,286.0,0.0,5.0,,,,
9,陈　熹｜法定数字货币中的个人信息保护,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653807957&idx=1&sn=d1935ced52ec44f6bf54f9c6a793d60c&chksm=8bbf486abcc8c17c52b0eddccb9f391ed712dfedd8a941f234a8b038e7d1b3e2e656cbf445fd#rd,1,2022-10-9,0.0,1.0,1.0,1.0,354.0,2.0,6.0,,,,
