Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,杨   东，梁伟亮 | 论元宇宙价值单元：NFT的功能、风险与监管,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247496088&idx=1&sn=685f696349322afe1fc768375300cf5c&chksm=e938c1d3de4f48c550464c98d2d3e70d6d83fcd8474cf271d8bc4bd0d6fc1e40f2cc6a4a76e8#rd,1,2022-11-9,0.0,1.0,1.0,1.0,2002.0,8.0,8.0,,,,
1,马   驰 | 从民盟一届二中全会到一届三中全会：民盟的“政治天平”向左倾斜,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247496079&idx=1&sn=9dc4f63ced636894b9e49c114a5b4be6&chksm=e938c1c4de4f48d2e6a62db5f94d8c5faef6e35479d748cc23abfdf4e3c9ab5dfc7469746e8c#rd,1,2022-11-8,0.0,1.0,1.0,1.0,535.0,7.0,10.0,,,,
2,《学习与探索》2022年第10期,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247496028&idx=1&sn=b94e04cf81afa6f1115d96d331356912&chksm=e938c117de4f4801da3f9ddf1c8dd3c5d261417d71f83c7677716f82faa9661b3e14f2f958be#rd,1,2022-10-31,0.0,1.0,1.0,0.0,2991.0,6.0,13.0,,,,
3,李勇坚，张海汝 | 推动元宇宙与文化产业融合发展,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247496017&idx=1&sn=efacf48e6897d38c1977405461932b93&chksm=e938c11ade4f480cf4a699316e45cd50ce792b025c53d51c5ab18cc9b2fe702a75b55caba2dd#rd,1,2022-10-25,0.0,1.0,1.0,1.0,434.0,2.0,4.0,,,,
4,唐   琦，夏庆杰，李   实 | 中国城乡居民家庭消费总量和结构变化了吗？——1995—2018,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247496011&idx=1&sn=3e735c32b3e25c50318ac3d1785ec99d&chksm=e938c100de4f48167b663d3768e5182dba71272c3973af7fec0a6127669740074d7714004aed#rd,1,2022-10-21,0.0,1.0,1.0,1.0,588.0,1.0,1.0,,,,
5,姚树洁，刘   嶺 | 新发展阶段东北地区高质量发展探究,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247496004&idx=1&sn=c466ee1971866dfee3c1330ce2078aa1&chksm=e938c10fde4f48196558e0813e1008485d4461619ba742179175f7f5a46713a00b4178b4715f#rd,1,2022-10-19,0.0,1.0,1.0,1.0,369.0,1.0,0.0,,,,
6,吴晓明 | 世界历史与中国式现代化,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247496003&idx=1&sn=563f3113cc3d4b79ffe01b0b66ca1dcb&chksm=e938c108de4f481e960f4668885553bfdce0276fb0cea204169470e2b5f0452db57051ea6f0f#rd,1,2022-10-17,0.0,1.0,1.0,0.0,4844.0,20.0,21.0,,,,
7,吕   铁，李   冉 | 制造企业数字化转型：数据要素赋能传统要素的视角,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247496001&idx=1&sn=24178dd0f372c05e7c468f91a74d52bc&chksm=e938c10ade4f481c06e28db1a2bfe53aa5a426bbbdf2cf5fd9f14d1f9ac33ea31cdd08cad48e#rd,1,2022-10-14,0.0,1.0,1.0,1.0,747.0,4.0,4.0,,,,
8,祁志祥 | 贵“人”轻“天”：《诗经》思想史价值的重新发现,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247495967&idx=1&sn=d1b46913b332ba1c33f7f5681397fb09&chksm=e938c154de4f48427f6d1ae0910fe37fdf254f767bd12775c3e8b23296c2410033bf8eacaa3d#rd,1,2022-10-12,0.0,1.0,1.0,1.0,380.0,1.0,2.0,,,,
9,谢   静 | 马克思价值形式理论阐释范式转换及其在21世纪的意义,http://mp.weixin.qq.com/s?__biz=MzIzODM2NDk2NA==&mid=2247495939&idx=1&sn=2a682c52d36acc1830bcea772326e598&chksm=e938c148de4f485e336c4d0f52b20c1c12186750862dbd72bde6ac97d345851dfc265ac850c3#rd,1,2022-10-8,0.0,1.0,1.0,1.0,896.0,1.0,3.0,,,,
