Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,宁夏社会科学院组织收听收看中国共产党第二十次全国代表大会开幕会,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486104&idx=1&sn=16224229566149ba257ead43fde69a58&chksm=e88367f6dff4eee00319a25fef4d78dde5830006c28b61da77f1e92d85d597608938759888a8#rd,1,2022-10-19,0.0,1.0,1.0,0.0,86.0,0.0,2.0,,,,
1,宁夏社会科学院领导慰问滨河家园一村驻村工作队,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486104&idx=2&sn=71714f446dde2dd1b9b5b93a726cb991&chksm=e88367f6dff4eee095324bf949f0dbaab458d3c78ededbb15ce12cc906e77842cad2470a0ea6#rd,2,2022-10-19,0.0,1.0,1.0,0.0,76.0,0.0,1.0,,,,
2,奋进在全面建设社会主义现代化国家的新征程上——宁夏社会科学院干部职工热议党的二十大报告,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486104&idx=3&sn=837ca99e893e7a1a8f0cdfba50714d78&chksm=e88367f6dff4eee07f3e1d568dc7aedd2c343c774dcf36a6b2be18b48ffe70f9796c0c9b5b6f#rd,3,2022-10-19,0.0,1.0,1.0,0.0,40.0,0.0,1.0,,,,
3,星火成炬 共克时艰 坚决筑牢疫情防控安全线,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486104&idx=4&sn=b993b7ec889329c3b651708fb8250ce7&chksm=e88367f6dff4eee07a12d33047edd9a04469169919caf4c1e9fb37f44fe4e7a0d5382f363ca8#rd,4,2022-10-19,0.0,1.0,1.0,0.0,21.0,0.0,0.0,,,,
4,工作要闻 | 宁夏社会科学院党组书记刘雨一行赴宁东基地调研,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486080&idx=1&sn=900e4ff2a81f5902d481a422863e0673&chksm=e88367eedff4eef8fc8df500061d19b3c5d009063972c2889302686140ba3bb9f72e563511e8#rd,1,2022-9-16,0.0,1.0,1.0,0.0,98.0,1.0,1.0,,,,
5,工作要闻 | 宁夏社会科学院党组理论学习中心组召开《习近平谈治国理政》第四卷专题学习会,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486080&idx=2&sn=c5e8c3d2c9c99646726b8ddc552f8596&chksm=e88367eedff4eef89e06bc51c68982d85795ce1972f382bf2c9c0329658c46a3249043751a9e#rd,2,2022-9-16,0.0,1.0,1.0,0.0,57.0,0.0,1.0,,,,
6,社科党建 | 历史研究所、图资中心党支部开展“以党建促科研—— 考察黄河横城渡口”主题党日活动,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486080&idx=3&sn=369a3ca829ef7c35ae747d0d7e60581c&chksm=e88367eedff4eef859b7a493860503c6a29d66d778366b89e2772949f928a9c1d7016a0da72a#rd,3,2022-9-16,0.0,1.0,1.0,0.0,33.0,0.0,0.0,,,,
7,学科动态 | 文化学科举办《电影<隐入尘烟>与乡村文化》学术沙龙,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486080&idx=4&sn=2c414be3c34cdfdf4e77e740a6399870&chksm=e88367eedff4eef828ce40118293302b5cf62a87e1ff601ee3fec9553b9d722500629b433099#rd,4,2022-9-16,0.0,1.0,1.0,0.0,34.0,0.0,0.0,,,,
8,工作要闻 | 宁夏社会科学院党组书记刘雨一行赴中国地方志指导小组办公室汇报对接扶贫志编纂工作,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486066&idx=1&sn=f72b77af081997f19b38e3c679bcd0c7&chksm=e883671cdff4ee0a49a43182235e42c057b6859898419cdae6ca7bd8134b67d13fb527029c5a#rd,1,2022-8-30,0.0,1.0,1.0,0.0,98.0,0.0,1.0,,,,
9,工作要闻 | 宁夏社科院举办“感恩奋进新征程 建设美丽新宁夏”主题演讲比赛,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247486066&idx=2&sn=253ed7b4656b5b2c3eaf4a242ebbed7e&chksm=e883671cdff4ee0a1ab6298232dcfc0831ddf81f37d5e4840eeed5f6e0d928684f3d8db24b54#rd,2,2022-8-30,0.0,1.0,1.0,0.0,161.0,1.0,6.0,,,,
