Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,《思想战线》“深入学习贯彻党的二十大精神”征稿启事,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502226&idx=1&sn=9bfd118a63c4c8338cc2c9fcc5177f08&chksm=8cfc4c61bb8bc577d14fef59627b20a285039cf6ea29d010beec41b12625f73ff70b51a5eb7e#rd,1,2022-10-20,0.0,1.0,1.0,0.0,3003.0,3.0,8.0,,,,
1,《思想战线》“深入学习贯彻党的二十大精神”征稿启事,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502225&idx=1&sn=34266872746b322e05e124d92e9aa2ef&chksm=8cfc4c62bb8bc574534281e0470cfda2f95dfe3081a3eb3dc9a7acba8a27fcf282b92e33ec3d#rd,1,2022-10-20,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
2,《思想战线》2022年第5期 “百年云大”校庆学术专栏：中国史——中华民族共同体研究,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502154&idx=1&sn=3166687ebb9f3968a38a97ddaa79a3d0&chksm=8cfc4db9bb8bc4af7e708054a496779fbaf18ae5e53b7be6eb85c366acdec9ce4a7d0024e2de#rd,1,2022-10-15,0.0,1.0,1.0,0.0,270.0,0.0,2.0,,,,
3,潘先林 | 融通“自在”与“自觉”：“中华民族历史整体发展论”新解——方国瑜《论中国历史发展的整体性》之二,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502154&idx=2&sn=5810fa63f2a5866798d18fbb7c60faa2&chksm=8cfc4db9bb8bc4afbfcde4b4afc53eeaf3e9a59ae909fa65c819ae8c72bcc7f07edb1a4ca01a#rd,2,2022-10-15,0.0,1.0,1.0,0.0,923.0,5.0,10.0,,,,
4,《思想战线》2022年第5期 “百年云大”校庆学术专栏：中国史——西南政治空间的历史整合,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502148&idx=1&sn=d6effd77bd0c9ef27153623ec2938527&chksm=8cfc4db7bb8bc4a19c7be0bf37b2a83418d4e682014c47d22e4c81c001ff4bfc7aab761d38a2#rd,1,2022-10-14,0.0,1.0,1.0,0.0,193.0,0.0,2.0,,,,
5,杨伟兵 | 中国土司历史地理与西南边疆民族史研究,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502148&idx=2&sn=37c3cc3728ab7f24814f908cdc6a59f5&chksm=8cfc4db7bb8bc4a15ea90e69873958630088c28f9a64de6395563d4b866909903c1de36b36b8#rd,2,2022-10-14,0.0,1.0,1.0,0.0,385.0,1.0,6.0,,,,
6,董雁伟 | 水权制度演进与明清基层社会——以云南为中心,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502148&idx=3&sn=31e05b5a9ba9ba4c567443e1f7c340b0&chksm=8cfc4db7bb8bc4a1f8e77742a80b8d387f679f0fbaaf7dda9c9c7484700bc9c87aa6e5674e59#rd,3,2022-10-14,0.0,1.0,1.0,0.0,696.0,2.0,8.0,,,,
7,刘灵坪 | 明清云南土司地区赋役征收及少数民族编户问题探析,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502148&idx=4&sn=e9f827b7f1eddaf1bd2e4d3d740b6ba3&chksm=8cfc4db7bb8bc4a1feb88a44b4354eab78ad3f2e3296e5af65342e58f071e5f06a25658d1a8d#rd,4,2022-10-14,0.0,1.0,1.0,0.0,957.0,1.0,7.0,,,,
8,《思想战线》2022年第5期 “百年云大”校庆学术专栏：中国史——中国边疆学,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502144&idx=1&sn=b0e589e3128b41cd24a12d7eec02576e&chksm=8cfc4db3bb8bc4a5ebce8572cc617008e17a172a71583d600e163487e99b6e2c43006fab36f0#rd,1,2022-10-13,0.0,1.0,1.0,0.0,194.0,0.0,2.0,,,,
9,李大龙 | “边疆”与“中国”的交融——理解和诠释中国疆域形成与发展的路径,http://mp.weixin.qq.com/s?__biz=MzIxNDE2OTYyOA==&mid=2661502144&idx=2&sn=1f681129bf7774677061e3f027f5d438&chksm=8cfc4db3bb8bc4a5936a0fec86acd4cfecb235bc1c89165f2dbb1c4cac1ff8698c0954806669#rd,2,2022-10-13,0.0,1.0,1.0,0.0,1304.0,4.0,7.0,,,,
