Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num
0,关于新时期进一步推动中小企业群体高质量发展的路径研究——基于培育“专精特新”中小企业视角,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491765&idx=1&sn=64f73840a502a40a8905a900e93bf4c2&chksm=c1708fe6f60706f09f0053117578559e15d447caae2312d4fc22df80c163fd3a4c96342868e2#rd,1,2022-11-11,0.0,1.0,1.0,1.0,157.0,0.0,1.0
1,整合与赋能：元宇宙促进数字经济发展的路径探索——从元宇宙与数字经济之间的关系说起,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491713&idx=1&sn=59892c0084b7b7304ff64bb2ce372a21&chksm=c1708fd2f60706c4cd8be549a03cfb51b4b75cd4d5f99c2bc4d8facf856cfb8ef7e0b5bb8af1#rd,1,2022-11-8,0.0,1.0,1.0,1.0,291.0,2.0,3.0
2,数字普惠金融对我国共同富裕的影响研究,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491707&idx=1&sn=1400952f7fa7004e3a417222ddd0575f&chksm=c1708f28f607063ecb1689bbdd1562001b9cec9ad08c719fc483e41dc081637036de7bb8e020#rd,1,2022-11-4,0.0,1.0,1.0,1.0,266.0,1.0,2.0
3,共同富裕愿景下南北方区域协调发展的战略要点与政策转向,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491679&idx=1&sn=f327fea69439639242f03f2cad1302c7&chksm=c1708f0cf607061a2689b26ac2980cb84242b0e64da87ab128aa435b59a1eb78a6a5b3506fe9#rd,1,2022-11-1,0.0,1.0,1.0,1.0,256.0,1.0,2.0
4,共同富裕与贫富差距：问题、争议与共识,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491671&idx=1&sn=530bac85f968f471077f4d859261f2ad&chksm=c1708f04f6070612c17f8f5efa95feeccbc69df0721704bd0caff2ec269b4fcf99e1adebf9da#rd,1,2022-10-28,0.0,1.0,1.0,1.0,517.0,1.0,4.0
5,强党建设引领强国建设的基本维度,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491565&idx=1&sn=04e21561e85afb3079d7580ba4f9b9c3&chksm=c17370bef604f9a8daec266a57807ded627a35636bc9b13cae42227e5ef64ed1539731d11926#rd,1,2022-10-25,0.0,1.0,1.0,1.0,280.0,0.0,2.0
6,《新疆社会科学》2022年第5期（总第240期）目录、内容摘要及投稿须知,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491555&idx=1&sn=72d967989627bae86c9d7f98d59f5584&chksm=c17370b0f604f9a6aad9fbc6338863de7e24787d4b87bb7cda4a6b46e1d5f1f37e8b57e1d214#rd,1,2022-10-21,0.0,1.0,1.0,1.0,1140.0,2.0,6.0
7,习近平外交思想的哲学基础析论,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491538&idx=1&sn=3e61261d4c87bdd94ba1ea9fa7600ded&chksm=c1737081f604f997917b17838e40b5a37398669298404b0c1a72aec81c80b08a4cfb053502b0#rd,1,2022-10-18,0.0,1.0,1.0,1.0,380.0,0.0,2.0
8,第三次分配中的网络慈善：价值意涵与实现路径,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491530&idx=1&sn=265c1af5945d5f7b2e1ecb9d7874e02b&chksm=c1737099f604f98f39a44e5552c8be08c93ae64a2937db3deaba84dd14166cee22aa9255ed48#rd,1,2022-10-14,0.0,1.0,1.0,1.0,208.0,2.0,3.0
9,坚持党对全面依法治国的领导,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491529&idx=1&sn=72b265347a28502ec27acfea6d43fa6e&chksm=c173709af604f98ce97be1d59f6ea219e3597f67300931669e114cf093fe4ebf4839fef85d1e#rd,1,2022-10-13,0.0,1.0,1.0,0.0,230.0,1.0,3.0
10,新时代共同富裕的时代内涵、长效困境与实现路径,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491223&idx=1&sn=bf160e45d215189b424865f30cdc45e1&chksm=c17371c4f604f8d2a846eb1c2db496370dc159e0fedb552ad6783045ee7783c5c93661a67925#rd,1,2022-10-11,0.0,1.0,1.0,0.0,543.0,2.0,4.0
11,国有企业扩大了地区经济差距吗？——基于市场分割与产业集聚双重视角的经验考察,http://mp.weixin.qq.com/s?__biz=MzkxNDE5Mjk1Ng==&mid=2247491216&idx=1&sn=c5d2d81f2dadf6946ad46af527428723&chksm=c17371c3f604f8d592081fd44b96968372a8d9815744b0d5253126209f8d9bb25fe40cba2fc1#rd,1,2022-10-7,0.0,1.0,1.0,1.0,333.0,1.0,4.0
