Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num
0,刊文推介||黄燕芬  刘志成：建设全国统一大市场的理论逻辑与推进路径,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247487007&idx=1&sn=f914a51e09b6f2dbea20e44e9e51dbb3&chksm=c197e71df6e06e0b3a839958c896468d04a3c902fef480e61ad77c0b9eb3f44cda87f75cd854#rd,1,2022-11-9,0.0,1.0,1.0,0.0,152.0,0.0,0.0
1,刊文推介||王威威：论《管子》中道与法的连接,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486992&idx=1&sn=53596262af47c2e20aca08f08d65c5cd&chksm=c197e712f6e06e0494cde8607c6c53c3364be564cef7a965b6f4077c0457445ea49677e2f4ee#rd,1,2022-11-8,0.0,1.0,1.0,0.0,451.0,2.0,1.0
2,刊文推介||查金萍：《御选唐宋诗醇》与清代韩愈诗歌的接受,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486977&idx=1&sn=4be9c54c7ef2ca9a090f2025ab00b93e&chksm=c197e703f6e06e153e0f1cf7861bea0b51371173408cf82316b1e9d72867fdbefad5bb50a57d#rd,1,2022-11-7,0.0,1.0,1.0,0.0,201.0,0.0,2.0
3,《江淮论坛》关于“深入学习贯彻党的二十大精神”专栏征稿启事,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486965&idx=1&sn=a6844db9cd5ea20714900245ba0778c1&chksm=c197e4f7f6e06de1b70bc3021a1b9f0c6cef6d3392572755c9dc369656b5fca54cd541ca7503#rd,1,2022-11-6,0.0,1.0,1.0,0.0,811.0,1.0,2.0
4,刊文推介||关保英： 行政公益诉讼受案范围类型化的缺陷及理性回归,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486941&idx=1&sn=95fcf3f1d855bde4226d93cf6855fd6a&chksm=c197e4dff6e06dc9c6c9d0fb0420dcff65371919ba8dc1f6c192ec7a54d958a5adcef0cc3039#rd,1,2022-11-5,0.0,1.0,1.0,0.0,557.0,3.0,1.0
5,刊文推介||曾一果：技术和艺术的分化与再融合——元宇宙与数字媒介技术的想象力,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486940&idx=1&sn=fdca6c212fb2582a4d512018d5280b4c&chksm=c197e4def6e06dc8582f074f40168bdc619c5d3e84681b56879d8e48eebcf869a6bc9da8a0bb#rd,1,2022-11-4,0.0,1.0,1.0,0.0,295.0,0.0,0.0
6,刊文推介||魏义霞：严复解读《老子》的多重视界及其反响,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486921&idx=1&sn=511e2ccb1519e7c397a007ba2a37d00f&chksm=c197e4cbf6e06ddd4dca841bf6686fa579a46b5d38eadf27a0ae9492023862b1b13e842e6e92#rd,1,2022-11-3,0.0,1.0,1.0,0.0,239.0,1.0,1.0
7,刊文推介||我国耕地“非农化”“非粮化”的现状与对策,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486885&idx=1&sn=ef09568f8cc77f87dbd9388490fd8006&chksm=c197e4a7f6e06db12093334bcd3d7ac77908005b3c65af128132482df308e3ee1f76490e2c30#rd,1,2022-11-2,0.0,1.0,1.0,0.0,216.0,0.0,3.0
8,刊文推介||作为想象性文明形态的元宇宙及其制度化建构研究,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486869&idx=1&sn=b032d69b2f882ed116a267885c9636bd&chksm=c197e497f6e06d8111703ddc0f242f3708b64f98610d4d1a99b8b1e9369c44da664aa4372306#rd,1,2022-11-1,0.0,1.0,1.0,0.0,430.0,0.0,1.0
9,《江淮论坛》2022年第4期目录和摘要,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486857&idx=1&sn=bece94f4480040eba3fa89680cacf9eb&chksm=c197e48bf6e06d9d630988dc93c761b61b2d51dccd87d78d22360d92f80c0d14beab2904dc03#rd,1,2022-10-28,0.0,1.0,1.0,0.0,2563.0,2.0,6.0
10,刊文推介||清华简《五纪》思想探微,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486758&idx=1&sn=3dfa869903e737183e012a4e15584cff&chksm=c197e424f6e06d32ffca7c1df970045a88d36acd437b9bfc42bcb62240b1752cb3ac42cb544f#rd,1,2022-9-16,0.0,1.0,1.0,0.0,360.0,0.0,1.0
11,刊文推介||试论清华简《五纪》的德目,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486757&idx=1&sn=757ba15d340fc38723defffe2cf1e75c&chksm=c197e427f6e06d31caf9c8ece9ef9af500881b5b71d93295a2e744b5cd3106d02e578e16d8e3#rd,1,2022-9-13,0.0,1.0,1.0,0.0,342.0,0.0,3.0
12,刊文推介||晚清民国徽戏抄本《八阵图》叙考,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486754&idx=1&sn=942e7f1fec7a5ac88c3f8b0710afe9d9&chksm=c197e420f6e06d36e606f92137a82015095334598ff822a57783ec57d0436a31696d58f2bcce#rd,1,2022-9-9,0.0,1.0,1.0,0.0,448.0,2.0,5.0
13,刊文推介||中国共产党共同富裕思想的三重逻辑,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486753&idx=1&sn=b051e7d4f7f6f608d6b67bf458790b72&chksm=c197e423f6e06d35363c491e6958fce073b0ddab0f9bd931595e72ac7d97d11cd392e910f9d0#rd,1,2022-9-6,0.0,1.0,1.0,0.0,450.0,0.0,1.0
14,刊文推介||新时代推进人民政协协商制度建设的探索与思考,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486752&idx=1&sn=7ac19112e2b9a56d64542d3df9fec273&chksm=c197e422f6e06d34b5228fdcb40e2411c54a78e7b784b9b94f06242ffb9eeaace4f18393e954#rd,1,2022-7-26,0.0,1.0,1.0,0.0,259.0,1.0,2.0
15,刊文推介||清华简《五纪》的“中”观念研究,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486529&idx=1&sn=84c5a2e2473d9a5800b43b9dd044304e&chksm=c197e543f6e06c55bfc7bd4a116de3b54384a03452622bde2f231a2c7c75dc2e0fe76f96a8c5#rd,1,2022-7-22,0.0,1.0,1.0,0.0,770.0,4.0,6.0
16,刊文推介||新时代长三角区域经济健康发展的路径研究,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486501&idx=1&sn=f5cbbe4dbe42f53bea4121c4cef5e8ea&chksm=c197e527f6e06c313bdd32278676c84c3b5dc2c0622160b7a14f252ca98735bc717ba2d2cd2d#rd,1,2022-7-21,0.0,1.0,1.0,0.0,197.0,2.0,3.0
17,刊文推介||人类命运共同体的哲学透视,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486436&idx=1&sn=8d89619275a69106a9fadca41152a09e&chksm=c197e2e6f6e06bf088828c077befa1b9d4c7049f5d33a16c54b84c1f1b839ef4e345cb5d88d8#rd,1,2022-7-19,0.0,1.0,1.0,0.0,525.0,1.0,3.0
18,《江淮论坛》2022年第3期目录和摘要,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486372&idx=1&sn=60e1c6627c37b02f901e56a75b815d49&chksm=c197e2a6f6e06bb09f4e0264c63fc00db05d36b202f4141899c3c23a75fd2f18a88249c003fe#rd,1,2022-7-16,0.0,1.0,1.0,0.0,2816.0,3.0,9.0
19,刊文推介||新型主流媒体舆论引导的策略传承、手段创新及其效度量化——基于新媒体内容治理为中心的考察,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486114&idx=1&sn=0bb27b3fdeff1a3a0aefa5e378b1311e&chksm=c197e3a0f6e06ab6e622cc4ab3ebd05d3b008f86b9bc553f1b588d5931da9157290be22aeaf2#rd,1,2022-6-22,0.0,1.0,1.0,0.0,307.0,0.0,2.0
20,刊文推介||低生育率：怀疑、再调查与重复验证,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486113&idx=1&sn=df937992ad82718c2e12826fb37be92c&chksm=c197e3a3f6e06ab59b0e775d2dc347ff33f342b5a183557793ea14391f38afbf5bfb006a337c#rd,1,2022-6-21,0.0,1.0,1.0,0.0,1181.0,1.0,5.0
21,刊文推介||中国全球经济战略：演进历程、阶段划分及路径选择,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486093&idx=1&sn=f181e8db9f9f7fe8466be92b51da76c3&chksm=c197e38ff6e06a99b37aff75fc2d5a3b8bbfc9fdedc704a0dbbebc53d3cdf206cd38461fd801#rd,1,2022-6-17,0.0,1.0,1.0,0.0,131.0,1.0,1.0
22,刊文推介||中国乡村治理现代化的演进逻辑与路径选择,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486077&idx=1&sn=b26058e0bfb52971ac51b1b5d41ba65e&chksm=c197e37ff6e06a6925190480fd376adcc26f481505d74f7efa4eef6ddf920eae23a5ad888793#rd,1,2022-6-15,0.0,1.0,1.0,0.0,519.0,3.0,4.0
23,刊文推介||“元宇宙”现象的历史唯物主义探析,http://mp.weixin.qq.com/s?__biz=MzkyMDE5MTA4NQ==&mid=2247486046&idx=1&sn=0e4da42b69371a2f3dc86ba306821c24&chksm=c197e35cf6e06a4aa3b394df679516a4eb8ed14546af8e864a6f55b7fc1b9b1b6f4ff7ac5d09#rd,1,2022-6-10,0.0,1.0,1.0,0.0,807.0,2.0,11.0
