Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,【博导新论】李晓钟：我国制造业高质量发展评价与区域差异比较研究（2022年08期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655220&idx=1&sn=0d5ba60239332ad184f4e6b8bd587200&chksm=872ede45b0595753dc6a3ab83fee591eef30b804ba8666a302bd2ab8d9e172914626d9b24651#rd,1,2022-11-21,0.0,1.0,1.0,0.0,108.0,1.0,1.0,,,,
1,【名家特稿】任晓明：因果推理的跨学科跨文化探索（2022年08期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655187&idx=1&sn=a2ff73a821b8e86f3d7ae2d9690718d7&chksm=872ede62b05957746fa9d5fa643204cd6d765b72123e3602957ee8d530fe721885f30e260c11#rd,1,2022-11-18,0.0,1.0,1.0,0.0,117.0,1.0,1.0,,,,
2,【名家访谈】任晓明，李晟：因果推理和因果认知：当代逻辑与哲学发展的一个新的生长点（2022年08期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655179&idx=1&sn=e29d19f5d38821d1d029006d0bd24f17&chksm=872ede7ab059576cd3fec0cb331bc6f2b8b91e7fefeaaf9f36bc59f1ee471ddd7d34d11cf54b#rd,1,2022-11-16,0.0,1.0,1.0,0.0,163.0,2.0,2.0,,,,
3,《社会科学家》2022年08期封面、目录及摘要,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655167&idx=1&sn=cc042506d0f90960d14bd169f1505f4e&chksm=872ede0eb0595718dec849cbba451b936fdadb4bcce4dde329889cf7330785a2014efaa8ec76#rd,1,2022-11-14,0.0,1.0,1.0,0.0,861.0,3.0,3.0,,,,
4,【政治文明与构建和谐社会】雷明，邹培：侍亲、事孝：农村老年防贫与孝道帮扶（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655157&idx=1&sn=0de8ccf55126bfbaaf76cdd86f8f1b32&chksm=872ede04b05957120f97f7c9083ce756320c71dece42fd9a6b5a5ce52b6e973058b7a8affb8a#rd,1,2022-11-10,0.0,1.0,1.0,0.0,104.0,2.0,2.0,,,,
5,首届世界级旅游城市发展论坛会议通知,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655142&idx=1&sn=55269a12112980644a9b0fde94b71f0e&chksm=872ede17b0595701496c46ea7efd5c5f943c846ee7f5720fbfa594e88f4f76bb89bccf129dd9#rd,1,2022-11-9,0.0,1.0,1.0,0.0,200.0,1.0,3.0,,,,
6,首届世界级旅游城市发展论坛会议通知,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655141&idx=1&sn=a9c2db571d341fd10d61a6b20545c05d&chksm=872ede14b0595702af06bb56ae14744e8e3ce7cca2494fa8d2bb5e9762c58afb50b87db6d227#rd,1,2022-11-9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
7,【经管新视野】靳晓东，闵俊棚，剧锦文：中国股权质押政策演进  ——基于政策文本分析（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655137&idx=1&sn=6487e6f9a0c7222e742c343c3c0cb245&chksm=872ede10b059570693ce249148f8cfd7245b68b00161378264c974834637a2af528d907b5b4f#rd,1,2022-11-7,0.0,1.0,1.0,0.0,110.0,2.0,3.0,,,,
8,【旅游理论与实践】黄爱莲：边境县域旅游兴边富民竞争力评价——以广西边境8县（市、区）为对象（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655122&idx=1&sn=d531558f3ffd372959420dde11e8bdc8&chksm=872ede23b0595735fc889ab94db95c5e1d56e8808e2043ec1b2897fdd362665db40066fe84a9#rd,1,2022-11-4,0.0,1.0,1.0,0.0,172.0,1.0,2.0,,,,
9,【哲学与当今世界】李萌：全领域基层党建融合发展：制度构造、实践模式及经验启示（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655108&idx=1&sn=a2177097634cc0c18c185e704774f490&chksm=872ede35b0595723e7b3277786a926fdf7928cde41213fa82c1a4ab7e3ecf59e48a4d6ea083f#rd,1,2022-11-2,0.0,1.0,1.0,0.0,151.0,1.0,1.0,,,,
10,【旅游理论与实践】赵临龙：基于西部陆海新走廊的张海旅游高铁构建分析（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655101&idx=1&sn=a2c7675ad0962e8c37f591e1d5540f52&chksm=872edfccb05956da45a5abeee9ff9c147d8c9f278514d30890f5e5ebc3167e1bfc9b0c805eb9#rd,1,2022-10-31,0.0,1.0,1.0,0.0,183.0,1.0,2.0,,,,
11,【旅游理论与实践】赵临龙：基于西部陆海新走廊的张海旅游高铁构建分析（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655100&idx=1&sn=ebb2968dadf79c06a37abbd75472cd45&chksm=872edfcdb05956dbda3d7fa6025d3addee10da7ded375a208a772b2745e53cbe8252f081029a#rd,1,2022-10-31,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
12,【博导新论】乌•纳钦：中国多民族文学互鉴关系论（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655082&idx=1&sn=e81f23d60a7920ba281300501385d9c5&chksm=872edfdbb05956cd4f7b7600e4e622232a7100f539ac7e8786145277d78e878130205fdc055c#rd,1,2022-10-21,0.0,1.0,1.0,0.0,425.0,2.0,4.0,,,,
13,【名家特稿】刘铁芳：出发与回返之间的生命选择——《诗经·君子于役》的教育哲学阐释（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655069&idx=1&sn=d12df501da8ead52ba61b006cf164ce9&chksm=872edfecb05956fa4e91e0755dcc4a9a2482adb407561b5b29a817e7f6c131fc6c059d5687d7#rd,1,2022-10-19,0.0,1.0,1.0,0.0,161.0,2.0,2.0,,,,
14,【名家访谈】刘铁芳，于宗助：在古今中西之间探寻中国教育的精神气象——教育部长江学者特聘教授刘铁芳访谈（2022年07期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655061&idx=1&sn=690791736a3044efe43f32e1d4ef031a&chksm=872edfe4b05956f2b6f56decb62085a9d778da9f28862cd2776d35cf35a97529df27f61896e4#rd,1,2022-10-17,0.0,1.0,1.0,0.0,242.0,1.0,2.0,,,,
15,《社会科学家》2022年07期封面、目录及摘要,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655049&idx=1&sn=11088c1fa1fa379f395e54d7ed98d7ed&chksm=872edff8b05956ee20689618198dd6bd7c7b8f7b7c59214ddaf99ee01b2957cb1bccd8e4c486#rd,1,2022-10-13,0.0,1.0,1.0,0.0,878.0,1.0,2.0,,,,
16,【语言与文化】雷璐荣：“快”与“慢”的博弈与共进：数字时代阅读的再思考（2022年06期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655040&idx=1&sn=afa4ba7d179cb1096c63b9c4e7bb8197&chksm=872edff1b05956e7d1ac6866ec6cd3c0b8a646893eec396a9fb7456e7a4315f07add60952c7f#rd,1,2022-9-23,0.0,1.0,1.0,0.0,168.0,1.0,1.0,,,,
17,【经管新视野】胡成：全球会计治理：本质、制度性话语权与我国的应对（2022年06期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655030&idx=1&sn=4751ef25a617669b6d319bd64bd658cd&chksm=872edf87b0595691dc9d914d4311b85dcfe3543d9fe1602264b152ac2a7472d5984a27d2b199#rd,1,2022-9-16,0.0,1.0,1.0,0.0,123.0,1.0,1.0,,,,
18,【经管新视野】顾兴全，危浩：标准国际话语权提升的影响因素——基于扎根理论的多案例探索（2022年05期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655023&idx=1&sn=1bd8288e2698bddf57f6afb9a8ab515a&chksm=872edf9eb05956884f8f3bf88544c89e228607f18e6035d64daefb9ce5f3e52f8aa73f1df05f#rd,1,2022-9-14,0.0,1.0,1.0,0.0,127.0,3.0,2.0,,,,
19,【法学与法制建设】杨胜荣，周雪操：刑事被追诉人涉案财物保障机制探究（2022年05期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655011&idx=1&sn=47a6e158f1abdfab94ce1a9ff114c15a&chksm=872edf92b059568442a438fd3ae515c416c816a1d2af67a8ad11f41768ca151d25cdc6ccd49d#rd,1,2022-9-10,0.0,1.0,1.0,0.0,105.0,2.0,1.0,,,,
20,【法学与法制建设】朱梦妮：行政权检察监督的三种模式（2022年05期）,http://mp.weixin.qq.com/s?__biz=MzA5NTkyNzkwMg==&mid=2456655004&idx=1&sn=902a473efaed7a8f4450af271a2005c8&chksm=872edfadb05956bbd9e4864d2fd3b20ac37c4acfafa99b9a36d040766226ad8b0f56227e8a57#rd,1,2022-9-9,0.0,1.0,1.0,0.0,111.0,2.0,1.0,,,,
