Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num
0,吕颖 ‖ 探索《中共中央关于党的百年奋斗重大成就和历史经验的决议》的认同路径 ‖《重庆社会科学》2022年第10期,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488111&idx=1&sn=e513711d37eb8ef1c69cc17db6054474&chksm=9fd0c8f6a8a741e0a215d69b5139ee9a391386a4e0b07eb8283b572ae4293013f2ec2d9e4b90#rd,1,2022-11-22,0.0,1.0,1.0,0.0,312.0,2.0,7.0
1,孙大伟 ‖ 中国共产党领导力的发展逻辑、表现形式与提升路径 ‖《重庆社会科学》2022年第10期,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488104&idx=1&sn=8180a798f8d5fe606e55d36d0c416ec4&chksm=9fd0c8f1a8a741e77379622fbbff08b8291a7b0836fc9c47920b09bd3d3875cdb34ce2b2fa78#rd,1,2022-11-15,0.0,1.0,1.0,0.0,176.0,0.0,0.0
2,曹胜 谭艺 ‖ 中国共产党对世界历史进程的深刻影响及启示 ‖《重庆社会科学》2022年第10期,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488097&idx=1&sn=90b2b905a8fb0d19b5925454928c60d4&chksm=9fd0c8f8a8a741ee34c445f8d21753674847c5aa10b3b7cc252dd8946ac0467aafc0ec413224#rd,1,2022-11-8,0.0,1.0,1.0,0.0,183.0,0.0,0.0
3,《重庆社会科学》学术影响力再上新台阶,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488090&idx=1&sn=cd1d2ce19adb65563306cc71590dd9c3&chksm=9fd0c8c3a8a741d510624a2dbb9c4b8173140210fe2de7275339a58437c8607a5334c89d87f6#rd,1,2022-11-3,0.0,1.0,1.0,0.0,754.0,2.0,6.0
4,《重庆社会科学》2022年第10期目录及内容摘要,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488084&idx=1&sn=1f5a7c057bbaf566492dd940c43cf833&chksm=9fd0c8cda8a741db8ab671681a2baf72d11082b7ba5cdb357c451983b6ad05a6e065dd9b1c84#rd,1,2022-11-1,0.0,1.0,1.0,0.0,988.0,1.0,1.0
5,敬官旭 ‖ 中国共产党坚持人民至上的生成机理与时代进路 ‖《重庆社会科学》2022年第9期,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488078&idx=1&sn=bf4621ecae27fb321d8c67ab9d768461&chksm=9fd0c8d7a8a741c11c92bd82f4aa61280f5e96126ceea604b6ec582e4bc6e83ae49756a95ac4#rd,1,2022-10-31,0.0,1.0,1.0,0.0,149.0,1.0,2.0
6,魏文锋  黄艺  魏彦  蒋凯 ‖ 乡村振兴视域下我国乡村教育研究知识图景与趋势分析 ‖ 《重庆社会科学》2022年第9期,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488077&idx=1&sn=73dc2f9ed33f5e98240e2841b4a781a1&chksm=9fd0c8d4a8a741c2f3d4fac559bac0445eed6917f500c4520993110430e7568c3fa2a302c80a#rd,1,2022-10-28,0.0,1.0,1.0,0.0,149.0,0.0,0.0
7,张立平 谢米隆 ‖ 我国民事诉讼调解政策的历史变迁与演进逻辑——基于历史制度主义分析,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488047&idx=1&sn=24e48e6f840052a2557e765ed58f4fcb&chksm=9fd0c8b6a8a741a007562452a63f185eedf6586b0d27e8880413584c6682a91e8fe81d907962#rd,1,2022-10-11,0.0,1.0,1.0,0.0,389.0,6.0,40.0
8,《重庆社会科学》恭祝大家国庆快乐,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247488046&idx=1&sn=e30e31919adf2fa5ae02bfd3f80b3de2&chksm=9fd0c8b7a8a741a130a3f3ec8a09aaec563c4732d61b699d2de39a213047d805546269619382#rd,1,2022-10-1,0.0,1.0,1.0,0.0,174.0,0.0,2.0
9,《重庆社会科学》2022年第9期目录及内容摘要,http://mp.weixin.qq.com/s?__biz=MzA4NTg1NjI0Ng==&mid=2247487995&idx=1&sn=a769b3e8159c87d1e183d2ca3a2bec27&chksm=9fd0cb62a8a7427406cc5c7ce8d9cdf9104b79d495d885e80fba63f8fbc90d7224dd73b80fb1#rd,1,2022-9-30,0.0,1.0,1.0,0.0,914.0,0.0,2.0
