Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num,content
367,韩水法 | 作为他者的自身——新文化运动中的中国认识与认同,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070780&idx=1&sn=e3dff3b6583a35101af335ae3d3933d5&chksm=8b46599abc31d08cfd7e38f6e625bab9b150b6f1f7986023e71ed711f717d1ef44b7754dc975#rd,1,2016-11-14,0.0,1.0,1.0,1.0,992.0,0.0,9.0,,,,,
366,高全喜 |卡尔霍恩的州人民主权论以及美国宪制结构的历史变革（下）,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070814&idx=2&sn=97510138aa47ae1a3e80f8e61024a3a1&chksm=8b4659f8bc31d0ee7ed70ab8a61152354d9e70486ef383d56c6e1cd00affa21dda7124979344#rd,2,2016-11-15,0.0,1.0,1.0,1.0,187.0,0.0,1.0,,,,,
365,高全喜 |卡尔霍恩的州人民主权论以及美国宪制结构的历史变革（上）,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070814&idx=1&sn=6323044ea5a5013b16ce085169c0ec15&chksm=8b4659f8bc31d0ee5349514a03c6422beb220db64d21e8f6deb0c908d5a2adfe4ebdaf655501#rd,1,2016-11-15,0.0,1.0,1.0,1.0,430.0,0.0,5.0,,,,,
364,朱人求 | 话语分析与中国哲学研究范式的转换,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070815&idx=1&sn=d27bde19b5b973296294ff1eae4237e5&chksm=8b4659f9bc31d0efcfbf52725717132b06d258dbeb9a857549bf6771dba85eb3535f102c1a6e#rd,1,2016-11-16,0.0,1.0,1.0,1.0,1400.0,1.0,3.0,,,,,
363,刘拥华 | 超越劳动叙事,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070816&idx=1&sn=0a899fcf1e33792b76688d200825b621&chksm=8b4659c6bc31d0d0818b9b4af3686666ebdfd4cf151501363d651bc7f54dfe3df9e72ce916df#rd,1,2016-11-18,0.0,1.0,1.0,1.0,994.0,0.0,7.0,多谢刘老师！大作已分享到弘扬中华文明、倡导正能量、广结学缘的“辣重庆”学术圈，福泽学林。,0,nan,nan,
362,陶磊 | 萨满主义与早期中国哲学中的神秘主义,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070819&idx=1&sn=50fd7240ae15a8a11cae3a5a70a7bc9c&chksm=8b4659c5bc31d0d3dc0e989272ffc632a3ea9704093a6b40978315c80c8fdc52730fc74a65b4#rd,1,2016-11-20,0.0,1.0,1.0,1.0,1560.0,5.0,2.0,,,,,
361,《学术月刊》2016年第11期目录及摘要,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070820&idx=1&sn=bcef1a1f060f85d7fb7932da6ebbda78&chksm=8b4659c2bc31d0d405967421fa7eaf8d61ddea84b50ec3385ff98ac7ec24740c03eecea3f161#rd,1,2016-11-21,0.0,1.0,1.0,0.0,2097.0,0.0,15.0,,,,,
360,戴海斌 | 近卫笃麿与19、20世纪之交的中日关系,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070821&idx=1&sn=47b17c97ce6a7e5d8c2a615c2f70a3ee&chksm=8b4659c3bc31d0d5eb49e51a28ac8fd6f837e76a520c1d87b9ccc35c37fbdfb846c8a861e0dc#rd,1,2016-11-22,0.0,1.0,1.0,1.0,872.0,1.0,5.0,,,,,
359,吴秀明 | 一场迟到了的“学术再发动”,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070832&idx=2&sn=0dab9d5f5e89d3cf22c29c116e33ff71&chksm=8b4659d6bc31d0c081d0cbd9d5fb8acf0b42bc9af014de5ee160bde5254e17aa4e44127fb14e#rd,2,2016-11-23,0.0,1.0,1.0,1.0,650.0,0.0,3.0,,,,,
358,欢迎订阅2017年《学术月刊》,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070832&idx=1&sn=6ca46f1accdb19a7a7d9ca699ff96f39&chksm=8b4659d6bc31d0c0653f5f15344af3283f64a93dabda15aedc207315c21eb558b72ec6563a4a#rd,1,2016-11-23,0.0,1.0,1.0,0.0,320.0,0.0,5.0,,,,,
357,欢迎订阅2017年《学术月刊》,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070839&idx=1&sn=f2c644b8629a48396915f9a02a606e4d&chksm=8b4659d1bc31d0c79ba7a6e6be18cf5d71b8377924c9b719f1909d9beb35e019bc59cc7386e4#rd,1,2016-11-24,0.0,1.0,1.0,0.0,276.0,0.0,1.0,,,,,
356,欢迎订阅2017年《学术月刊》,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070840&idx=2&sn=1561dd2a6d6fb076b45598cfcc4e8974&chksm=8b4659debc31d0c8253ae3c658be53687673bde17e486ece5551df959c99022e95e6ba8275f5#rd,2,2016-11-25,0.0,1.0,1.0,0.0,50.0,0.0,0.0,,,,,
355,金滢坤 | 唐五代儒家经典的启蒙教育,http://mp.weixin.qq.com/s?__biz=MzA5NTk5ODQwOQ==&mid=2651070840&idx=1&sn=fd7324db4c6245b45ab76d40df3aab28&chksm=8b4659debc31d0c85fa69b842d031eaae1371e5907612cc71d2261bd05da222455c7b0041b72#rd,1,2016-11-25,0.0,1.0,1.0,1.0,1051.0,0.0,7.0,,,,,
