Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,content
0,中州学刊•观点 |毋爱斌•环境民事公益诉讼中因果关系要件的证明,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572413&idx=1&sn=3f57580fb8c36ea91b5b1d2445cd1f21&chksm=84916673b3e6ef652eeeb10816fa7789bb8c0cee609585b1a8697b888d702ba914885360f08a#rd,1,2022-10-25,0.0,1.0,1.0,0.0,,,,
1,中州学刊•观点 |张嘉军 武文浩•异化与重塑：检察民事公益诉讼支持起诉制度研究,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572412&idx=1&sn=ac2b0c3366ac0087148b450d2faa9696&chksm=84916672b3e6ef64ed70efc172ad36cc4248f29b8fc84460efe4e5bc860c17149c5d3ebe6384#rd,1,2022-10-24,0.0,1.0,1.0,0.0,,,,
2,中州学刊•观点 |于法稳 林珊•实现民族地区共同富裕：特征、问题及路径,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572411&idx=1&sn=4cfbc9fca64d6053d23b78b727e84f1e&chksm=84916675b3e6ef63f094edd299d5d1909949ac3e5e6184a4b79cacd9126d9f79edc4daef8b53#rd,1,2022-10-21,0.0,1.0,1.0,0.0,,,,
3,中州学刊•观点 |李翠霞 许佳彬•中国农业绿色转型的理论阐释与实践路径,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572407&idx=1&sn=91cf07259c9e7b0f7a0a205e8a9d9bec&chksm=84916679b3e6ef6f390290b01e1bee65b60fbad143e76bf8dbaa0c4663f43284d42a26361a02#rd,1,2022-10-19,0.0,1.0,1.0,0.0,,,,
4,中州学刊•观点 |李俊杰 姬浩浩•“东数西算”驱动西部地区经济增长的内在机理与对策,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572406&idx=1&sn=05b0ba2e06a5b5626712084ecf62e93a&chksm=84916678b3e6ef6ef3ab416a33c2e6c80cbaf0c6ea2212d04676eeaf64811f43c11ea9dd6618#rd,1,2022-10-18,0.0,1.0,1.0,0.0,,,,
5,中州学刊•发布 |《中州学刊》关于“深入学习贯彻党的二十大精神”专栏征稿启事,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572405&idx=1&sn=71e262b5000ddbc5bc373779d05ea387&chksm=8491667bb3e6ef6d510380cf917e80f676442ae02695a4d64038c2f6ee8f86241bc65760b182#rd,1,2022-10-17,0.0,1.0,1.0,0.0,,,,
6,中州学刊•观点 |许耀桐 刘佳佳•民主和集中关系：认识的演进发展及运行中的纠偏矫正,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572400&idx=1&sn=94198c8223ca611401b6dd2f6dce7008&chksm=8491667eb3e6ef68e5d6a09ccb2a73219f47e0d60285d6d11bb182017170b2e1e2782940b715#rd,1,2022-10-14,0.0,1.0,1.0,0.0,,,,
7,中州学刊•观点 |秦书生 何彦彦•习近平关于共产党人坚定理想信念论述的逻辑阐释,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572399&idx=1&sn=b803b1d4f5cac008581652c43f70623e&chksm=84916661b3e6ef77685b11246213fc83527dd84a97f3dcd91c244bde18092df428d27008c199#rd,1,2022-10-13,0.0,1.0,1.0,0.0,,,,
8,中州学刊•观点 |张铁云 张昆•作为非理性的偏见何以可能,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572393&idx=1&sn=a178da0765bcd722bb7da51c7fa2699e&chksm=84916667b3e6ef71d537bf638e82b0109499b5e39dbf55d2f059d78086b4355c6733a0ec235e#rd,1,2022-10-12,0.0,1.0,1.0,0.0,,,,
9,中州学刊•观点 |刘丽丽•美国中国文学史中的陶渊明书写,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572360&idx=1&sn=ed39f09a992cb05c3bea2027e5d7bae6&chksm=84916646b3e6ef5056249cfab0b39fc0be7348eb101d34175e28a3f49249c427156ca083d3d5#rd,1,2022-10-11,0.0,1.0,1.0,0.0,,,,
10,中州学刊•观点 |李昌舒•论北宋科举士人的身份建构与审美思想的转变,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572357&idx=1&sn=66793f153a44a4f984fd8efeae71c378&chksm=8491664bb3e6ef5dc1f71885fce5f4a9a4276b35d6db256a0d7a8b9dd2155d27a9c4cde7de5c#rd,1,2022-10-10,0.0,1.0,1.0,0.0,,,,
11,中州学刊•观点 |王慧勇 雷鸣•论现代文学多重视角下的春节叙事,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572353&idx=1&sn=d436609f6bca3a7fcb3ff6802b22d517&chksm=8491664fb3e6ef595a5da56e2e9317d84fb89c2b88eaea35a5a867da6df23bc179d78e327dce#rd,1,2022-10-9,0.0,1.0,1.0,0.0,,,,
12,中州学刊•观点 |徐嘉露•明代过继规则的民间文书表达,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572325&idx=1&sn=a59c9120ab850cec40f887846e4d64ec&chksm=849166abb3e6efbd73a954240ea2df1880a5492398b6812b5ad9ab06c6f4b536804b72017087#rd,1,2022-10-8,0.0,1.0,1.0,0.0,,,,
13,中州学刊•目录 | 2022年第9期目录,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572323&idx=1&sn=7858ed5dcc61fed6ad35ab145034e213&chksm=849166adb3e6efbbc106a16732e944a34274d01345737186ac0a59480c9ea3f925f6a8b503ee#rd,1,2022-9-30,0.0,1.0,1.0,0.0,,,,
14,中州学刊•观点 |王永平•“干没荣利，得不以道”：入隋南人术艺化之表现、特征与缘由,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572311&idx=1&sn=f7267ab1f2c9a4b78e184383cf1154db&chksm=84916699b3e6ef8f05f83db6670fb986abbe57336a22f81a749d33f9628b894e9d5e15812fc2#rd,1,2022-9-29,0.0,1.0,1.0,0.0,,,,
15,中州学刊•观点 |杨博•出土简牍与西汉中期以前流传的“礼”书形态,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572300&idx=1&sn=ba3f4b9c1de084114070876dba7497a1&chksm=84916682b3e6ef94601ec737e285fcbdc48a8f5088f08769613c383c3fc62bdba481365f13e5#rd,1,2022-9-28,0.0,1.0,1.0,0.0,,,,
16,中州学刊•观点 |林忠军•汉代天人之学与《易纬》的“身体哲学”,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572299&idx=1&sn=9ef7b394fec468c748c373f602ab61cb&chksm=84916685b3e6ef93adfd183a9e13eda15860f037fff87754c825b0ee90938c8e1542685e6e86#rd,1,2022-9-27,0.0,1.0,1.0,0.0,,,,
17,中州学刊•观点 |李亚明•儒家伦理中的尊严观念及其当代意义,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572298&idx=1&sn=405c9e941438db9180b216ad155b4cd7&chksm=84916684b3e6ef92056b99204b47506d2ef71039111eb7350ac5b63eda35391fca99c3d4ef0c#rd,1,2022-9-26,0.0,1.0,1.0,0.0,,,,
18,中州学刊•观点 |韩升 王朋朋•世界文明进步视域内全人类共同价值的阐扬理路,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572297&idx=1&sn=4598966c2fc9f1cea73cc0287dba4776&chksm=84916687b3e6ef91a4101b37f4ba04b9b9269d21b8845e6caea379782f5ba3ed38fe571d55f3#rd,1,2022-9-23,0.0,1.0,1.0,0.0,,,,
19,中州学刊•观点 |胡守勇•文化扶贫的理论内涵与减贫机理,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572296&idx=1&sn=4a3059046c89f0d10f9fb30e0cea9f12&chksm=84916686b3e6ef90f8b4239f53236e7d6babb9c67b803955540bd5140c4d53cc4a369034506b#rd,1,2022-9-22,0.0,1.0,1.0,0.0,,,,
20,中州学刊•观点 |肖翔尹 郭星华•意识的冲突：返乡农民工创业困境研究,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572295&idx=1&sn=e4ecb57b9a4db81d623df36128afff14&chksm=84916689b3e6ef9f04a545600804f45461d24aca9f06eb8dbd676669fec2cee17f796be140d4#rd,1,2022-9-21,0.0,1.0,1.0,0.0,,,,
21,中州学刊•观点 |宋全成 温欣•论积极的健康老龄化的政策框架与行动方略,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572294&idx=1&sn=85cafce9415d0f4a5b1d38e2e11fd8fe&chksm=84916688b3e6ef9e5303c0d1a829c1390b3b62c0b872eba84ba89c1c82378c0895a89d8175ec#rd,1,2022-9-20,0.0,1.0,1.0,0.0,,,,
22,中州学刊•观点 |田其云•论《能源法》中的海洋能定位,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572293&idx=1&sn=3681d93c759711999b962032701f5d48&chksm=8491668bb3e6ef9dad0dc7a8dba12a6d97730aa27bb844f47b7e70350f745513ae25d8f27bf3#rd,1,2022-9-19,0.0,1.0,1.0,0.0,,,,
23,中州学刊•观点 |陈兴华•以《能源法》为契机开创领域立法新模式,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572292&idx=1&sn=1cbc017e7b42ca245fe6c8c2f5467794&chksm=8491668ab3e6ef9c7fdf56bc0fc4e0b4a7dc5c7f6719addf201f5adedd2c1f47ad8f371f0ead#rd,1,2022-9-16,0.0,1.0,1.0,0.0,,,,
24,中州学刊•观点 |胡德胜•生态文明与互联网时代的能源立法现代化,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572281&idx=1&sn=ea9ffa2da87163f1dc2582f5266298c7&chksm=849166f7b3e6efe15ea9ead70bba79cb747b1e0c78b53e3fcd376f661bb42f80bcfdffb08720#rd,1,2022-9-15,0.0,1.0,1.0,0.0,,,,
25,中州学刊•观点 |肖国兴•再论《能源法》的理性与制度设计,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572260&idx=1&sn=ee891969a88284db97cdab90ab6f1563&chksm=849166eab3e6effc6d3b8fdf91f2d15e71f81cf2d59f775f4a8f8400362d0ef5bb1b4eb8cd22#rd,1,2022-9-14,0.0,1.0,1.0,0.0,,,,
26,中州学刊•观点 |钟钰 甘林针•资源约束下西北旱区保障粮食安全的路径研究,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572258&idx=1&sn=45de610b87201eac6c2a88946ee2b8d9&chksm=849166ecb3e6effabd10d35571845999c9b256929380c4b6bba6b2b9188f902596973808f5c2#rd,1,2022-9-13,0.0,1.0,1.0,0.0,,,,
27,中州学刊•观点 |郭庆海 宫斌斌•21世纪以来粮食收储政策演进、得失与改革完善,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572244&idx=1&sn=00c3d60b134b78370b1772c5d6fdc44f&chksm=849166dab3e6efcce5f2824e91efc09def9868fb5de6bf5523dafb89b0ba323de628a95124cd#rd,1,2022-9-9,0.0,1.0,1.0,0.0,,,,
28,中州学刊•观点 |文瑞•新发展格局下中国服务贸易高质量发展的现实困境与突破,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572243&idx=1&sn=167e3953d412f95fe65d8e6d0edce7fd&chksm=849166ddb3e6efcb8e5df0c01bc666b98a85f7c37bb8f6d89b91ef674989d2486b7747eed2e2#rd,1,2022-9-8,0.0,1.0,1.0,0.0,,,,
29,中州学刊•观点 |马莉莉 王喆•数字自贸区建设的核心价值、关键障碍与突破路径,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572231&idx=1&sn=e7bce3290dc4b9d7f1b21927c834cb38&chksm=849166c9b3e6efdf3b0d031a288bf6fef5ccc45af3e15d0fceefe7aab4ae91e3f7ab5e18bb00#rd,1,2022-9-7,0.0,1.0,1.0,0.0,,,,
30,中州学刊•观点 |杨群红•新型农村社区党组织建设面临的问题与对策研究,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572226&idx=1&sn=8c2c67e28b16addf038c9a4ffb0569ee&chksm=849166ccb3e6efda60820ce62579b0c8f0c2e289da8ae9c8087d3aec8fbb15eef5c7cb409f99#rd,1,2022-9-6,0.0,1.0,1.0,0.0,,,,
31,中州学刊•观点 |孟宪平 巫祖钰•马克思主义与中华优秀传统文化相结合的维度分析,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572216&idx=1&sn=e0840679cc854a6ea1c29f20a2d5dc19&chksm=84916736b3e6ee201f264cdf23b04c60856223af071822b9be4b6657a55a6ad09349c9171ca1#rd,1,2022-9-5,0.0,1.0,1.0,0.0,,,,
32,中州学刊•目录 | 2022年第8期目录,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572199&idx=1&sn=d9341119f3eb7d04ed5bee96b9ff8897&chksm=84916729b3e6ee3f04619f1cf0cac0e98b345b2567fd44957f8228837f263bad4e1873842154#rd,1,2022-9-2,0.0,1.0,1.0,0.0,,,,
33,中州学刊•观点 |白艳莉•新业态从业人员职业伤害保障体系构建研究,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572192&idx=1&sn=a8165229dbe5537ab11b3edb0ea1e153&chksm=8491672eb3e6ee38527899d600aad927be450835011a1e5a5648f6ca835f844d080fd91d6a09#rd,1,2022-9-1,0.0,1.0,1.0,0.0,,,,
34,中州学刊•观点 |张振谦•宫观官制度与北宋后期许洛地域诗人群体,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572191&idx=1&sn=9bc12e2fb70214a16baaa5c0ac443339&chksm=84916711b3e6ee0750d823f5502e054de65f78c672fad8e79cc35f15068f2fb9bfd70ee332dc#rd,1,2022-8-31,0.0,1.0,1.0,0.0,,,,
35,中州学刊•观点 |罗强强•在推进共同富裕中铸牢中华民族共同体意识,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572187&idx=1&sn=182da270b0504489ae791b9ff8ec6a1c&chksm=84916715b3e6ee0386c7874d22e15815c4b3e9a9c3c420a5241877c7d47e47b7062c9d77e7a1#rd,1,2022-8-30,0.0,1.0,1.0,0.0,,,,
36,中州学刊•观点 |胡云生 张彦•民主革命时期中国共产主义青年团的巡视制度建设,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572186&idx=1&sn=19ea1ef1b3dbf4433b5b017db01be589&chksm=84916714b3e6ee027e59f7628bfac8eaa177ec5f7180f2397c4193213496230ee3f86ed3b9d5#rd,1,2022-8-29,0.0,1.0,1.0,0.0,,,,
