Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,content
0,新刊速递 | | 2022年第11期,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247492445&idx=1&sn=64b3bcf095121d65af0b163ac834f801&chksm=e8c6f59adfb17c8cb15a8250ba40bc1c86ace64db8327ab3f0c451e6bf5e1a80f1f4bbd015f6#rd,1,2022-11-1,0.0,1.0,1.0,0.0,,,,
1,涂凌波｜作为元概念的马克思主义新闻观：论中国新闻学元问题的一种基本阐释,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247492427&idx=1&sn=128e45b590cb73d131302099a96e91fc&chksm=e8c6f58cdfb17c9aaf4f9d69a03bbf19933ccfd322892a52b8a3112dbc044aa7e7ad6a39c4f6#rd,1,2022-10-24,0.0,1.0,1.0,0.0,,,,
2,刘同舫｜构建人类命运共同体：人类共同利益的生成逻辑与实践指向,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247492370&idx=1&sn=9bc993176a8511ca2309abc0863cd1a6&chksm=e8c6f5d5dfb17cc38dc9259cc08489c11b4da683dddd7f1974d67b32416efeed75d9196a0c48#rd,1,2022-10-14,0.0,1.0,1.0,0.0,,,,
3,新刊速递 | | 2022年第10期,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247492342&idx=1&sn=64dc16972254060d22f5306bf83746e5&chksm=e8c6f431dfb17d270fb6f80cf9b9f6433777c6ac2169704b61945db46cee674cca0ae1989435#rd,1,2022-10-1,0.0,1.0,1.0,1.0,,,,
4,张春梅 ｜网络文学现实主义的理论问题、当代经验与大众惊奇美学,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247492309&idx=1&sn=81c2336da3e2e491eb1605fc1fb81ae4&chksm=e8c6f412dfb17d04f63cb910f908efecc7c6ceb874287402bbb12c966f88ed428cd5e329ce0f#rd,1,2022-9-19,0.0,1.0,1.0,0.0,,,,
5,张永强 ｜我国生物安全刑法保护的模式选择和规范优化,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247492284&idx=1&sn=f52b63ebb879959e0e29a82a38a11b52&chksm=e8c6f47bdfb17d6dfc0fef863288cbb980fa9d9045f2dc5ef3c9a79ea7f93d6d9e42fdf8b730#rd,1,2022-9-14,0.0,1.0,1.0,0.0,,,,
6,常  江  李思雪 ｜数字媒体生态下的新闻回避：内涵、逻辑与应对策略,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247492195&idx=1&sn=14040611c841cb60f6b7c05cbdd9ab1c&chksm=e8c6f4a4dfb17db2b53ad753dedef095425fa4f1e1c0b6671d8288117b9901d69e26df8eb128#rd,1,2022-9-9,0.0,1.0,1.0,0.0,,,,
7,新刊速递 | | 2022年第9期,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247492046&idx=1&sn=8edec98e8a6562f5455b4a3f7c001e2f&chksm=e8c6f709dfb17e1fd81abf444a66b3173b68976ee66b0ddcd5ef0d94fe571b02b9cc7aafd4ae#rd,1,2022-9-1,0.0,1.0,1.0,1.0,,,,
8,欧阳天健 ｜数字法治背景下平台经济的税法规制,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247491909&idx=1&sn=245d77b0e4ca2ba88abc8339dc7f41d3&chksm=e8c6f782dfb17e943eb114074889158c8d01925fa61fceb7986a7ffec0570953d963d080d149#rd,1,2022-8-22,0.0,1.0,1.0,0.0,,,,
9,陈  薇 ｜ “对话的对话”与再思理解的可能性：跨文化传播的诠释之维,http://mp.weixin.qq.com/s?__biz=MzIzNzcxNjM5Mg==&mid=2247491855&idx=1&sn=cb2a7743ba6e51b19d418054f5bee966&chksm=e8c6f7c8dfb17ede7d33d26f3da6c746d295df32f85714c220191270a0a90f84310e921ca657#rd,1,2022-8-19,0.0,1.0,1.0,0.0,,,,
