Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num,content
0,"防疫新政“20条”背后, 警惕一种新型“分锅”自保术弥漫基层 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351303&idx=1&sn=dbfcd57e93923dbbd265b44c77582fc8&chksm=8b542cb6bc23a5a0c40f9b852c32894abb855fa4ed9a0f1863b37678f9a5186dd02233506e17#rd,1,2022-11-11,0.0,1.0,1.0,0.0,57410.0,249.0,250.0,健康码管理权在地方，可以想象。☀请注意防止防疫工作被利益集团绑架。☀社区，被裙带占满！街道、乡镇这一层级，才算真基层！[破涕為笑][破涕為笑][破涕為笑]☀防疫防疫，重在防，预防为主！不是辅助检测手段为主。根据我们这三年尤其武汉的成功经验，要从中医药的治疗、预防出发，发挥老祖宗自古就有的大锅汤的作用，尽快、尽早实施、建立中医药的联防联控体系，在车站、交通要道等发放，特别是目前有疫情漫延风险或未完全控制的地区。☀分析来分析去，在现实中有意义吗？☀文章太拗口☀短平快不可能的☀责任耗散可能比分锅更严重，就像小区的保安天天虚晃一枪，心照不宣☀把工作分清了，把责任挑明了！才能把事情办好☀奔走相告的喜悦恰似寒光遇到骄阳，让人仿佛看到了2023年春运的希望。实则，推陈出新需要的是整体过程。而非，字面意思想当然式的短平快。☀实事求是☀宽规则、严执法。责权利相匹配。☀既然能提出来而且还很对我心意，那我就不多bb了，做好自己的事就行，相应的措施让政府想吧☀科学防疫，精准防控。☀还是要处理简政放权问责之间的平衡，以及中央与地方的关系。☀放开还是不太可能☀支持国家理解政府，唯有全体一心共同防疫才能打赢战争[拳头][拳头][拳头][拳头],64☀38☀38☀37☀32☀30☀24☀22☀19☀10☀10☀9☀8☀7☀2☀1☀0,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,
1,深度理解当今政策的一种方式 | 双十一开启阅读计划,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351303&idx=2&sn=832d6005aa72763c95203b18674782a7&chksm=8b542cb6bc23a5a088f03cde595e8c18bd27e0875784c6922d35f409dfed83c402c08464fc2b#rd,2,2022-11-11,0.0,1.0,1.0,0.0,2527.0,2.0,4.0,,,,,
2,"这两年被全网群嘲的“高认知穷人”, 真是因为认知出了问题吗? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351294&idx=1&sn=33acd5ea8b603b3c26c13e516074da17&chksm=8b542ccfbc23a5d93ccc23683834f63f838044babc8281a8378d34edd585d6b3b6867b8f0ba9#rd,1,2022-11-10,0.0,1.0,1.0,0.0,20043.0,76.0,99.0,顾左右而言他是很无趣的，问题本质并没有逃脱金融资本增殖效率远高于依靠劳动资本积累速度的规律。说人话就是你读十年书，不如他拆两套房。这依旧还是个分配问题。☀当学历≠高收入之后学历这个分流器就失去作用了。这种情况下想要结构进位只能继续卷，或者去该分流器仍然起作用的地方了☀目前多数的”教育“是一种虚构的语境显化，老百姓把这种语境的显化当真，就仿佛把科举当成了“圣贤之路”。不过也只有这种语境大面积失真的时候，才会有更多人反省。☀本质原因在于国内目前城市化进程已经开始进入稳定阶段，社会已经不需要这么多的高学历人才。然而高房价带来的通货膨胀、社会资源过度集中于城市等要素，导致教育机构+民间人士在对接城市劳动岗位需求时产生严重的错位对接。一方面是城市需要大量基础劳动力，另一方面是民间人士对于基础岗位的待遇、劳动条件等产生抗拒情绪（特别是非公），而教育机构提供的高学历渠道进一步加剧了这种抗拒情绪，最终导致的一个结局就是：内卷！所以解决这个问题的核心思路之一还是房价----只有解决了高房价带来的恶性通货膨胀问题，切实降低国内物价水平，才能在收入层面上部分解决劳动条件与工资待遇带来的矛盾，进而部分解决本文所提到的问题。打一个不严谨的比方：当你一个月收入超过三分之二拿去交房租和日常开支，那么你的精神压力绝对比月收入仅需花费五分之一的人来的大！☀中国学历，印度种姓，背后是被社会否定的真实能力与辛勤努力☀认知高好处是明显的。首先说成功这件事是很难的，因为你要做完很多步骤，这些步骤只要有一个出差错，失败就会降临，所以成功的人是很少的。认知则就会给人带来各种收益，比如一个同事农村出身大学毕业进国企，15年之前连部分首付都是借的，仍然买了3室，告诉我们首先是相信房价还会涨，其次一套房只要三成首付，如果二套房在想换大的，困难太多。果真到这几年，他的同时要么是房价买在高位，要么是现在二室换三室很麻烦。反例则是一个亲属，05年之前在北京全款买房后，死活不肯在买房，一心一意想回乡养老，结果这么多年折腾下来的钱不如房子升值的钱。☀各大高校“就业率”动辄98%往上，实际上就业的一个班没几个，全都“灵活就业”或者升学，这样的“就业率”能起指导作用就奇怪了。☀红色药丸，蓝色药丸，你选哪个☀根扎在哪生在哪，什么样的土，活什么样的苗。无土无根的活法，是现代科技的种植与生存技术。也许有一天，人类一梦醒来，都是无根无土的产品。🙏 无根的人生，无土的生活，在狂风暴雨的碎片中焦虑不安浮躁虚无的嘶吼着报怨着慢慢的遗憾而去。无根不固，无土难安，一束无根无土的花，如满天漂浮的碎片，其归途枯萎不可再生，那是无源之水，纵有昙花一现，也只是生命的回光返照。🙏 ☀用我朋友的话说就是： 我和巴菲特就差启动资金了。 [Lol][Lol][Lol]☀每当我看到学历和认知挂钩，我就觉得很可笑。学历是知识的体现，认知是智慧的体现，根本两码事！无语～☀以财富论一个人的人生，早已被批的体无完肤，如今又抛出“高认知穷人”的论调，是拜物的变种，看似深刻，其实无知而且险恶，如果让这种论调大行其道，会将整个社会的价值取向带跑偏，阻碍尊重人才、敬畏科学的社会氛围的营造。多少革命先烈、科学家、工匠、哲人不是以个人收益矗立人间，相反他们往往“安贫乐道”守得丹心，甚至抛家舍业去改良社会，他们因服务社会效益的思想而彪炳史册；“万物皆腐朽，唯思想可永生”，这是人类进步的阶梯，精神富足，何来“穷”字一说。当然，“高认知”还有个知行合一的问题，有认知不能解决社会现实课题，学识如果也只是在“图书馆里盖橡皮图章”，算不得高，我们真正需要提倡的是“思想的高峰”，而这已不是题中之义，另当别论。☀“穷”的反义词是“富”，以“富”为读书的目标本来就搞笑。古人说教育的目的是传道解惑授业，没有说是为了富。再说什么叫“富”?有标准吗？和谁比起来的“富”?和亲戚比，还是和中产比，还是和企业高管比，还是和马爸爸比?☀要我说本科毕业都不准考研通通参加工作，工作5年以后才能考研。一辈子不参加工作，能做得出什么学问?☀知道自己穷得只剩下钱的人，还是有相当认识水平的。[吃瓜]☀学历≠高收入，高认知≠高学历≠高收入。☀大强哥可以稳定的一年创造出700万大学生，可谁能稳定的一年创造出700万高薪工作岗位呢？☀很多人的问题在于懂得很多，想的太多，做的极少☀道理都懂​可就是吃不饱肚子若​经济充裕 产需平衡确实能让人活的更充裕幸福 乐观豁达☀我觉得知识如果从一开始就是为了有更好的生活，那就要做好并不能达到的心态，因为本来没有什么事是必然的，当发现一件事达到预期的可能性越大就会有越多的人投入这件事，于是自然会有很多人被淘汰并且刷低达到预期的可能性，只有个别比其他人更强或者更幸运的佼佼者才能达到甚至超过预期。但永远不能相信自己就是更幸运的那个人，也不能相信宗教信仰能带给自己运气，这只是个概率问题，只有不断的学习和成长提升实力，在竞争中获胜才能赢的实利。这在很多行业和阶层好像都受用，也不能用嘲笑的方式去看待知识，无法换取实利的知识不代表没有价值。☀即使在一个可以自由选择的环境中，只要把个人选择改成群体数据，任何结论也都可以推论出来。所谓可以自由选择，仅指没有来自其他人的暴力强制，而非所谓“没有登上月球的自由”。☀360行如360座金字塔[偷笑][偷笑][偷笑]☀高学历≠高认知，认知是对事物的理解程度，是智慧；而学历教育的知识量只是现存知识体系中的一小部分。收入对于高认知群体来说只是人生众多选项中的一项，相反，却是低认知群体的唯一选项。现如今的社会，人人都是懂王，人人都很浅薄。☀+1☀高认知穷人，我之谓也。☀主要还是稀缺性的问题，古代千千万万的考生能考上功名的还是极少数，基本符合二八规律……而除了钱，关注身份地位的观念说到底还是源自人性中的特点，根深蒂固的几乎无解……[撇嘴][发呆],113☀39☀37☀23☀22☀18☀15☀11☀11☀10☀9☀8☀8☀8☀7☀6☀5☀3☀3☀2☀2☀2☀1☀1☀0☀0,不懂就问 国外是咋解决这个问题的哇？☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,0☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,
3,焦躁时代的逆行者，在这个双十一把书架填满,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351294&idx=2&sn=f806bbf7d612c2299d322bd78b405d7b&chksm=8b542ccfbc23a5d915aad5423a3fadc52a6873cfabd99fdffd1c485dcb65cf04cee9f5ae61a9#rd,2,2022-11-10,0.0,1.0,1.0,0.0,2430.0,0.0,3.0,,,,,
4,"乌克兰突然“强制国有化”, 中国航空的软肋正遭遇重击? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=1&sn=35defe2dfc12a3a9a3d64642b11c2a0f&chksm=8b542cefbc23a5f99c2b5ed3d88437d49930cdee399adabab14f30dc834a4d62c94e6015cc49#rd,1,2022-11-9,0.0,1.0,1.0,0.0,23173.0,49.0,74.0,请关注最近的新闻。1、今天开幕的珠海航展，太行发动机系列展出了一款高涵比、低油耗，大功率发动机。2、我们国家最新研发的航空发动机轴承疲劳实验，稳定运行超过5万小时超过世界纪录，而且实验还在继续。☀中国不是美国，美国的航空市场和美国空军是密切挂钩的。从上个世纪第一次世界大战结束开始，美国航空产业就非常注重军民通用属性。以前我就看过并且非常认同这种说法：如果中美爆发全面战争，中国最多只能拉出2-3万的飞行员进行消耗，而美国能有十几万的飞行员跟你消耗。这个不是开玩笑的事，上个世纪的的日本帝国已经用本国精英飞行员的鲜血证明了这一点！欧盟、前苏联和日本都是依托政府部门强有力的管控才有取得一定的成绩，但是这种方式注定了一个很致命的问题：当全球经济因为战乱，疫情等不可抗力因素出现震荡的时候，马上本国/本区域组织的航空行业及其附属产业乃至相关人才瞬间变成拖累本国经济的负债资产。因此，我国应对效仿美国航空产业，对民间进行全方位的开放，鼓励民间资本进入国内航空业，从而起到加强中国航空行业的抗风险能力，提升中国航空行业人才储备规模以及研发能力。☀要换个思路看，西方大飞机虽然有国家的分工，但本质上是整个西方文明的产物。我们做为一个独立的文明，核心技术上不会有其他国家替我们分工。芯片的例子摆在眼前，暂时有分工，也一定是靠不住的。所以要放弃幻想，自力更生。☀“能产生科技的那种思想才是第一生产力”，有没有一种可能，科技既包括了物质层面的设备，也包括了意识层面的技术逻辑和知识☀靠民企，民企生存都艰难，谁烧得起研发需要的巨额钞票！☀足球队表示很难受[Lol]☀作者查过罗罗公司的财报吗？航空发动机利润率极高？如果说毛利的话，或许不错，但净利率非常低。罗罗几次差点破产，现在罗罗每年的利润也不多，远不如半导体晶圆制造商☀解放思想，实事求是，改革开放，让科技创新，创业和创造财富的源泉充分涌流☀文章引言部分里的三大项目。足球大家懂得都相对多一点，至少男足什么样大家都懂[旺柴]乒乓那基本中国为主。主要给不怎么看举重的朋友普及下，举重近十几年中小重量基本是中国VS世界。大重量我们国家队在冲击阶段，也涌现一些有冲击力的选手。董事长说的贴合实际情况，无论是体育项目还是我国现阶段航空业。,27☀22☀21☀16☀11☀11☀8☀4☀3,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,
5,中信银行：以有温度的普惠金融服务，支持小微企业高质量发展,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=2&sn=9e3540c8b8531d363403c956b9f8c198&chksm=8b542cefbc23a5f9d7e8eb9bfd8ea0f80f68d135054b7a3f925edb9245f77b70b23269c84bb6#rd,2,2022-11-9,0.0,1.0,1.0,0.0,2746.0,3.0,3.0,,,,,
6,最后半小时 | 2023年特惠团购全年仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351262&idx=3&sn=2f07d4fa5d391eb100889dc4e29464fa&chksm=8b542cefbc23a5f948e6f4653f8aa1cfeb208ff86908764732cf6923f4ff0726ad7f9b73213b#rd,3,2022-11-9,0.0,1.0,1.0,0.0,305.0,0.0,0.0,,,,,
7,"韩少功: 折腾百年的中西体用之争, 像是关公战秦琼 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351235&idx=1&sn=fdddf823ccfdfcc2d5d48e28a2adab98&chksm=8b542cf2bc23a5e43d85e762db16cc1380e0b35ecbace6c695aecd47ca1b48f6cce5aff8dbc8#rd,1,2022-11-8,0.0,1.0,1.0,0.0,12739.0,81.0,89.0,各有千秋，要取长补短、共同发展。☀毛主席早就說過，古為今用，洋為中用。哲學裡面也有，內因為主，外因為次。事物的本質由量變到質變。陰陽對立，陰陽互根，陰陽互換。靜是相對的，動是絕對的。一成不變是相對的！文化的發展和人類社會的發展實際上是同步地。☀太巧了昨天刚好看到邓晓芒老师就回答了一个学生问的这个问题，今天就刷到这个文章！他说：这个问题本身可能太局限于实用主义了，中还是西归根结底是知识分子给国家管理阶层献策，哪个有用用哪个，中和西怎么结合有用，就用哪个。然而西方似乎没有这个问题，或者说不这么问。这中间的原因可能更值得我们思考，就是把这个问题从实用层面再怎么挖深一些，可能才更有利于答案的显现☀所谓体用，指的是，在纷繁错杂的文化现象背后，对文化走向起到决定作用的最基础的文化视角的逻辑关系。在西方文化中，这个基础视角为时空观。在中国文化中，这个基础视角为阴阳观。所以体用之争，最终就还原为时空观与阴阳观之间到底是什么样的一个逻辑关系？这个问题如果不搞清楚，恐怕架还得一直吵下去！☀体用之辨，实为本末之理，先天与后天之更易。中西文化根本性的特点：中国文化强调统一性，包容性。西方文化强调对立性，排他性。如果用佛教的色空来看，西方文化强调否定性，以空否色，以色否空，非空非色，两非否定之否定。中国文化强调的是肯定性，亦色亦空，色即是空，空即是色，庄子言两行，即肯定之肯定。这两者本来就是易之阴阳，阴在阳中，阳在阴中。先天可化后天，后天也可返先天。体为用之本，用为体之末。二者在不同的时间，不同的地点可以相互转换。所谓运用之妙，存乎一心。就拿市场经济来说，一定是以私有制为主体，而国有制作为辅助，才能充分激活市场活力，从而提高生产效率。而以计划经济而言，以国有制为本，以私有制为辅，才能平衡市场，保持稳定性与公平性。义利，王霸，知行，阴阳，体用。都是在时空变化的更替中不断转变的。天发杀机，斗转星移。时变地发杀机，龙蛇起陆。位变人发杀机，天地返复。人变天地时位，随着人心变化而变化。体用亦然，本为一体，用之流变。☀看了一篇好文章！☀其实，这背后始终是一个观念的问题，如果我们的文化是适应生产力的发展，无论是中体西用、西体中用，都无伤大雅，不用转变观念，让别人跟我们接轨就好了。然而，其中到底是谁来做主？☀正如中西医之争，一旦落入谁更好模式，争论永无尽头。其实我们都可以不要，只要去掉糟粕后的现代文化，不分东西。☀子为父隐，好像圣经里也有，是亚伯拉罕还是谁，记不太准了，他喝醉了失态而睡（好像是裸睡），被儿子们看到了。儿子正确的做法是不声张父亲失态失德，给他披上衣服被子，而不是让大家都来谴责圣人失德的样子。☀韩少功算是中国最能正视历史正视现在的学者了。但是，本文最后的部分，说中国人家庭观念的时候，又忘了观念迭代了——我们最多是刚刚接近完成工业化，还有大量前现代社会的记忆和习惯。☀不是中西之分中西之用的问题。只要以开放的心态拥抱世界，接纳新鲜事物，改进弊端，与时俱进，就没这个争议。晚清及沿袭下来的这个所谓的百年之争，是当年满清闭关锁国，拒绝外来文明所抛出的一个伪命题。☀西方没有这个问题是因为西方最早工业化，没有参照学习对象，而且领先的时间够久，要有200年了，形成了一套完整的规范。个人感觉领先20年是一个临界点，领先50年是破防点。☀写得真好啊☀道理俺都懂[得意] 嗯姆 数学是好东西 逻辑训练需要恶补☀顺便指出，文中将梁启超归为洋务派实属谬误☀这样的文章早该给知识界看一看了☀东西方文化融合是个很漫长的过程，《论语》里面子张问政，孔子让他把不确定的事放在一边，把确定的事情谨慎施行，达到言寡尤行寡悔境界，我觉得孔子的回答可以用在东西方文化融合上面，不必去纠结孰优孰劣，个人浅见，不一定对。☀一切都是历史，现在也在历史之中。，既然是历史就在更替之中。以前农耕文明适合本土历史条件得以生存。工业革命后的商业文明对生产力的发展比农耕文明更有效，所以我们学习西方的商业文明。现在西方的商业文明无论是在东方和西方的实践都开始恶化，所以我们要求结合本土情况以吸收和实践来看看走出新的现代化路径—中国式现代化。所以，我们没有想复古，哪些说回到计划经济、平均主义的本身就是食古不化。哪些完全信奉西方学说的同样是食古不化。不能适应新的实际条件做研究的学者，未来都是要被淘汰的！☀整得这个复杂。衣住行，还有看病，老百姓的生活大概除了“食”都西化了——中国人没吃那么多肉喝那么多奶，日韩酒水没有中国的“奢侈”。还有一个就是没洋人洗澡那么勤。,43☀21☀11☀10☀8☀6☀6☀4☀4☀3☀3☀3☀2☀2☀2☀2☀1☀0☀0,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan☀nan,
8,最后1天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351235&idx=2&sn=ae01debddbc5dba1758eb8533b4251e2&chksm=8b542cf2bc23a5e45870fcb0b95b7a4b95db474f72d6cead2a08e07c382a4579638101ec29d9#rd,2,2022-11-8,0.0,1.0,1.0,0.0,535.0,2.0,1.0,,,,,
9,苹果借郑州富士康转移矛盾? 更深层的矛盾反倒裸露了出来 | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351233&idx=1&sn=7eed710c1eab71db69c8deaa4612c9ac&chksm=8b542cf0bc23a5e6cb5454a086f31110cf5ee353d316bd19984b6dd7d69370084a97bb7c8e10#rd,1,2022-11-7,0.0,1.0,1.0,0.0,23393.0,102.0,122.0,尽管我从事外贸，但是鉴于父母过去工厂最普通的工人，且我过去在学生时代当过工人，我始终觉得中国的工人是最棒的一个群体，他们永远不应该被歧视，我无法给他们增加工资，但是我可以做到给与他们应有的尊重☀工人没办法维护自己的权益，并不是他愿意接受这样的剥削。☀这种文章看的时候，真的好扎心☀富士康已经是很不错了，不信可以去体验一下，民企工厂，那才叫做真正的资本家。☀所以一定要有一定的实践和基层基础，否则就会变成典型的砖家，因为纸面上的貌似符合逻辑的东西，跟现实实际相差十万八千里☀资本家为了追求利润最大化，产业总是往低工资国家和地区转移，这是资本的掠夺属性决定的。如果地方政府长期一味为迎合资本家提供廉价劳动力，不对地方经济进行战略规划和产业提升，这种地方经济模式只能是饮鸩止渴，并且是永远不能满足资本家的需要的，而且最终会暴露社会问题！与其危机延后终会彻底爆发，不如抓紧时间产业升级，而且，从战略角落上，实行国内经济大循环势在必行。☀资本家为了追求利润，产业总是往低工资国家和地区转移，总有一天全球化会变得平均化，没有地方再给资本家提供廉价劳动力，到时候又怎么办呢？所以危机只会延后但终会彻底爆发☀John Smith是个常用假名[偷笑][偷笑]☀“iPhone引起的贸易逆差是从第三世界国家进口零部件的结果”。然而中国工人“对每部iPhone的付出只有6.5美元，大约占总生产成本的3.6%”。市场化国际分工后，代工制造方是实现了一点点价值增值，但更多的是遭受价值掠夺！还可能被歧视！故转型自主创新发展是翻身逆天改命之路。☀同理，我们普通打工人一直都在被掠夺。☀这个才是好文章。☀原创研发，核心技术，专利权，生产力水平，成本控制，原材料贸易，金融资本，军事实力，地理位置等是一个发达强国的必备条件，大多数国家很难多项具备，也就是综合国力的实际水平与时代机遇的共同作用的表现……[发呆]☀不去富士康们打工，那只能种地务农了…………☀有口难辩,42☀22☀19☀16☀8☀6☀6☀4☀5☀4☀3☀0☀0☀0,nan☀nan☀nan☀nan☀nan☀nan☀nan☀https://wap.cnki.net/touch/web/Journal/Article/GWSH201401012.html☀nan☀nan☀nan☀nan☀nan☀nan,nan☀nan☀nan☀nan☀nan☀nan☀nan☀6☀nan☀nan☀nan☀nan☀nan☀nan,
