Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,content,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,《江西社会科学》“深入学习贯彻党的二十大精神”专栏征稿启事,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488268&idx=1&sn=800acf56d9efc84436fd41b000de4b54&chksm=96fd7f53a18af6452f329058cbde9b88f2a72d803cd49f50ac38501561a358da906df862fba3#rd,1,2022-11-1,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,冯能锋 唐善林 ▏现代文学中的“美育立人”思想研究,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488260&idx=1&sn=4dea4c8af62d47f9f9c9063e5037bf74&chksm=96fd7f5ba18af64db9802ecc5d16616944c4d3be4670429c5ccea270af78c8b9f4c063a5458c#rd,1,2022-10-31,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
2,李彦铎 ▏公共服务供给主体单一的理论解释——基于政府选择偏好的视角,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488260&idx=2&sn=bfdcf762bb442945b236378a61c13672&chksm=96fd7f5ba18af64dfa16d9bcad5b8f27b061df454ed059d54dbae29ded0b74ece7fdbaedf292#rd,2,2022-10-31,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
3,王炳中 ▏传统“文章学”与现代散文文类观念的建构,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488236&idx=1&sn=3b10f2e7c24979837d3cd917ef4555d3&chksm=96fd7eb3a18af7a5d34f4b5ce831b03e74b8ee866a3e98c3513ed838eff99481156da8041d41#rd,1,2022-10-19,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
4,汪圣铎 ▏元祐诉理、绍符复审及符崇反复,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488236&idx=2&sn=0a5b57f53be086bae31eaee7a58c4637&chksm=96fd7eb3a18af7a5fe8494f316243ebab2e1546db184a33ad8cc21773339a56d5b35e69f6435#rd,2,2022-10-19,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
5,诸葛忆兵 ▏论宋徽宗朝科举制度之演变,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488236&idx=3&sn=3bd1a4e5008c8f233d92c74df30308b7&chksm=96fd7eb3a18af7a52c2b3dea6e33581655aad11dc525368e06eff6e14aa0849199f6698a67cd#rd,3,2022-10-19,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
6,周振杰 ▏判例制度的核心精神及其实践机制——基于德国法的分析,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488236&idx=4&sn=d89d43c5a500912a6aff2217d96eb721&chksm=96fd7eb3a18af7a50712b4d3f4d55b4d908a788fc342ca9d9260b6b9757c08fe19065fac9735#rd,4,2022-10-19,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
7,肖宝兴 曹义孙 ▏论法律研究的经验面向及其限度,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488236&idx=5&sn=99652e355dccbd6bb75792089a61308e&chksm=96fd7eb3a18af7a5c040a165f61d859d1c8d3e6b8018ebdc47f206fd711a02b2494a7e692cf1#rd,5,2022-10-19,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
8,何慧 邓经超 ▏法律经验研究的知识论困境与范式再造,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488236&idx=6&sn=5fec94822f9b78c66785b66f7c301cf5&chksm=96fd7eb3a18af7a52fdb4b9bd59ff161afef5114033da6ca96e19bae373b9ff5f77e1d89ed2d#rd,6,2022-10-19,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
9,《江西社会科学》2022年第9期目录,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488222&idx=1&sn=2e4c293617a200c372a78ffae5e827f9&chksm=96fd7e81a18af7973d70200d107db9308a5065bcdc60027c7a5b98a4ee4ff21bcb090af8f913#rd,1,2022-10-18,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
10,杜辉 ▏生态环境执法体制改革的法理与进阶,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488182&idx=1&sn=4d604a221f2bdb8dd1987c45080b02a0&chksm=96fd7ee9a18af7ff7afd0550a1dfc5384598943bdfa9062a196c4fafc28c0abb1ae26a4c26c5#rd,1,2022-9-21,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
11,张敏纯 邓顺萍 ▏环保垂改与综合执法改革的衔接困局及其消解,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488182&idx=2&sn=e77ac7f40835b16a0f8f2b6ba5843789&chksm=96fd7ee9a18af7ff66a338dad23e6dba69cac797e7da48421b2ecf420371fea7d78842755504#rd,2,2022-9-21,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
12,程华儿 ▏国际投资仲裁裁决撤销机制中公共政策不当适用的应对及启示,http://mp.weixin.qq.com/s?__biz=MzIwMDUwNjY3Mg==&mid=2247488182&idx=3&sn=17d4e611c3e4104bc328f3e066558b01&chksm=96fd7ee9a18af7ff41847bd40bc159caffc8520c3ce71f7d8cd87fa4aee8e2b680780a93e40a#rd,3,2022-9-21,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
