Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,2022年第11期期刊要览,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489933&idx=1&sn=bf1b42117445b7ff321117cbf10ec611&chksm=9710dde6a06754f061e13bf06dfc7159dd3c64ad7a6e31083365574cff02065bc51e2b6ed77e#rd,1,2022-11-11,0.0,1.0,1.0,0.0,2628.0,4.0,3.0,,,,
1,汤敏、王孙荣 | 萃美温谨：明万历《绍兴府志》的纂修体例与心学印记,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489919&idx=1&sn=f9d477f49e1cf54b739af042eaebf1e7&chksm=9710dd14a0675402537c95a277372f7fc4f23314a5ace950fd7ad34ba89f894c8f6378d53abb#rd,1,2022-11-4,0.0,1.0,1.0,0.0,655.0,3.0,15.0,,,,
2,徐慈华、黄华新 | 问题求解与隐喻认知,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489884&idx=1&sn=640bfb853b151b4ee6f3815f4a94d19f&chksm=9710dd37a067542138de38df9584f15e14cab225c809dafc0fcd711ce1f945424ef733032386#rd,1,2022-10-31,0.0,1.0,1.0,0.0,827.0,6.0,7.0,,,,
3,胡承槐 | 劳动方式、劳动伦理与共同富裕,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489867&idx=1&sn=79553c209d363b786fd616f8bceea44c&chksm=9710dd20a06754363266ffdf9d74117667323df34e365c58ce760cacb198fbb5973c16a0955c#rd,1,2022-10-26,0.0,1.0,1.0,0.0,491.0,1.0,2.0,,,,
4,2022年第10期期刊要览,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489853&idx=1&sn=c0b84e030c163b462b342894483ec2e4&chksm=9710dd56a067544045c4a07e2135045f3471c6328bbd4ec19953a9435281314b472ae468daad#rd,1,2022-10-11,0.0,1.0,1.0,0.0,3408.0,1.0,1.0,,,,
5,刘练军 | 隐私是一种文明,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489839&idx=1&sn=28809f322247a1870c04390f7268bf39&chksm=9710dd44a06754528d1d945247f25e6f14f679458467a4000c7dee425f4748a18652df9d7e13#rd,1,2022-9-27,0.0,1.0,1.0,0.0,1489.0,5.0,8.0,,,,
6,屠   凯 | 重温明清之际的地方自治学说,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489828&idx=1&sn=b1b565bd1908968bc8a8b6e4d6762f5d&chksm=9710dd4fa067545922d96593c12725ac696341c3dcfe2376096bb827552217938dd8efc01274#rd,1,2022-9-21,0.0,1.0,1.0,0.0,937.0,1.0,3.0,,,,
7,张康之 | 风险社会：科学与价值关系的重新思考,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489818&idx=1&sn=21be5de19f6e39120f899ac4f1f4a94d&chksm=9710dd71a06754671a077a4e4d2984f844223db761281cc9c0d63bbacd8fc265b0b2ec04b64e#rd,1,2022-9-14,0.0,1.0,1.0,0.0,625.0,2.0,5.0,,,,
8,2022年第9期期刊要览,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489810&idx=1&sn=d196733a5d933aa7b0a1d3bbd72c2264&chksm=9710dd79a067546f8fa16f3f3c2883d545fd07ec389aef622d62c5271b4f9750b58b6e7bddd1#rd,1,2022-9-13,0.0,1.0,1.0,0.0,3612.0,6.0,8.0,,,,
9,朱惠国 | 浙江词学传统与现代文化建设,http://mp.weixin.qq.com/s?__biz=MzIwNzQ5MjM1Ng==&mid=2247489796&idx=1&sn=728d4853e27b922d20142c1250bdeebc&chksm=9710dd6fa0675479bef8d6ff341abc7672bf0e764c92a8c3a21ff73eccb6d83cce6c489bb03b#rd,1,2022-9-6,0.0,1.0,1.0,0.0,1103.0,5.0,14.0,,,,
