Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,林默彪│唯物史观作为历史哲学何以谓之“历史科学”？,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492116&idx=1&sn=b5375853b9c67e5b1c5cbef3fdfda5df&chksm=ec6b4728db1cce3e0fd4bdf7e6b8b4d7c0eaa53179e86d702b63281b98672441378a61500fcb#rd,1,2022-11-6,0.0,1.0,1.0,0.0,207.0,1.0,1.0,,,,
1,《福建论坛》2022年第9期目录,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492103&idx=1&sn=54d4786d73518b090d26aba757aab6df&chksm=ec6b473bdb1cce2d6d5dbf5ec646d8091a54897119998b0c1c4722ebb09ab46d3e054dc958a2#rd,1,2022-11-1,0.0,1.0,1.0,0.0,2204.0,1.0,7.0,,,,
2,《福建论坛（人文社会科学版）》“学习阐释党的二十大精神”主题征文启事,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492091&idx=1&sn=58e6bae1f77a022b6e33912d845f485a&chksm=ec6b44c7db1ccdd165c0d800211ea874938220fc6b65913e75e3a51e1d293188873378cdcba1#rd,1,2022-10-23,0.0,1.0,1.0,0.0,1176.0,2.0,1.0,您好，请问其它主题的文章在此期间还可以照常投稿过来吗？,0,nan,nan
3,吴翔宇│在分层分化中确立“幼儿文学”本体——评杜传坤的《20世纪中国幼儿文学史论》,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492074&idx=1&sn=4c23ef36d48af244b17ab03439b0800f&chksm=ec6b44d6db1ccdc0451dd19964d205c33e589f60b2052ed5ae8ffc4c0a58d3eb2b257a45dcb7#rd,1,2022-10-19,0.0,1.0,1.0,0.0,669.0,2.0,5.0,,,,
4,张梅│儿童文学研究中的意识形态批评——评杜传坤的《20世纪中国幼儿文学史论》,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492074&idx=2&sn=b8a97f56b5bf2ee690ba9256ff44a9fe&chksm=ec6b44d6db1ccdc05a0a7fc7214848259c6c649d910ba51fa1cfc16313c73f36d36b6ba8fac6#rd,2,2022-10-19,0.0,1.0,1.0,0.0,567.0,1.0,2.0,,,,
5,刘玉凯│锐意穷搜  辨微求真——读廖久明先生的《鲁迅〈藤野先生〉探疑》,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492056&idx=1&sn=5bc0eecee8a43329e018d4bb97dd02cb&chksm=ec6b44e4db1ccdf29c9c1e864026943dd8c56496ab68bcd9b075508b504401f308c4ab36269c#rd,1,2022-10-18,0.0,1.0,1.0,0.0,217.0,2.0,0.0,,,,
6,乔世华│尽精微而致广大——评廖久明的《鲁迅〈藤野先生〉探疑》,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492056&idx=2&sn=721fc2d8b5e48a16b5cd172358642e31&chksm=ec6b44e4db1ccdf2d66463f8730807af79d866f4966501303b5d5f51030f3ef196b34fab4bf3#rd,2,2022-10-18,0.0,1.0,1.0,0.0,641.0,2.0,5.0,,,,
7,梁心│“雷峰塔不是倒了吗？”——家庭革命的再思考,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492039&idx=1&sn=edfce821b518da28bd64f1e6ddcd6a2c&chksm=ec6b44fbdb1ccdedad4d9404eb520833cd13c45d1910478c8c5a4be5c34104be716328a1be09#rd,1,2022-10-14,0.0,1.0,1.0,0.0,951.0,1.0,2.0,,,,
8,胡军良、王晓埂│全球化语境中的“文明对话”：基本理据、逻辑进路与实践图景,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492028&idx=1&sn=8976fb8ec34cdca6bc26e0a7edfa516e&chksm=ec6b4480db1ccd96ba2d98294f648288f96a526e2e6ec9556cf2b145b388757868b319d4bc4c#rd,1,2022-10-9,0.0,1.0,1.0,0.0,489.0,0.0,0.0,,,,
9,戴金平、范猛、李宝伟│房地产调控的经济增长效应研究——需求端与供给端调控的非对称性,http://mp.weixin.qq.com/s?__biz=MzI5Mzk3NTEyMw==&mid=2247492020&idx=1&sn=1bcc7e2cd39a4ede18bd0bac734b6fb6&chksm=ec6b4488db1ccd9e0307e9a4bad9de2783e1d130ea67e6ba8f19184700831cfcffa768c83f48#rd,1,2022-10-4,0.0,1.0,1.0,0.0,124.0,0.0,1.0,,,,
