Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
0,《读书》新刊 | 杨全强：布罗茨基：在母语与英语之间,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167732&idx=1&sn=d2f2ec167668d386570b9f416c2f6931&chksm=845a3501b32dbc17063aeadb09782c4047613cb80bf2117298badd152d13ccae2015ea43e910#rd,1,2022-11-7,0.0,1.0,1.0,1.0,3887.0,26.0,31.0,,,,
1,中读年卡 ｜ 三联×财新通：双11限定！唯有真相，值得回响,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167732&idx=2&sn=534eb04105fb7985533117bbe370ae7a&chksm=845a3501b32dbc1709e92c28c524d86bc12f11fe92627064be346e7753b5b5257404fe190eaa#rd,2,2022-11-7,0.0,1.0,1.0,0.0,580.0,2.0,3.0,,,,
2,旧锦新样 | 罗丰：中国之前的中国,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167662&idx=1&sn=ccbac2f1313a39387ef574dd85a0b389&chksm=845a36dbb32dbfcd4b2c99b222706d9d8686bf8c94d3a8d690bbeda533be511b5f876b61042c#rd,1,2022-11-4,0.0,1.0,1.0,1.0,5057.0,26.0,33.0,罗丰委员是我们固原人的骄傲！罗教授大作连连，令人感佩。[抱拳][抱拳][抱拳][强][强][强],3,nan,nan
3,《读书》信箱 ｜ 书卷多情似故人——我的《读书》情缘,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167661&idx=1&sn=9f0ff6ead742e12438d0d1580df6340f&chksm=845a36d8b32dbfceb6c0fe8719550b4a96e362cf69ec8fa78ac3880e19e074cc9c2660943998#rd,1,2022-11-3,0.0,1.0,1.0,1.0,3565.0,20.0,40.0,这位写的不错。作为读书杂志的老读者，我也保存着从杂志创刊到如今的册子。堆放在书架，书柜，枕边，随时翻阅。经常查询里边的信息。依靠每年12月份的总目录索引，找到书人书事。不亦乐乎。谢谢编辑们一代代的传承。☀感谢《读书》伴我度过懵懂青涩的青春时代。在那个充满思想活力的年代，《读书》为我打开了探索世界和思想启蒙的大门，让我看到一个更加丰富多彩的世界！☀还差三四十册就收全了，《读书》引我读书。,4☀2☀1,nan☀nan☀nan,nan☀nan☀nan
4,中读课 | 嘴上说着“躺平”的人，都在偷偷用哲学思考问题,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167661&idx=2&sn=5998fdd16a166d54718a485e3e57840e&chksm=845a36d8b32dbfce8f4ccc24e949d3bd8586fa46703db298c0e7ce9ab4aecbc461e8a7c85dee#rd,2,2022-11-3,0.0,1.0,1.0,0.0,1455.0,6.0,7.0,,,,
5,《读书》新刊 | 许准：社科城头大王旗,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167642&idx=1&sn=eea268513831fc281a02bb0ef21a090e&chksm=845a36efb32dbff99d98ec00c4a5e0c2c5cbdcb6c310afdea931495209c6ed0f106b2bebf845#rd,1,2022-11-2,0.0,1.0,1.0,1.0,7112.0,21.0,37.0,,,,
6,中读课 | 她是中国最好的电影学者，北大学生排队两小时听她的课,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167642&idx=2&sn=1c7e95d9c43fc3a321e7a8d6beb8825d&chksm=845a36efb32dbff9c356d19e0e69fdf15206328ab9c722314db1a9a89e8c155fb03f338da07a#rd,2,2022-11-2,0.0,1.0,1.0,0.0,1742.0,2.0,7.0,,,,
7,新刊速递：2022年第11期封面+目录,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167560&idx=1&sn=c1f1710b1b566b68e1cc343f8d9b48f2&chksm=845a36bdb32dbfabd44244ff0ed3ca445d0988c3261eba27453e249e5e5662ab104e6ec1ac4a#rd,1,2022-11-1,0.0,1.0,1.0,0.0,7723.0,14.0,20.0,,,,
8,中读课 | 叶嘉莹：我想在离开前，把即将失传的吟诵留下,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167560&idx=2&sn=3c78ff958f1f46db572485ce7fae2364&chksm=845a36bdb32dbfab669473eb757307814efc46859386f03fae1058663ad25ca501ddf803abf8#rd,2,2022-11-1,0.0,1.0,1.0,0.0,3255.0,14.0,24.0,,,,
9,《读书》首发 | 蔡昉：谦虚使人类进步,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652167532&idx=1&sn=6767fa09c596b6b69bcc736e06de57e9&chksm=845a3659b32dbf4ffdc75b9b514bbf8538f71e29431cf63c4b77c223b5cd4635d75f4aede403#rd,1,2022-10-31,0.0,1.0,1.0,1.0,8475.0,32.0,39.0,,,,
