,title,link
0,刘中玉 ▏文化自觉与传统文化现代化,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772577&idx=1&sn=d821a56dd546eaf697d64c8d02b1fef1&chksm=8bbff61ebcc87f081b40be8e8ca14fa54c6e0a22a120bc3d8f78eb45e8ec4e2fc2e038cbfa8f#rd
1,陈舒劼 ▏知识普及、意义斗争与思想实验——中国当代科幻小说中的科普叙述,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772554&idx=1&sn=ae2ca7067c1646461e54823d49b4a76d&chksm=8bbff635bcc87f2322d35780b72c703be09bea3d935fb7b8dddf72289934254ee0042c6c756d#rd
2,许耀桐 苏贵斌 ▏恩格斯对马克思主义国家学说的卓越贡献,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772530&idx=1&sn=1a5f6ec56166105d1e3154325db4f9d1&chksm=8bbff7cdbcc87edb8ddf14ae09bfa9dd029d5a6fedb67b4c598baad8cdde2f2d7db35a5e3bbc#rd
3,王兴赛 ▏文学使命、哲学行动与社会革命——恩格斯早期（1839—1844）的人民思想,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772530&idx=2&sn=8d6f760410ef1282eb875fbdd3f665d4&chksm=8bbff7cdbcc87edb9fe5ac376cc68ee31943c9df35c670bd2a7dbc7b97e25f8792c7ea86fa44#rd
4,《东南学术》2020年第6期目录,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772482&idx=1&sn=eb90c887e8932a9ea07a9446e2ba938d&chksm=8bbff7fdbcc87eeb38727b21578cc01fdd17bf87ebf48ac7e5e5c9eda1790f4f2cc6baccd1bf#rd
5,杨健民 ▏学术期刊的平台策略,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772465&idx=1&sn=dc5c739e5b37a90e28d08066dfc431dd&chksm=8bbff78ebcc87e9807e559a1c66fffdb1280d7a7b193ed05bd51de12f0e8818729fb0756a468#rd
6,郑珊珊 ▏融媒体时代学术共享的期刊参与,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772465&idx=2&sn=81d2213aee00e18f375391e5d8e487ef&chksm=8bbff78ebcc87e98b5fba554ae0545d5032d9f89ddd340a17dba0e17cbfd82d2b03f4b6f919f#rd
7,紧扣时代脉搏 拓展美学建设新空间 ——“全面建成小康社会与审美文化建设”学术研讨会在集美大学举行,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772448&idx=1&sn=cd1147eacd2042580c8e8e1c5c6090d2&chksm=8bbff79fbcc87e89a06dca04951ee6ce3f43c90bcfecb36ffaed690ce3714ca1a376c5c9d145#rd
8,张剑光 ▏直面与应对：中国古代地方官员抗击疫病的作为,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772391&idx=1&sn=c5a727003d5e964d5c2066891d436928&chksm=8bbff758bcc87e4e70849f782ee5584b716130cbb065db3810164748549ae6788b7cfa41740f#rd
9,谢忱  谢必震 ▏来华琉球留学生与中华医药学的琉球传播,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772391&idx=2&sn=71c8935b2b84dca28d8d5136c9a9bcfe&chksm=8bbff758bcc87e4ea0bba1c0ef635cae1c58f371f1c2cfeb47a219145a1c7d5b28914102d053#rd
10,何君安  闫婷 ▏从“天下大同”到“人类命运共同体”——兼论中国世界主义政治哲学,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772331&idx=1&sn=3d80d5bef3e170040b6a0211f7c38fcf&chksm=8bbff714bcc87e02734469e6480897fe4380996d4b053bedb4eb896b34ddf2e50d744231e0e6#rd
11,张树平 ▏中国传统政治的特定情感与结构主体——以“贾谊悲剧”为例,http://mp.weixin.qq.com/s?__biz=MzA5MjkwNDUyOA==&mid=2653772300&idx=1&sn=82d96fb10ce870774820f41a5172cd13&chksm=8bbff733bcc87e25f18145424de0904e4ec8eaf0e964552f497d706deb0a7553001e9ec9b982#rd
