,title,link
0,【北京发展研究】北京市人口半城镇化研究,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484745&idx=1&sn=1b824bc52b3e0f3260c78ef555e3cccc&chksm=97ea19bda09d90ab4f0578dad9373cbb54ee286519308598c7a9cb103773b11d397b292080c0#rd
1,【土地问题】从土地依恋到户籍依恋——基于天津城郊农民生活安全脆弱性与市民化意愿的代际分析,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484745&idx=2&sn=c2ef6794a423e08bae86d755a83716ba&chksm=97ea19bda09d90ab60c45d7f19004c0ec9196dd91e8853bc681d49afb60fde377f88f0fe3069#rd
2,【土地问题】制度失范：一个土地冲突解释的新视角,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484745&idx=3&sn=d89d0af188d8a65bea8e794f3e1d047b&chksm=97ea19bda09d90abbf90f8e0c8d5f9dbb8d8fd6278b682945100c8b0c7d81c54b9a8ca53ecb7#rd
3,【经济】科技服务业集聚、地区创新能力与经济增长——以北京市为例,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484745&idx=4&sn=8c6b254c209fa4945066898821caa394&chksm=97ea19bda09d90abc3be013664e12b0e8ae9625184d899570897326ee7056a75aa5cd3d64b07#rd
4,【经济】基于风险平价策略的高净值客户资产配置研究,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484745&idx=5&sn=a5f069ba7afec8f5fac3edf5c40893ba&chksm=97ea19bda09d90ab5a7d27fc1abe0d6bf0aea98e8d3fac246d0f0c2d73a2697dd04384bd3059#rd
5,2018年第6期目录,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484716&idx=1&sn=0fc5db5a438dfbee5ce2eeccb4016fa4&chksm=97ea19d8a09d90cef8bb91ef5465ab3f84699dc3a2ab7e4f1d81b99c62c4f65e233e230437ee#rd
6,【社会】从强镇扩权到镇级市：扩权、升级，抑或权能？——龙港镇改市之省思,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484712&idx=1&sn=e7d81255eb92a0e8a200fdce645719dc&chksm=97ea19dca09d90cad3a091ce335169dd7840d75426d776f0eab3d711cc005d8a2e9fea11c1dd#rd
7,【社会】田野中的乡村与乡村田野工作的新挑战,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484712&idx=2&sn=cf970244f1106e5dae47d2f1ff05331c&chksm=97ea19dca09d90cad85b902ba5051527a61dd0a79e1aa3927eb7afdde3b43fface46ec887c1e#rd
8,【社会】水上社会的道德与秩序——太湖大船渔民民间宗教的历史人类学研究,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484712&idx=3&sn=b7a32e98b8496a81f12b3edc44f2247d&chksm=97ea19dca09d90ca306e3e4c3a64bf6b8e14e4ac7d62d58e2ce19bed43f0fae3e68ca7ae5c36#rd
9,【社会】主观社会经济地位如何影响社会成就归因？——基于社会公平感的中介效应分析,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484712&idx=4&sn=40bd021fe4d0c7d45c20645c1d50642f&chksm=97ea19dca09d90ca2e9dffef511a268bd25f9695fe276898c5929989c11885867638d428be24#rd
10,【社会】社区特征与中国农村老人的抑郁症状,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484712&idx=5&sn=3aed8ff9bbbaf9cd13afecab4b7e7570&chksm=97ea19dca09d90cad5ea0727480c5a2d31ec4a8cc7063f9804dcb7c2c3268a24d40a52ce3363#rd
11,【社会】流动儿童的资本禀赋与社会融合研究,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484712&idx=6&sn=525fc91bdd9387bf42e9e717b342a4dc&chksm=97ea19dca09d90cac1c8971504e2e417e5dc2987739b45494606e72e1d4a9bbf245e972856b1#rd
12,【历史】明代公主丧葬制度浅析,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484692&idx=1&sn=4f947025f0669c230450df4f428b6ebc&chksm=97ea19e0a09d90f6e23885466a69357fb44a9ef5642a1c7f4dbcbdfe2f2f19d188ed6376d4a7#rd
13,【历史】论明代的“京徭”之役,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484692&idx=2&sn=998cab2b41f75595914dd0d7607bba67&chksm=97ea19e0a09d90f611e567cb564af59f83ddd3cb80122b8be2e913d55689bb9112a12fc54315#rd
14,【历史】党国弟子与私塾教育——以海外预备学校为中心的考察,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484692&idx=3&sn=37c9c3b5e50f3d18b912d2b5b2db9ba1&chksm=97ea19e0a09d90f6147b084eb445125e31ce1a3e8a0db07b6ce8105c0dbf77a88f1745e40c26#rd
15,【历史】日华学会与留日教育（1918-1945）,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484692&idx=4&sn=f94bc48d44893609c781e6cfcb37d769&chksm=97ea19e0a09d90f6ef2ad5a4b2a35e6a13e860c113eec613344602ae97de4a4f3c77f2d9e655#rd
16,【文化】“污”文化：欲望阀门下行中的身体谐谑,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484692&idx=5&sn=cdd1990d0991badd853c89b059eae435&chksm=97ea19e0a09d90f67dfe0cbfb185866b26424e8e96907496fe6c33537f6d593400ffec587f92#rd
17,【对话】我们为什么会被羞辱,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484674&idx=1&sn=6535f637ed3b57c9826d1c7528de580e&chksm=97ea19f6a09d90e013428465b15347ff899e2bdb2af0f9a5e3a7238b8b5c883bda5297c4288d#rd
18,【文化】何以建设一个“不羞辱”的好社会？——基于羞辱的深层根源分析,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484674&idx=2&sn=4ea9ea8c9211e1a1921e7a0a6313d671&chksm=97ea19f6a09d90e0724e7952f4d9f977b866617e11d36b9d75f45d68601142c917b0cdbec503#rd
19,2018年第5期目录,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484650&idx=1&sn=cb659eb5b41146012c458458fc0b378b&chksm=97ea181ea09d91084029c7f3f5d9495a4f95822e1c289bc97939c788bbaa8b1e7b31633310cf#rd
20,【中国哲学】心与礼的相合——朱熹礼学内化的厘清,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484639&idx=1&sn=c0654763f75b019119892c7f6a2fa653&chksm=97ea182ba09d913d6f6faa9a3143491f23dbd9098e0c244549de1da89de046e22af1180ed83d#rd
21,【西方哲学】京都学派的遗产——世界史的立场与近代的超克,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484639&idx=2&sn=a9836d1868ed362edd29a9cf4dd5bfdd&chksm=97ea182ba09d913d4cef10890a338b4527015c9db64cbddbdac19747b8c5608a3c2c5da7b8a4#rd
22,【西方哲学】康德的实存问题与本体论批判 ——反驳当代几种典型的质疑,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484639&idx=3&sn=8e85c6e63a32aa2f486f5211ef103110&chksm=97ea182ba09d913d0a406f1828043df31dbe64217f4f01fd1fd476ce3dbb68fa3b745deefdc2#rd
23,【文学】李贽“义固生于心”与《忠义水浒传序》,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484636&idx=1&sn=e7e46833f2a4adc83f325ace0cc3066c&chksm=97ea1828a09d913ed7315ebfc8b1973312a0aa59fbefd93f7ed453cf11887a6f16c891645217#rd
24,【文学】尚雅重情，论开清代——略论《兰皋明词汇选》的词学批评观,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484636&idx=2&sn=57d5d8287eacf2493c329e973972106a&chksm=97ea1828a09d913ea4ff38a6faae05b09d5eb5446681fe8f4a3d62f139387444097d326e3cda#rd
25,【文学】家族记忆、文化空间与地方信仰——鲁应龙《闲窗括异志》中的宋末嘉兴书写,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484636&idx=3&sn=2bce6d9531a70ad9414a7c12fe43f622&chksm=97ea1828a09d913ee8bebda7e5ba681820109841b3fe82da4e55dca49e6119a7fd3fe2e00ef5#rd
26,【文学】美藏唐琳集评本《韩诗外传》的文献与文学价值,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484636&idx=4&sn=aab00eeac7765d798289ad415a1fb3d5&chksm=97ea1828a09d913e64fe845024ab24e9fc6debb303804b225b4c12784a33f5367456bb75f4aa#rd
27,【文学】文学史教科书中的《左传》书写及其文学经典化——以民国时期为例,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484636&idx=5&sn=3d7ff0cbf500076960187852835f7567&chksm=97ea1828a09d913e418c590d8a29a5d577a1de1faa0a17ac405669a00a5dc00c53052968c86b#rd
28,【文学】一部乡村死亡史——论格非《望春风》中的乡村书写,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484622&idx=1&sn=4ce2a090f7b30ed1867647cc1e668e5a&chksm=97ea183aa09d912c15f1030d7afcc18c2591ab81569b2bcc1acafa7baba87a05402f4315cfeb#rd
29,【文学】“公馆”之家——论小说《家》的文学表达,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484622&idx=2&sn=76578c725e1720a7db6991f66ff4a150&chksm=97ea183aa09d912c5ef86bcd7d356267bd484d60f4b6b3451ff2cc7ce8e9061d41ea02a57767#rd
30,【文学】后人类生存境遇的影像呈现——论英剧《黑镜》的现实隐喻,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484622&idx=3&sn=2b8a50d76241bea6224592ed71375aa9&chksm=97ea183aa09d912c77871fc504b256a395fa708cb598314e8d02210d96213072199f156b139e#rd
31,【历史】史官误笔与历史书写：司马光配享帝王太庙探微,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484611&idx=1&sn=50e0a14786f140c47b92fa23dcafb2a8&chksm=97ea1837a09d912105ae8a6ec7ce9a98cd24b5671ce83c9b4525cf5668645963aa0d48d66bf1#rd
32,【历史】逊清皇室与《优待条件》的入宪,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484611&idx=2&sn=c6eb216179658ab726474ea24d4be787&chksm=97ea1837a09d9121f1c81ebf18c5982596b40bb580de438196ab4995b69fa2434c5812f0a07d#rd
33,2018年第4期目录,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247484610&idx=1&sn=66743361279afe34cc2d8e26a5dac993&chksm=97ea1836a09d9120eea36ca1c6d24310618fb788d7b43bc66832f57754086193c50e9c0a2e05#rd
